step,t_us,crack_tip_x_mm,n_crack_tips,crack_vel_mms,crack_vel_frac_cR,branched
1050,27.9350,50.264683,1,9474.94,9474.9379,0
1100,29.2653,50.264683,1,0.00,0.0000,0
1150,30.5955,50.788830,1,394025.00,394024.9958,0
1200,31.9257,51.285984,1,373732.23,373732.2275,0
1250,33.2560,51.285984,1,0.00,0.0000,0
1300,34.5862,51.778530,1,370268.72,370268.7238,0
1350,35.9165,51.778530,1,0.00,0.0000,0
1400,37.2467,52.272685,1,371478.59,371478.5872,0
1450,38.5769,52.272685,1,0.00,0.0000,0
1500,39.9072,52.777712,1,379651.29,379651.2869,0
1550,41.2374,53.278120,1,376178.40,376178.3991,0
1600,42.5677,53.278120,1,0.00,0.0000,0
1650,43.8979,53.772218,1,371435.48,371435.4772,0
1700,45.2281,54.266856,1,371841.05,371841.0480,0
1750,46.5584,54.266856,1,0.00,0.0000,0
1800,47.8886,54.761819,1,372085.88,372085.8810,0
1850,49.2189,54.761819,1,0.00,0.0000,0
1900,50.5491,54.761819,1,0.00,0.0000,0
1950,51.8793,55.250954,1,367704.28,367704.2751,0
2000,53.2096,55.250954,1,0.00,0.0000,0
2050,54.5398,55.250954,1,0.00,0.0000,0
2100,55.8701,55.250954,1,0.00,0.0000,0
2150,57.2003,55.250954,1,0.00,0.0000,0
2200,58.5305,55.250954,1,0.00,0.0000,0
2250,59.8608,55.250954,1,0.00,0.0000,0
2300,61.1910,55.250954,1,0.00,0.0000,0
2350,62.5213,55.250954,1,0.00,0.0000,0
2400,63.8515,55.250954,1,0.00,0.0000,0
2450,65.1817,55.250954,1,0.00,0.0000,0
2500,66.5120,55.250954,1,0.00,0.0000,0
2550,67.8422,55.250954,1,0.00,0.0000,0
2600,69.1725,55.250954,1,0.00,0.0000,0
2650,70.5027,55.250954,1,0.00,0.0000,0
2700,71.8329,55.250954,1,0.00,0.0000,0
2750,73.1632,55.250954,1,0.00,0.0000,0
2800,74.4934,55.250954,1,0.00,0.0000,0
2850,75.8237,55.250954,1,0.00,0.0000,0
2900,77.1539,55.250954,1,0.00,0.0000,0
2950,78.4841,55.250954,1,0.00,0.0000,0
3000,79.8144,55.250954,1,0.00,0.0000,0
3050,81.1446,55.250954,1,0.00,0.0000,0
3100,82.4749,55.250954,1,0.00,0.0000,0
3150,83.8051,55.250954,1,0.00,0.0000,0
3200,85.1353,55.250954,1,0.00,0.0000,0
3250,86.4656,55.250954,1,0.00,0.0000,0
3300,87.7958,55.250954,1,0.00,0.0000,0
3350,89.1260,55.250954,1,0.00,0.0000,0
3400,90.4563,55.250954,1,0.00,0.0000,0
3450,91.7865,55.250954,1,0.00,0.0000,0
3500,93.1168,55.250954,1,0.00,0.0000,0
3550,94.4470,55.250954,1,0.00,0.0000,0
3600,95.7772,55.250954,1,0.00,0.0000,0
3650,97.1075,55.250954,1,0.00,0.0000,0
3700,98.4377,55.250954,1,0.00,0.0000,0
3750,99.7680,55.250954,1,0.00,0.0000,0
