step,t_s,elastic,kinetic,fracture,total
0,0.0,-1.8798795182358497e-12,0.0,9.399389077684652e-13,-9.399406104673845e-13
50,4.246449145062484e-07,2.5984363740985907,0.38961308430062724,9.372943917708982e-07,2.9880503956936098
100,8.492898290124968e-07,28.04161724620905,11.430340406063461,9.906404169909135e-05,39.472056716314206
150,1.2739347435187453e-06,88.16514917273145,57.24045806458307,0.0014049024466590734,145.40701213976118
200,1.6985796580249936e-06,149.80569819577536,124.87284725042146,0.0028159813404776456,274.6813614275373
250,2.123224572531242e-06,209.2109018557312,192.79497760513777,0.007251853677868997,402.01313131454685
300,2.5478694870374907e-06,270.57001378028946,257.22808478957717,0.018728927676367055,527.816827497543
350,2.9725144015437388e-06,329.27869325162953,318.68537127497865,0.034817735956390365,647.9988822625645
400,3.3971593160499873e-06,386.9789996612701,376.1312940377325,0.05615589380141308,763.1664495928039
450,3.821804230556235e-06,443.0913510762873,440.6411819261017,0.0794595684622989,883.8119925708513
500,4.246449145062484e-06,500.2374119897549,509.6897794931339,0.10736002536262136,1010.0345515082514
550,4.6710940595687324e-06,555.1980343469968,576.0035090028608,0.13192018970907932,1131.3334635395668
600,5.095738974074981e-06,608.8509323109452,638.0546694824125,0.1633167144818165,1247.0689185078395
650,5.5203838885812295e-06,663.6873629661657,700.5229899520403,0.1962340193808353,1364.4065869375868
700,5.9450288030874776e-06,714.908481184844,766.9797399695138,0.22850542772401264,1482.1167265820818
750,6.3696737175937265e-06,769.4831830119383,825.3077645886414,0.27226168488964547,1595.0632092854694
800,6.794318632099975e-06,825.0689861559858,880.0329687781265,0.3260110294572655,1705.4279659635695
850,7.218963546606223e-06,879.2657939395906,939.047225592719,0.4037305929692745,1818.7167501252788
900,7.64360846111247e-06,937.6101846003826,996.2702627649027,0.509163040781146,1934.3896104060666
950,8.06825337561872e-06,994.7620715342381,1052.9761024702973,0.6337981573764877,2048.371972161912
1000,8.492898290124969e-06,1054.3918276885777,1103.8247758033815,0.7906444175916548,2159.0072479095506
1050,8.917543204631217e-06,1115.3368338166902,1150.7371037404605,0.9512123638471996,2267.025149920998
1100,9.342188119137465e-06,1178.380528281509,1193.5811815486325,1.142430701812332,2373.104140531954
1150,9.766833033643713e-06,1243.5137227632363,1235.7278029601543,1.3627629203521423,2480.6042886437426
1200,1.0191477948149963e-05,1313.4106963406975,1277.0804887581357,1.583265579814205,2592.0744506786473
1250,1.061612286265621e-05,1385.2072633157131,1315.3925882558249,1.847222077357493,2702.4470736488956
1300,1.1040767777162459e-05,1462.4261414807852,1339.8655854104443,2.096561144295783,2804.3882880355254
1350,1.1465412691668707e-05,1541.5516964415817,1358.5179767630607,2.419889619595823,2902.4895628242384
1400,1.1890057606174955e-05,1626.6026273593761,1379.8856021964352,2.7528664101347364,3009.241095965946
1450,1.2314702520681203e-05,1712.4253296839202,1409.835215730808,3.1105785739793768,3125.371123988707
1500,1.2739347435187453e-05,1797.6760147751143,1438.2517590706846,3.431693513138309,3239.359467358937
1550,1.3163992349693701e-05,1885.5846343471621,1456.8336096634753,3.7567978249223297,3346.1750418355596
1600,1.358863726419995e-05,1968.202157665566,1479.1219342963882,4.017912726373361,3451.342004688327
1650,1.4013282178706197e-05,2049.830884784738,1507.8750816514757,4.277114446556638,3561.98308088277
1700,1.4437927093212445e-05,2132.3700920311985,1542.9945804003783,4.548710636851005,3679.9133830684277
1750,1.4862572007718695e-05,2214.5438787872104,1579.4919375574225,4.817056292023306,3798.852872636656
1800,1.528721692222494e-05,2296.2737019196993,1610.76289749528,5.036016802497944,3912.0726162174774
1850,1.571186183673119e-05,2381.0500633692964,1638.205171739947,5.215279768332711,4024.470514877576
1900,1.613650675123744e-05,2464.508034937913,1673.8526216665193,5.363604905807784,4143.7242615102405
1950,1.6561151665743688e-05,2551.729417293238,1709.0495792299762,5.4980132811507705,4266.277009804365
2000,1.6985796580249937e-05,2640.8487040439936,1739.7527612773117,5.629173372521658,4386.230638693827
2050,1.7410441494756184e-05,2736.539101835918,1766.6767352738784,5.7871346682797205,4509.002971778075
2100,1.7835086409262434e-05,2833.2900634252687,1798.3094577824459,5.977683110730472,4637.577204318444
2150,1.8259731323768683e-05,2927.538129807004,1829.6310974047042,6.193169804517287,4763.362397016226
2200,1.868437623827493e-05,3016.8491936862047,1864.4640012816517,6.405860850838321,4887.719055818695
2250,1.910902115278118e-05,3099.9634932569747,1917.7727898424928,6.589200533235916,5024.325483632704
2300,1.9533666067287426e-05,3180.080408406696,1982.280590457207,6.732306146557578,5169.09330501046
2350,1.9958310981793676e-05,3269.9371031041437,2029.8353284820053,6.857532032222515,5306.629963618371
2400,2.0382955896299925e-05,3371.9860368749405,2064.5215501054204,6.9953213071788225,5443.502908287539
2450,2.0807600810806172e-05,3481.1522027219435,2106.923214311475,7.166882448578376,5595.242299481997
2500,2.123224572531242e-05,3584.578531514375,2162.2313536995653,7.414831114750675,5754.224716328691
2550,2.1656890639818668e-05,3674.464606099766,2224.1647925689713,7.759158393169176,5906.388557061907
2600,2.2081535554324918e-05,3749.461286212413,2301.4432791116396,8.261794150303137,6059.166359474356
2650,2.2506180468831168e-05,3825.145785716895,2390.665825930112,8.918846410135473,6224.730458057142
2700,2.2930825383337414e-05,3905.365409968831,2481.7704882019257,9.75855610629735,6396.894454277053
2750,2.3355470297843664e-05,3977.0269021119634,2579.5884391137934,10.874223405292776,6567.48956463105
2800,2.378011521234991e-05,4036.5487693171044,2690.491764606101,12.598431476612141,6739.638965399818
2850,2.420476012685616e-05,4094.18934830907,2803.2416918063336,15.737195625870905,6913.168235741275
2900,2.4629405041362406e-05,4151.219197464509,2909.3505424541186,21.941846126123743,7082.511586044752
2950,2.5054049955868656e-05,4208.685385282734,3012.473607560004,30.85989884808005,7252.018891690818
3000,2.5478694870374906e-05,4259.372024016636,3128.860720010417,41.673625334132254,7429.906369361185
3050,2.5903339784881152e-05,4305.555060394634,3249.6975318019786,54.203922145411845,7609.456514342024
3100,2.6327984699387402e-05,4354.956215084086,3353.122054008373,68.76178316619905,7776.840052258658
3150,2.675262961389365e-05,4408.433668428264,3440.753562019348,85.18293286616299,7934.370163313776
3200,2.71772745283999e-05,4462.164573601896,3530.2739182234554,103.88946507717786,8096.32795690253
3250,2.7601919442906148e-05,4513.6769793397325,3625.8354082499027,124.60796260270966,8264.120350192345
3300,2.8026564357412395e-05,4569.4033803165,3712.2427087674014,147.62202055963436,8429.268109643535
3350,2.8451209271918644e-05,4634.81714415253,3786.147685540289,172.39736287120002,8593.362192564018
3400,2.887585418642489e-05,4693.324387382121,3867.513367946165,199.47032886739865,8760.308084195685
3450,2.930049910093114e-05,4743.376091997026,3953.6188576775935,227.13130614107783,8924.126255815698
3500,2.972514401543739e-05,4798.96668974032,4029.329638662965,255.34415618310837,9083.640484586393
3550,3.0149788929943637e-05,4855.815126150458,4110.329537960574,283.5290988364876,9249.67376294752
3600,3.057443384444988e-05,4908.8941716219615,4202.451922335467,312.29035256673166,9423.63644652416
3650,3.0999078758956136e-05,4958.036345118798,4293.95233360351,340.79811893253213,9592.78679765484
3700,3.142372367346238e-05,5005.739649718442,4379.910594021033,369.7568958621804,9755.407139601653
3750,3.184836858796863e-05,5052.774880481897,4474.439387442448,397.09718543091327,9924.311453355258
3800,3.227301350247488e-05,5092.620457206543,4583.270198861135,425.101788412681,10100.992444480358
3850,3.269765841698113e-05,5126.165469564283,4697.96039328779,451.3380050863079,10275.46386793838
3900,3.3122303331487375e-05,5156.84788337781,4814.444845986413,477.61438428147784,10448.907113645702
3950,3.354694824599362e-05,5180.541282850793,4943.556540392961,505.5032129279482,10629.601036171704
4000,3.3971593160499875e-05,5200.820246040447,5084.913789145369,532.7252897862935,10818.45932497211
4050,3.439623807500612e-05,5212.990315838348,5238.575741957938,559.604843324288,11011.170901120573
4100,3.482088298951237e-05,5228.674208627221,5386.724904622342,587.3186649522859,11202.717778201848
4150,3.524552790401862e-05,5239.700777004135,5534.033674696847,615.820599073033,11389.555050774014
4200,3.567017281852487e-05,5247.26982036072,5681.130776951824,643.5642121854304,11571.964809497975
4250,3.6094817733031113e-05,5258.223233330505,5822.161563992231,671.80400205536,11752.188799378095
4300,3.651946264753737e-05,5275.108134322103,5949.81581262636,701.3005038133965,11926.22445076186
4350,3.694410756204361e-05,5291.09473679148,6066.791491560688,731.0205493010536,12088.906777653221
