step,max_H_nodal,max_psi_plus,max_damage,delta_H,delta_damage
0,0.000000,7.3077e-08,0.00000000,0.0,0.0
50,0.128569,1.4063e-01,0.00233323,0.0,0.0
100,0.183871,1.9459e-01,0.00401517,0.0,0.0
150,0.204299,2.0751e-01,0.00449339,0.0,0.0
200,0.231765,2.9863e-01,0.00479500,0.0,0.0
250,0.298388,2.7950e-01,0.00670216,0.0,0.0
300,0.357983,4.0297e-01,0.00676366,0.0,0.0
350,0.515747,5.4443e-01,0.01015023,0.0,0.0
400,0.648387,1.8449e+00,0.01197101,0.0,0.0
450,2.454323,6.7566e+00,0.04382681,0.0,0.0
500,4.323219,1.0639e+01,0.07414749,0.0,0.0
550,5.928380,1.4109e+01,0.09915758,0.0,0.0
600,7.240900,1.6903e+01,0.11889239,0.0,0.0
650,8.439222,1.9412e+01,0.13642778,0.0,0.0
700,9.802068,2.1726e+01,0.15529266,0.0,0.0
750,10.240912,2.2371e+01,0.16109975,0.0,0.0
800,11.268243,2.4095e+01,0.17475919,0.0,0.0
850,13.880571,2.8663e+01,0.20839250,0.0,0.0
900,18.755808,3.8808e+01,0.26735088,0.0,0.0
950,35.362926,6.1475e+01,0.42332327,0.0,0.0
1000,80.766861,1.3509e+02,0.65558380,0.0,0.0
1050,254.985413,4.4532e+02,0.88944870,0.0,0.0
1100,801.314575,1.2056e+03,0.96542662,0.0,0.0
1150,1430.912109,2.0082e+03,0.98238379,0.0,0.0
1200,1936.903198,2.6603e+03,0.98724169,0.0,0.0
1250,2316.725830,3.1374e+03,0.98914528,0.0,0.0
1300,2814.468018,3.8757e+03,0.99097174,0.0,0.0
1350,3384.212646,4.7366e+03,0.99258137,0.0,0.0
1400,3908.998535,5.5530e+03,0.99358165,0.0,0.0
1450,4347.016602,6.2061e+03,0.99423391,0.0,0.0
1500,4810.263184,6.9190e+03,0.99479198,0.0,0.0
1550,5373.899414,7.7316e+03,0.99536580,0.0,0.0
1600,5934.672852,8.5694e+03,0.99581730,0.0,0.0
1650,6460.303711,9.3491e+03,0.99615937,0.0,0.0
1700,6883.482422,1.0021e+04,0.99640107,0.0,0.0
1750,7239.641113,1.0626e+04,0.99660623,0.0,0.0
1800,7430.561523,1.0980e+04,0.99668580,0.0,0.0
1850,7469.436035,1.1036e+04,0.99670470,0.0,0.0
1900,7710.536133,1.1377e+04,0.99681765,0.0,0.0
1950,7847.559570,1.1641e+04,0.99686658,0.0,0.0
2000,7858.919434,1.1420e+04,0.99686962,0.0,0.0
2050,7858.919434,1.0854e+04,0.99686962,0.0,0.0
2100,7858.919434,1.0277e+04,0.99686962,0.0,0.0
2150,7858.919434,9.3946e+03,0.99686962,0.0,0.0
2200,7858.919434,8.5109e+03,0.99686962,0.0,0.0
2250,7858.919434,7.7829e+03,0.99686962,0.0,0.0
2300,7858.919434,6.8272e+03,0.99686962,0.0,0.0
2350,7858.919434,5.9172e+03,0.99686962,0.0,0.0
2400,7858.919434,5.2653e+03,0.99686962,0.0,0.0
2450,7858.919434,4.8798e+03,0.99686962,0.0,0.0
2500,7858.919434,4.8334e+03,0.99686962,0.0,0.0
2550,7858.919434,4.7448e+03,0.99686962,0.0,0.0
2600,7858.919434,4.2614e+03,0.99686962,0.0,0.0
2650,7858.919434,3.4638e+03,0.99686962,0.0,0.0
2700,7858.919434,2.3560e+03,0.99686962,0.0,0.0
2750,7858.919434,1.3835e+03,0.99686962,0.0,0.0
2800,7858.919434,6.7331e+02,0.99686962,0.0,0.0
2850,7858.919434,2.6130e+02,0.99686962,0.0,0.0
2900,7858.919434,1.0466e+02,0.99686962,0.0,0.0
2950,7858.919434,5.2895e+01,0.99686962,0.0,0.0
3000,7858.919434,3.5706e+01,0.99686962,0.0,0.0
3050,7858.919434,2.1101e+01,0.99686962,0.0,0.0
3100,7858.919434,1.6884e+01,0.99686962,0.0,0.0
3150,7858.919434,1.3867e+01,0.99686962,0.0,0.0
3200,7858.919434,1.4136e+01,0.99686962,0.0,0.0
3250,7858.919434,8.3501e+00,0.99686962,0.0,0.0
3300,7858.919434,1.0910e+01,0.99686962,0.0,0.0
3350,7858.919434,1.2041e+01,0.99686962,0.0,0.0
3400,7858.919434,1.2773e+01,0.99686962,0.0,0.0
3450,7858.919434,1.2248e+01,0.99686962,0.0,0.0
3500,7858.919434,1.3061e+01,0.99686962,0.0,0.0
3550,7858.919434,1.4032e+01,0.99686962,0.0,0.0
3600,7858.919434,1.4632e+01,0.99686962,0.0,0.0
3650,7858.919434,1.5176e+01,0.99686962,0.0,0.0
3700,7858.919434,1.6119e+01,0.99686962,0.0,0.0
3750,7858.919434,1.6450e+01,0.99686962,0.0,0.0
