step,max_d,max_H,Solid solve Time,Compute Strain Time,Driving Force Time,Phase Solve Time,Total Step Time
0,0.00000000,7.3077e-08,0.000000000,0.000000000,0.000000000,0.000000000,0.085354567
1,0.00000000,1.5989e-07,0.000000000,0.000000000,0.000000000,0.000000000,0.015428782
2,0.00000003,1.6055e-06,0.000000000,0.000000000,0.000000000,0.000000000,0.022146702
3,0.00000013,6.9154e-06,0.000000000,0.000000000,0.000000000,0.000000000,0.023943901
4,0.00000035,1.8418e-05,0.000000000,0.000000000,0.000000000,0.000000000,0.008420944
5,0.00000071,3.7849e-05,0.000000000,0.000000000,0.000000000,0.000000000,0.006912470
6,0.00000128,6.8991e-05,0.000000000,0.000000000,0.000000000,0.000000000,0.006921053
7,0.00000318,1.4928e-04,0.000000000,0.000000000,0.000000000,0.000000000,0.006307364
8,0.00000770,3.4486e-04,0.000000000,0.000000000,0.000000000,0.000000000,0.006272316
9,0.00001633,7.1745e-04,0.000000000,0.000000000,0.000000000,0.000000000,0.006244421
10,0.00003102,1.3517e-03,0.000000000,0.000000000,0.000000000,0.000000000,0.006252766
11,0.00005347,2.3236e-03,0.000000000,0.000000000,0.000000000,0.000000000,0.006235838
12,0.00008456,3.6751e-03,0.000000000,0.000000000,0.000000000,0.000000000,0.006226540
13,0.00012390,5.3938e-03,0.000000000,0.000000000,0.000000000,0.000000000,0.006237745
14,0.00016963,7.4082e-03,0.000000000,0.000000000,0.000000000,0.000000000,0.006230593
15,0.00021881,9.6030e-03,0.000000000,0.000000000,0.000000000,0.000000000,0.006216764
16,0.00026812,1.1848e-02,0.000000000,0.000000000,0.000000000,0.000000000,0.006231308
17,0.00031459,1.4028e-02,0.000000000,0.000000000,0.000000000,0.000000000,0.006244898
18,0.00035621,1.6071e-02,0.000000000,0.000000000,0.000000000,0.000000000,0.006221533
19,0.00039225,1.7955e-02,0.000000000,0.000000000,0.000000000,0.000000000,0.006228924
20,0.00042314,1.9703e-02,0.000000000,0.000000000,0.000000000,0.000000000,0.006232738
21,0.00045024,2.1373e-02,0.000000000,0.000000000,0.000000000,0.000000000,0.006233215
22,0.00047549,2.3045e-02,0.000000000,0.000000000,0.000000000,0.000000000,0.005848408
23,0.00050103,2.4801e-02,0.000000000,0.000000000,0.000000000,0.000000000,0.005830526
24,0.00052893,2.6724e-02,0.000000000,0.000000000,0.000000000,0.000000000,0.005835533
25,0.00056094,2.8880e-02,0.000000000,0.000000000,0.000000000,0.000000000,0.005826712
26,0.00059826,3.1313e-02,0.000000000,0.000000000,0.000000000,0.000000000,0.005851507
27,0.00064147,3.4043e-02,0.000000000,0.000000000,0.000000000,0.000000000,0.005831003
28,0.00069048,3.7063e-02,0.000000000,0.000000000,0.000000000,0.000000000,0.005850077
29,0.00074473,4.0342e-02,0.000000000,0.000000000,0.000000000,0.000000000,0.005853653
30,0.00080347,4.3845e-02,0.000000000,0.000000000,0.000000000,0.000000000,0.005855799
31,0.00086616,4.7544e-02,0.000000000,0.000000000,0.000000000,0.000000000,0.005875349
32,0.00093291,5.1575e-02,0.000000000,0.000000000,0.000000000,0.000000000,0.005829096
33,0.00101482,5.6205e-02,0.000000000,0.000000000,0.000000000,0.000000000,0.005854368
34,0.00110337,6.1160e-02,0.000000000,0.000000000,0.000000000,0.000000000,0.005846500
35,0.00119785,6.6443e-02,0.000000000,0.000000000,0.000000000,0.000000000,0.005861759
36,0.00129787,7.2035e-02,0.000000000,0.000000000,0.000000000,0.000000000,0.005850792
37,0.00140258,7.7896e-02,0.000000000,0.000000000,0.000000000,0.000000000,0.005844831
38,0.00151073,8.3958e-02,0.000000000,0.000000000,0.000000000,0.000000000,0.005956411
39,0.00164785,9.0115e-02,0.000000000,0.000000000,0.000000000,0.000000000,0.005862951
40,0.00179815,9.6404e-02,0.000000000,0.000000000,0.000000000,0.000000000,0.005841255
41,0.00195073,1.0373e-01,0.000000000,0.000000000,0.000000000,0.000000000,0.005863667
42,0.00209415,1.1064e-01,0.000000000,0.000000000,0.000000000,0.000000000,0.005835056
43,0.00221461,1.1653e-01,0.000000000,0.000000000,0.000000000,0.000000000,0.006004810
44,0.00229809,1.2084e-01,0.000000000,0.000000000,0.000000000,0.000000000,0.005837917
45,0.00233323,1.2308e-01,0.000000000,0.000000000,0.000000000,0.000000000,0.005835056
46,0.00233323,1.2350e-01,0.000000000,0.000000000,0.000000000,0.000000000,0.005846262
47,0.00233323,1.2374e-01,0.000000000,0.000000000,0.000000000,0.000000000,0.005839586
48,0.00233323,1.2550e-01,0.000000000,0.000000000,0.000000000,0.000000000,0.005840540
49,0.00233323,1.2713e-01,0.000000000,0.000000000,0.000000000,0.000000000,0.005857706
50,0.00233323,1.2857e-01,0.000000000,0.000000000,0.000000000,0.000000000,0.005838633
51,0.00233323,1.2975e-01,0.000000000,0.000000000,0.000000000,0.000000000,0.005929470
52,0.00233323,1.3061e-01,0.000000000,0.000000000,0.000000000,0.000000000,0.005870819
53,0.00233323,1.3112e-01,0.000000000,0.000000000,0.000000000,0.000000000,0.005851269
54,0.00233323,1.3126e-01,0.000000000,0.000000000,0.000000000,0.000000000,0.005827904
55,0.00233323,1.3129e-01,0.000000000,0.000000000,0.000000000,0.000000000,0.005852222
56,0.00235457,1.3129e-01,0.000000000,0.000000000,0.000000000,0.000000000,0.005831480
57,0.00242644,1.3129e-01,0.000000000,0.000000000,0.000000000,0.000000000,0.005836010
58,0.00249272,1.3129e-01,0.000000000,0.000000000,0.000000000,0.000000000,0.005851269
59,0.00255310,1.3129e-01,0.000000000,0.000000000,0.000000000,0.000000000,0.005830050
60,0.00260687,1.3129e-01,0.000000000,0.000000000,0.000000000,0.000000000,0.005841970
61,0.00265335,1.3129e-01,0.000000000,0.000000000,0.000000000,0.000000000,0.005844831
62,0.00269686,1.3129e-01,0.000000000,0.000000000,0.000000000,0.000000000,0.005853415
63,0.00273693,1.3129e-01,0.000000000,0.000000000,0.000000000,0.000000000,0.005837917
64,0.00277154,1.3283e-01,0.000000000,0.000000000,0.000000000,0.000000000,0.005850792
65,0.00279908,1.3467e-01,0.000000000,0.000000000,0.000000000,0.000000000,0.005834103
66,0.00281827,1.3621e-01,0.000000000,0.000000000,0.000000000,0.000000000,0.005843163
67,0.00282812,1.3742e-01,0.000000000,0.000000000,0.000000000,0.000000000,0.005844593
68,0.00282812,1.3827e-01,0.000000000,0.000000000,0.000000000,0.000000000,0.005843163
