step,t_us,crack_tip_x_mm,n_crack_tips,crack_vel_mms,crack_vel_frac_cR,branched
900,14.7175,20.147992,1,10055.45,0.0047,0
920,15.0446,20.147992,1,0.00,0.0000,0
940,15.3717,20.355843,1,635520.43,0.2999,0
960,15.6987,20.355843,1,0.00,0.0000,0
980,16.0258,20.617690,1,800617.86,0.3778,0
1000,16.3528,20.617690,1,0.00,0.0000,0
1020,16.6799,20.882480,1,809616.38,0.3821,0
1040,17.0069,20.882480,1,0.00,0.0000,0
1060,17.3340,21.150604,1,819807.71,0.3869,0
1080,17.6611,21.267388,1,357077.11,0.1685,0
1100,17.9881,21.433200,1,506982.17,0.2393,0
1120,18.3152,21.678220,1,749167.29,0.3535,0
1140,18.6422,21.946352,1,819833.61,0.3869,0
1160,18.9693,22.211099,1,809486.46,0.3820,0
1180,19.2963,22.474148,1,804291.47,0.3796,0
1200,19.6234,22.741909,1,818700.30,0.3864,0
1220,19.9504,23.007630,1,812461.81,0.3834,0
1240,20.2775,23.270265,1,803023.74,0.3790,0
1260,20.6046,23.537270,1,816388.93,0.3853,0
1280,20.9316,23.803984,1,815498.68,0.3849,0
1300,21.2587,24.199570,1,1209534.77,0.5708,0
1320,21.5857,24.576256,1,1151744.72,0.5435,0
1340,21.9128,24.863040,1,876865.85,0.4138,0
1360,22.2398,25.128077,1,810370.93,0.3824,0
1380,22.5669,25.396138,1,819615.82,0.3868,0
1400,22.8940,25.947571,1,1686047.26,0.7957,0
1420,23.2210,26.323451,1,1149280.92,0.5424,0
1440,23.5481,26.719645,1,1211396.00,0.5717,0
1460,23.8751,27.104304,1,1176123.66,0.5550,0
1480,24.2022,27.515709,1,1257902.31,0.5936,0
1500,24.5292,27.916174,1,1224451.12,0.5778,0
1520,24.8563,28.445095,1,1617217.12,0.7632,0
1540,25.1833,28.845620,1,1224635.17,0.5779,0
1560,25.5104,29.373679,1,1614578.30,0.7620,0
1580,25.8375,29.641653,1,819352.04,0.3867,0
1600,26.1645,29.981349,1,1038646.39,0.4902,0
1620,26.4916,30.437497,1,1394705.41,0.6582,0
1640,26.8186,30.701755,1,807989.95,0.3813,0
1660,27.1457,31.046311,1,1053504.90,0.4972,0
1680,27.4727,31.498376,1,1382225.16,0.6523,0
1700,27.7998,31.761176,1,803530.39,0.3792,0
1720,28.1269,32.294820,1,1631658.06,0.7700,0
1740,28.4539,32.693832,1,1220008.31,0.5757,0
1760,28.7810,33.193642,1,1528207.65,0.7212,0
1780,29.1080,33.465147,1,830146.25,0.3918,0
1800,29.4351,33.931576,1,1426143.68,0.6730,0
1820,29.7621,34.414887,1,1477757.05,0.6974,0
1840,30.0892,34.700360,1,872855.71,0.4119,0
1860,30.4163,35.210673,1,1560320.32,0.7363,0
1880,30.7433,35.478750,1,819667.87,0.3868,0
1900,31.0704,35.780781,1,923481.95,0.4358,0
1920,31.3974,36.274261,1,1508853.59,0.7121,0
1940,31.7245,36.671511,1,1214620.09,0.5732,0
1960,32.0515,37.069579,1,1217124.16,0.5744,0
1980,32.3786,37.467836,1,1217700.92,0.5747,0
2000,32.7056,37.998791,1,1623433.83,0.7661,0
2020,33.0327,38.537515,1,1647192.28,0.7773,0
2040,33.3598,39.192364,1,2002250.01,0.9449,0
2060,33.6868,40.000000,1,2469407.24,1.1654,0
2080,34.0139,40.000000,1,0.00,0.0000,0
2100,34.3409,40.000000,1,0.00,0.0000,0
2120,34.6680,40.000000,1,0.00,0.0000,0
2140,34.9950,40.000000,1,0.00,0.0000,0
2160,35.3221,40.000000,1,0.00,0.0000,0
2180,35.6492,40.000000,1,0.00,0.0000,0
2200,35.9762,40.000000,1,0.00,0.0000,0
2220,36.3033,40.000000,1,0.00,0.0000,0
2240,36.6303,40.000000,1,0.00,0.0000,0
2260,36.9574,40.000000,1,0.00,0.0000,0
2280,37.2844,40.000000,1,0.00,0.0000,0
2300,37.6115,40.000000,1,0.00,0.0000,0
2320,37.9386,40.000000,1,0.00,0.0000,0
2340,38.2656,40.000000,1,0.00,0.0000,0
2360,38.5927,40.000000,1,0.00,0.0000,0
2380,38.9197,40.000000,1,0.00,0.0000,0
2400,39.2468,40.000000,1,0.00,0.0000,0
2420,39.5738,40.000000,1,0.00,0.0000,0
2440,39.9009,40.000000,1,0.00,0.0000,0
2460,40.2279,40.000000,1,0.00,0.0000,0
2480,40.5550,40.000000,1,0.00,0.0000,0
2500,40.8821,40.000000,1,0.00,0.0000,0
2520,41.2091,40.000000,1,0.00,0.0000,0
2540,41.5362,40.000000,1,0.00,0.0000,0
2560,41.8632,40.000000,1,0.00,0.0000,0
2580,42.1903,40.000000,1,0.00,0.0000,0
2600,42.5173,40.000000,1,0.00,0.0000,0
2620,42.8444,40.000000,1,0.00,0.0000,0
2640,43.1715,40.000000,1,0.00,0.0000,0
2660,43.4985,40.000000,1,0.00,0.0000,0
2680,43.8256,40.000000,1,0.00,0.0000,0
2700,44.1526,40.000000,1,0.00,0.0000,0
2720,44.4797,40.000000,1,0.00,0.0000,0
2740,44.8067,40.000000,1,0.00,0.0000,0
2760,45.1338,40.000000,1,0.00,0.0000,0
2780,45.4609,40.000000,1,0.00,0.0000,0
2800,45.7879,40.000000,1,0.00,0.0000,0
2820,46.1150,40.000000,1,0.00,0.0000,0
2840,46.4420,40.000000,1,0.00,0.0000,0
2860,46.7691,40.000000,1,0.00,0.0000,0
2880,47.0961,40.000000,1,0.00,0.0000,0
2900,47.4232,40.000000,1,0.00,0.0000,0
2920,47.7502,40.000000,1,0.00,0.0000,0
2940,48.0773,40.000000,1,0.00,0.0000,0
2960,48.4044,40.000000,1,0.00,0.0000,0
2980,48.7314,40.000000,1,0.00,0.0000,0
3000,49.0585,40.000000,1,0.00,0.0000,0
3020,49.3855,40.000000,1,0.00,0.0000,0
3040,49.7126,40.000000,1,0.00,0.0000,0
3060,50.0396,40.000000,1,0.00,0.0000,0
3080,50.3667,40.000000,1,0.00,0.0000,0
3100,50.6938,40.000000,1,0.00,0.0000,0
3120,51.0208,40.000000,1,0.00,0.0000,0
3140,51.3479,40.000000,1,0.00,0.0000,0
3160,51.6749,40.000000,1,0.00,0.0000,0
3180,52.0020,40.000000,1,0.00,0.0000,0
3200,52.3290,40.000000,1,0.00,0.0000,0
3220,52.6561,40.000000,1,0.00,0.0000,0
3240,52.9832,40.000000,1,0.00,0.0000,0
3260,53.3102,40.000000,1,0.00,0.0000,0
3280,53.6373,40.000000,1,0.00,0.0000,0
3300,53.9643,40.000000,1,0.00,0.0000,0
3320,54.2914,40.000000,1,0.00,0.0000,0
3340,54.6184,40.000000,1,0.00,0.0000,0
3360,54.9455,40.000000,1,0.00,0.0000,0
3380,55.2725,40.000000,1,0.00,0.0000,0
3400,55.5996,40.000000,1,0.00,0.0000,0
3420,55.9267,40.000000,1,0.00,0.0000,0
3440,56.2537,40.000000,1,0.00,0.0000,0
3460,56.5808,40.000000,1,0.00,0.0000,0
3480,56.9078,40.000000,1,0.00,0.0000,0
3500,57.2349,40.000000,1,0.00,0.0000,0
3520,57.5619,40.000000,1,0.00,0.0000,0
3540,57.8890,40.000000,1,0.00,0.0000,0
3560,58.2161,40.000000,1,0.00,0.0000,0
3580,58.5431,40.000000,1,0.00,0.0000,0
3600,58.8702,40.000000,1,0.00,0.0000,0
3620,59.1972,40.000000,1,0.00,0.0000,0
3640,59.5243,40.000000,1,0.00,0.0000,0
3660,59.8513,40.000000,1,0.00,0.0000,0
3680,60.1784,40.000000,1,0.00,0.0000,0
3700,60.5054,40.000000,1,0.00,0.0000,0
3720,60.8325,40.000000,1,0.00,0.0000,0
3740,61.1596,40.000000,1,0.00,0.0000,0
3760,61.4866,40.000000,1,0.00,0.0000,0
3780,61.8137,40.000000,1,0.00,0.0000,0
3800,62.1407,40.000000,1,0.00,0.0000,0
3820,62.4678,40.000000,1,0.00,0.0000,0
3840,62.7948,40.000000,1,0.00,0.0000,0
3860,63.1219,40.000000,1,0.00,0.0000,0
3880,63.4490,40.000000,1,0.00,0.0000,0
3900,63.7760,40.000000,1,0.00,0.0000,0
3920,64.1031,40.000000,1,0.00,0.0000,0
3940,64.4301,40.000000,1,0.00,0.0000,0
3960,64.7572,40.000000,1,0.00,0.0000,0
3980,65.0842,40.000000,1,0.00,0.0000,0
4000,65.4113,40.000000,1,0.00,0.0000,0
4020,65.7384,40.000000,1,0.00,0.0000,0
4040,66.0654,40.000000,1,0.00,0.0000,0
4060,66.3925,40.000000,1,0.00,0.0000,0
4080,66.7195,40.000000,1,0.00,0.0000,0
4100,67.0466,40.000000,1,0.00,0.0000,0
4120,67.3736,40.000000,1,0.00,0.0000,0
4140,67.7007,40.000000,1,0.00,0.0000,0
4160,68.0277,40.000000,1,0.00,0.0000,0
4180,68.3548,40.000000,1,0.00,0.0000,0
4200,68.6819,40.000000,1,0.00,0.0000,0
4220,69.0089,40.000000,1,0.00,0.0000,0
4240,69.3360,40.000000,1,0.00,0.0000,0
4260,69.6630,40.000000,1,0.00,0.0000,0
4280,69.9901,40.000000,1,0.00,0.0000,0
4300,70.3171,40.000000,1,0.00,0.0000,0
4320,70.6442,40.000000,1,0.00,0.0000,0
4340,70.9713,40.000000,1,0.00,0.0000,0
4360,71.2983,40.000000,1,0.00,0.0000,0
4380,71.6254,40.000000,1,0.00,0.0000,0
4400,71.9524,40.000000,1,0.00,0.0000,0
4420,72.2795,40.000000,1,0.00,0.0000,0
4440,72.6065,40.000000,1,0.00,0.0000,0
4460,72.9336,40.000000,1,0.00,0.0000,0
4480,73.2607,40.000000,1,0.00,0.0000,0
4500,73.5877,40.000000,1,0.00,0.0000,0
4520,73.9148,40.000000,1,0.00,0.0000,0
4540,74.2418,40.000000,1,0.00,0.0000,0
4560,74.5689,40.000000,1,0.00,0.0000,0
4580,74.8959,40.000000,1,0.00,0.0000,0
4600,75.2230,40.000000,1,0.00,0.0000,0
4620,75.5500,40.000000,1,0.00,0.0000,0
4640,75.8771,40.000000,1,0.00,0.0000,0
4660,76.2042,40.000000,1,0.00,0.0000,0
4680,76.5312,40.000000,1,0.00,0.0000,0
4700,76.8583,40.000000,1,0.00,0.0000,0
4720,77.1853,40.000000,1,0.00,0.0000,0
4740,77.5124,40.000000,1,0.00,0.0000,0
4760,77.8394,40.000000,1,0.00,0.0000,0
4780,78.1665,40.000000,1,0.00,0.0000,0
4800,78.4936,40.000000,1,0.00,0.0000,0
4820,78.8206,40.000000,1,0.00,0.0000,0
4840,79.1477,40.000000,1,0.00,0.0000,0
4860,79.4747,40.000000,1,0.00,0.0000,0
4880,79.8018,40.000000,1,0.00,0.0000,0
4900,80.1288,40.000000,1,0.00,0.0000,0
4920,80.4559,40.000000,1,0.00,0.0000,0
4940,80.7830,40.000000,1,0.00,0.0000,0
4960,81.1100,40.000000,1,0.00,0.0000,0
4980,81.4371,40.000000,1,0.00,0.0000,0
5000,81.7641,40.000000,1,0.00,0.0000,0
5020,82.0912,40.000000,1,0.00,0.0000,0
5040,82.4182,40.000000,1,0.00,0.0000,0
5060,82.7453,40.000000,1,0.00,0.0000,0
5080,83.0723,40.000000,1,0.00,0.0000,0
5100,83.3994,40.000000,1,0.00,0.0000,0
5120,83.7265,40.000000,1,0.00,0.0000,0
5140,84.0535,40.000000,1,0.00,0.0000,0
5160,84.3806,40.000000,1,0.00,0.0000,0
5180,84.7076,40.000000,1,0.00,0.0000,0
5200,85.0347,40.000000,1,0.00,0.0000,0
5220,85.3617,40.000000,1,0.00,0.0000,0
5240,85.6888,40.000000,1,0.00,0.0000,0
5260,86.0159,40.000000,1,0.00,0.0000,0
5280,86.3429,40.000000,1,0.00,0.0000,0
5300,86.6700,40.000000,1,0.00,0.0000,0
5320,86.9970,40.000000,1,0.00,0.0000,0
5340,87.3241,40.000000,1,0.00,0.0000,0
5360,87.6511,40.000000,1,0.00,0.0000,0
5380,87.9782,40.000000,1,0.00,0.0000,0
5400,88.3053,40.000000,1,0.00,0.0000,0
5420,88.6323,40.000000,1,0.00,0.0000,0
5440,88.9594,40.000000,1,0.00,0.0000,0
5460,89.2864,40.000000,1,0.00,0.0000,0
5480,89.6135,40.000000,1,0.00,0.0000,0
5500,89.9405,40.000000,1,0.00,0.0000,0
5520,90.2676,40.000000,1,0.00,0.0000,0
5540,90.5946,40.000000,1,0.00,0.0000,0
5560,90.9217,40.000000,1,0.00,0.0000,0
5580,91.2488,40.000000,1,0.00,0.0000,0
5600,91.5758,40.000000,1,0.00,0.0000,0
5620,91.9029,40.000000,1,0.00,0.0000,0
5640,92.2299,40.000000,1,0.00,0.0000,0
5660,92.5570,40.000000,1,0.00,0.0000,0
5680,92.8840,40.000000,1,0.00,0.0000,0
5700,93.2111,40.000000,1,0.00,0.0000,0
5720,93.5382,40.000000,1,0.00,0.0000,0
5740,93.8652,40.000000,1,0.00,0.0000,0
5760,94.1923,40.000000,1,0.00,0.0000,0
5780,94.5193,40.000000,1,0.00,0.0000,0
5800,94.8464,40.000000,1,0.00,0.0000,0
5820,95.1734,40.000000,1,0.00,0.0000,0
5840,95.5005,40.000000,1,0.00,0.0000,0
5860,95.8276,40.000000,1,0.00,0.0000,0
5880,96.1546,40.000000,1,0.00,0.0000,0
5900,96.4817,40.000000,1,0.00,0.0000,0
5920,96.8087,40.000000,1,0.00,0.0000,0
5940,97.1358,40.000000,1,0.00,0.0000,0
5960,97.4628,40.000000,1,0.00,0.0000,0
5980,97.7899,40.000000,1,0.00,0.0000,0
6000,98.1169,40.000000,1,0.00,0.0000,0
6020,98.4440,40.000000,1,0.00,0.0000,0
6040,98.7711,40.000000,1,0.00,0.0000,0
6060,99.0981,40.000000,1,0.00,0.0000,0
6080,99.4252,40.000000,1,0.00,0.0000,0
6100,99.7522,40.000000,1,0.00,0.0000,0
