step,t_us,crack_tip_x_mm,n_crack_tips,crack_vel_mms,crack_vel_frac_cR,branched
5100,20.1312,16.140754,1,6991.86,0.0076,0
5120,20.2101,16.192909,1,660644.96,0.7182,0
5140,20.2891,16.242844,1,632512.47,0.6876,0
5160,20.3680,16.292778,1,632512.47,0.6876,0
5180,20.4470,16.342712,1,632512.47,0.6876,0
5200,20.5259,16.392646,1,632512.47,0.6876,0
5220,20.6048,16.442580,1,632512.47,0.6876,0
5240,20.6838,16.490294,1,604379.97,0.6570,0
5260,20.7627,16.531076,1,516583.09,0.5616,0
5280,20.8417,16.581010,1,632512.47,0.6876,0
5300,20.9206,16.630944,1,632512.47,0.6876,0
5320,20.9996,16.678657,1,604379.97,0.6570,0
5340,21.0785,16.733033,1,688777.45,0.7488,0
5360,21.1575,16.782968,1,632512.47,0.6876,0
5380,21.2364,16.819308,1,460318.10,0.5004,0
5400,21.3154,16.871463,1,660644.96,0.7182,0
5420,21.3943,16.921397,1,632512.47,0.6876,0
5440,21.4733,16.966889,1,576247.48,0.6264,0
5460,21.5522,17.009892,1,544715.58,0.5922,0
5480,21.6311,17.059826,1,632512.47,0.6876,0
5500,21.7101,17.105319,1,576247.48,0.6264,0
5520,21.7890,17.157474,1,660644.96,0.7182,0
5540,21.8680,17.198256,1,516583.09,0.5616,0
5560,21.9469,17.245969,1,604379.97,0.6570,0
5580,22.0259,17.295903,1,632512.47,0.6876,0
5600,22.1048,17.345838,1,632512.47,0.6876,0
5620,22.1838,17.393551,1,604379.97,0.6570,0
5640,22.2627,17.434333,1,516583.09,0.5616,0
5660,22.3417,17.484267,1,632512.47,0.6876,0
5680,22.4206,17.522828,1,488450.60,0.5310,0
5700,22.4995,17.586356,1,804706.83,0.8748,0
5720,22.5785,17.636291,1,632512.47,0.6876,0
5740,22.6574,17.672631,1,460318.10,0.5004,0
5760,22.7364,17.722565,1,632512.47,0.6876,0
5780,22.8153,17.770278,1,604379.97,0.6570,0
5800,22.8943,17.811060,1,516583.09,0.5616,0
5820,22.9732,17.860994,1,632512.47,0.6876,0
5840,23.0522,17.910929,1,632512.47,0.6876,0
5860,23.1311,17.949758,1,491850.00,0.5347,0
5880,23.2101,17.999424,1,629113.06,0.6839,0
5900,23.2890,18.049358,1,632512.47,0.6876,0
5920,23.3680,18.087919,1,488450.60,0.5310,0
5940,23.4469,18.137853,1,632512.47,0.6876,0
5960,23.5258,18.187788,1,632512.47,0.6876,0
5980,23.6048,18.237722,1,632512.47,0.6876,0
6000,23.6837,18.276283,1,488450.60,0.5310,0
6020,23.7627,18.314844,1,488450.60,0.5310,0
6040,23.8416,18.364778,1,632512.47,0.6876,0
6060,23.9206,18.403339,1,488450.60,0.5310,0
