step,t_us,crack_tip_x_mm,n_crack_tips,crack_vel_mms,crack_vel_frac_cR,branched
29180,21.6054,16.100705,1,4661.08,0.0051,0
29200,21.6202,16.100705,1,0.00,0.0000,0
29220,21.6350,16.118752,1,1218737.07,1.3249,0
29240,21.6498,16.121091,1,157936.83,0.1717,0
29260,21.6646,16.123430,1,157936.83,0.1717,0
29280,21.6794,16.143816,1,1376673.89,1.4966,0
29300,21.6943,16.143816,1,0.00,0.0000,0
29320,21.7091,16.164202,1,1376673.89,1.4966,0
29340,21.7239,16.166541,1,157936.83,0.1717,0
29360,21.7387,16.166541,1,0.00,0.0000,0
29380,21.7535,16.186927,1,1376673.89,1.4966,0
29400,21.7683,16.189266,1,157936.83,0.1717,0
29420,21.7831,16.207314,1,1218737.07,1.3249,0
29440,21.7979,16.209652,1,157936.83,0.1717,0
29460,21.8127,16.227700,1,1218737.07,1.3249,0
29480,21.8275,16.232377,1,315873.65,0.3434,0
29500,21.8423,16.250425,1,1218737.07,1.3249,0
29520,21.8571,16.252764,1,157936.83,0.1717,0
29540,21.8720,16.270811,1,1218737.07,1.3249,0
29560,21.8868,16.273150,1,157936.83,0.1717,0
29580,21.9016,16.275489,1,157936.83,0.1717,0
29600,21.9164,16.295875,1,1376673.89,1.4966,0
29620,21.9312,16.298214,1,157936.83,0.1717,0
29640,21.9460,16.316261,1,1218737.07,1.3249,0
29660,21.9608,16.318600,1,157936.83,0.1717,0
29680,21.9756,16.336648,1,1218737.07,1.3249,0
29700,21.9904,16.338986,1,157936.83,0.1717,0
29720,22.0052,16.341325,1,157936.83,0.1717,0
29740,22.0200,16.359373,1,1218737.07,1.3249,0
29760,22.0348,16.361712,1,157936.83,0.1717,0
29780,22.0497,16.384437,1,1534610.72,1.6682,0
29800,22.0645,16.384437,1,0.00,0.0000,0
29820,22.0793,16.402484,1,1218737.07,1.3249,0
29840,22.0941,16.404823,1,157936.83,0.1717,0
29860,22.1089,16.425209,1,1376673.89,1.4966,0
29880,22.1237,16.427548,1,157936.83,0.1717,0
29900,22.1385,16.445596,1,1218737.07,1.3249,0
29920,22.1533,16.447934,1,157936.83,0.1717,0
29940,22.1681,16.465982,1,1218737.07,1.3249,0
29960,22.1829,16.468321,1,157936.83,0.1717,0
29980,22.1977,16.470659,1,157936.83,0.1717,0
30000,22.2126,16.491046,1,1376673.89,1.4966,0
30020,22.2274,16.509093,1,1218737.07,1.3249,0
30040,22.2422,16.511432,1,157936.83,0.1717,0
30060,22.2570,16.513771,1,157936.83,0.1717,0
30080,22.2718,16.534157,1,1376673.89,1.4966,0
30100,22.2866,16.536496,1,157936.83,0.1717,0
30120,22.3014,16.556882,1,1376673.89,1.4966,0
30140,22.3162,16.556882,1,0.00,0.0000,0
30160,22.3310,16.577268,1,1376673.89,1.4966,0
30180,22.3458,16.579607,1,157936.83,0.1717,0
30200,22.3606,16.599994,1,1376673.89,1.4966,0
30220,22.3754,16.599994,1,0.00,0.0000,0
30240,22.3903,16.618041,1,1218737.07,1.3249,0
30260,22.4051,16.620380,1,157936.83,0.1717,0
30280,22.4199,16.640766,1,1376673.89,1.4966,0
30300,22.4347,16.643105,1,157936.83,0.1717,0
30320,22.4495,16.661152,1,1218737.07,1.3249,0
30340,22.4643,16.665830,1,315873.65,0.3434,0
30360,22.4791,16.683877,1,1218737.07,1.3249,0
30380,22.4939,16.686216,1,157936.83,0.1717,0
30400,22.5087,16.704264,1,1218737.07,1.3249,0
30420,22.5235,16.708941,1,315873.65,0.3434,0
30440,22.5383,16.726989,1,1218737.07,1.3249,0
30460,22.5531,16.729328,1,157936.83,0.1717,0
30480,22.5680,16.729328,1,0.00,0.0000,0
30500,22.5828,16.749714,1,1376673.89,1.4966,0
30520,22.5976,16.752146,1,164238.30,0.1785,0
30540,22.6124,16.770100,1,1212435.59,1.3180,0
30560,22.6272,16.772467,1,159839.15,0.1738,0
30580,22.6420,16.792825,1,1374771.56,1.4945,0
30600,22.6568,16.792825,1,0.00,0.0000,0
30620,22.6716,16.795223,1,161886.64,0.1760,0
30640,22.6864,16.815550,1,1372724.08,1.4923,0
30660,22.7012,16.835937,1,1376673.89,1.4966,0
30680,22.7160,16.835937,1,0.00,0.0000,0
30700,22.7308,16.838275,1,157936.83,0.1717,0
30720,22.7457,16.858662,1,1376673.89,1.4966,0
30740,22.7605,16.858662,1,0.00,0.0000,0
30760,22.7753,16.879069,1,1378115.37,1.4981,0
30780,22.7901,16.881515,1,165144.21,0.1795,0
30800,22.8049,16.899434,1,1210088.21,1.3155,0
30820,22.8197,16.901773,1,157936.83,0.1717,0
30840,22.8345,16.904958,1,215094.54,0.2338,0
30860,22.8493,16.924498,1,1319516.18,1.4344,0
30880,22.8641,16.924498,1,0.00,0.0000,0
30900,22.8789,16.944884,1,1376673.89,1.4966,0
30920,22.8937,16.947223,1,157936.83,0.1717,0
30940,22.9085,16.967610,1,1376673.89,1.4966,0
30960,22.9234,16.967610,1,0.00,0.0000,0
30980,22.9382,16.987996,1,1376673.89,1.4966,0
31000,22.9530,16.990335,1,157936.83,0.1717,0
31020,22.9678,17.008382,1,1218737.07,1.3249,0
31040,22.9826,17.010721,1,157936.83,0.1717,0
31060,22.9974,17.031107,1,1376673.89,1.4966,0
31080,23.0122,17.033446,1,157936.83,0.1717,0
31100,23.0270,17.051493,1,1218737.07,1.3249,0
31120,23.0418,17.053832,1,157936.83,0.1717,0
31140,23.0566,17.071880,1,1218737.07,1.3249,0
31160,23.0714,17.076557,1,315873.65,0.3434,0
31180,23.0862,17.094605,1,1218737.07,1.3249,0
31200,23.1011,17.096944,1,157936.83,0.1717,0
31220,23.1159,17.117330,1,1376673.89,1.4966,0
31240,23.1307,17.119669,1,157936.83,0.1717,0
31260,23.1455,17.140055,1,1376673.89,1.4966,0
31280,23.1603,17.140055,1,0.00,0.0000,0
31300,23.1751,17.142394,1,157936.83,0.1717,0
31320,23.1899,17.160441,1,1218737.07,1.3249,0
31340,23.2047,17.162780,1,157936.83,0.1717,0
31360,23.2195,17.165119,1,157936.83,0.1717,0
31380,23.2343,17.185505,1,1376673.89,1.4966,0
31400,23.2491,17.185505,1,0.00,0.0000,0
31420,23.2639,17.205891,1,1376673.89,1.4966,0
31440,23.2788,17.208230,1,157936.83,0.1717,0
31460,23.2936,17.226278,1,1218737.07,1.3249,0
31480,23.3084,17.228617,1,157936.83,0.1717,0
31500,23.3232,17.228617,1,0.00,0.0000,0
31520,23.3380,17.249003,1,1376673.89,1.4966,0
31540,23.3528,17.251342,1,157936.83,0.1717,0
31560,23.3676,17.251342,1,0.00,0.0000,0
31580,23.3824,17.271728,1,1376673.89,1.4966,0
31600,23.3972,17.274067,1,157936.83,0.1717,0
31620,23.4120,17.292114,1,1218737.07,1.3249,0
31640,23.4268,17.294453,1,157936.83,0.1717,0
31660,23.4416,17.312501,1,1218737.07,1.3249,0
31680,23.4565,17.314839,1,157936.83,0.1717,0
31700,23.4713,17.337564,1,1534610.72,1.6682,0
31720,23.4861,17.337564,1,0.00,0.0000,0
31740,23.5009,17.355612,1,1218737.07,1.3249,0
31760,23.5157,17.357951,1,157936.83,0.1717,0
31780,23.5305,17.360289,1,157936.83,0.1717,0
31800,23.5453,17.378337,1,1218737.07,1.3249,0
31820,23.5601,17.380676,1,157936.83,0.1717,0
31840,23.5749,17.383015,1,157936.83,0.1717,0
31860,23.5897,17.403401,1,1376673.89,1.4966,0
31880,23.6045,17.403401,1,0.00,0.0000,0
31900,23.6193,17.423787,1,1376673.89,1.4966,0
31920,23.6342,17.426126,1,157936.83,0.1717,0
31940,23.6490,17.444173,1,1218737.07,1.3249,0
31960,23.6638,17.446512,1,157936.83,0.1717,0
31980,23.6786,17.448851,1,157936.83,0.1717,0
32000,23.6934,17.466898,1,1218737.07,1.3249,0
32020,23.7082,17.469237,1,157936.83,0.1717,0
32040,23.7230,17.487285,1,1218737.07,1.3249,0
32060,23.7378,17.491962,1,315873.65,0.3434,0
32080,23.7526,17.507671,1,1060800.24,1.1532,0
32100,23.7674,17.512349,1,315873.65,0.3434,0
32120,23.7822,17.512349,1,0.00,0.0000,0
32140,23.7970,17.530396,1,1218737.07,1.3249,0
32160,23.8119,17.532735,1,157936.83,0.1717,0
32180,23.8267,17.535074,1,157936.83,0.1717,0
32200,23.8415,17.557799,1,1534610.72,1.6682,0
32220,23.8563,17.575846,1,1218737.07,1.3249,0
32240,23.8711,17.578185,1,157936.83,0.1717,0
32260,23.8859,17.578185,1,0.00,0.0000,0
32280,23.9007,17.598571,1,1376673.89,1.4966,0
32300,23.9155,17.600910,1,157936.83,0.1717,0
32320,23.9303,17.618958,1,1218737.07,1.3249,0
32340,23.9451,17.621296,1,157936.83,0.1717,0
32360,23.9599,17.623635,1,157936.83,0.1717,0
32380,23.9747,17.641683,1,1218737.07,1.3249,0
32400,23.9896,17.644022,1,157936.83,0.1717,0
32420,24.0044,17.662069,1,1218737.07,1.3249,0
32440,24.0192,17.664408,1,157936.83,0.1717,0
32460,24.0340,17.666747,1,157936.83,0.1717,0
32480,24.0488,17.687133,1,1376673.89,1.4966,0
32500,24.0636,17.707519,1,1376673.89,1.4966,0
32520,24.0784,17.707519,1,0.00,0.0000,0
32540,24.0932,17.709858,1,157936.83,0.1717,0
32560,24.1080,17.727905,1,1218737.07,1.3249,0
32580,24.1228,17.730244,1,157936.83,0.1717,0
32600,24.1376,17.750631,1,1376673.89,1.4966,0
32620,24.1524,17.750631,1,0.00,0.0000,0
32640,24.1673,17.752969,1,157936.83,0.1717,0
32660,24.1821,17.773356,1,1376673.89,1.4966,0
32680,24.1969,17.775694,1,157936.83,0.1717,0
32700,24.2117,17.796081,1,1376673.89,1.4966,0
32720,24.2265,17.796081,1,0.00,0.0000,0
32740,24.2413,17.816467,1,1376673.89,1.4966,0
32760,24.2561,17.818806,1,157936.83,0.1717,0
32780,24.2709,17.836853,1,1218737.07,1.3249,0
32800,24.2857,17.839192,1,157936.83,0.1717,0
32820,24.3005,17.859578,1,1376673.89,1.4966,0
32840,24.3153,17.861917,1,157936.83,0.1717,0
32860,24.3301,17.861917,1,0.00,0.0000,0
32880,24.3450,17.879965,1,1218737.07,1.3249,0
32900,24.3598,17.882303,1,157936.83,0.1717,0
32920,24.3746,17.884642,1,157936.83,0.1717,0
32940,24.3894,17.905029,1,1376673.89,1.4966,0
32960,24.4042,17.905029,1,0.00,0.0000,0
32980,24.4190,17.925415,1,1376673.89,1.4966,0
