step,t_us,crack_tip_x_mm,n_crack_tips,crack_vel_mms,crack_vel_frac_cR,branched
13760,21.5450,16.122724,1,5696.17,0.0062,0
13780,21.5763,16.143624,1,667394.82,0.7255,0
13800,21.6076,16.158067,1,461229.21,0.5014,0
13820,21.6389,16.182961,1,794926.62,0.8642,0
13840,21.6703,16.197404,1,461229.21,0.5014,0
13860,21.7016,16.218304,1,667394.82,0.7255,0
13880,21.7329,16.232748,1,461229.21,0.5014,0
13900,21.7642,16.268091,1,1128624.03,1.2269,0
13920,21.7955,16.282534,1,461229.21,0.5014,0
13940,21.8268,16.296978,1,461229.21,0.5014,0
13960,21.8581,16.311422,1,461229.21,0.5014,0
13980,21.8895,16.346765,1,1128624.03,1.2269,0
14000,21.9208,16.361208,1,461229.21,0.5014,0
14020,21.9521,16.382108,1,667394.82,0.7255,0
14040,21.9834,16.396552,1,461229.21,0.5014,0
14060,22.0147,16.435889,1,1256155.84,1.3655,0
14080,22.0460,16.446339,1,333697.41,0.3628,0
14100,22.0774,16.471232,1,794926.62,0.8642,0
14120,22.1087,16.485676,1,461229.21,0.5014,0
14140,22.1400,16.510569,1,794926.62,0.8642,0
14160,22.1713,16.525013,1,461229.21,0.5014,0
14180,22.2026,16.560356,1,1128624.03,1.2269,0
14200,22.2339,16.570806,1,333697.41,0.3628,0
14220,22.2652,16.599693,1,922458.43,1.0028,0
14240,22.2966,16.620593,1,667394.82,0.7255,0
14260,22.3279,16.645486,1,794926.62,0.8642,0
14280,22.3592,16.659930,1,461229.21,0.5014,0
14300,22.3905,16.695273,1,1128624.64,1.2269,0
14320,22.4218,16.709717,1,461228.60,0.5014,0
14340,22.4531,16.738604,1,922458.43,1.0028,0
14360,22.4845,16.749054,1,333697.41,0.3628,0
14380,22.5158,16.773947,1,794926.62,0.8642,0
14400,22.5471,16.798841,1,794926.62,0.8642,0
14420,22.5784,16.813284,1,461229.21,0.5014,0
14440,22.6097,16.834184,1,667394.82,0.7255,0
14460,22.6410,16.863071,1,922458.43,1.0028,0
14480,22.6723,16.873521,1,333697.41,0.3628,0
14500,22.7037,16.898414,1,794926.62,0.8642,0
