step,t_us,crack_tip_x_mm,n_crack_tips,crack_vel_mms,crack_vel_frac_cR,branched
8000,16.1548,16.117634,1,7281.70,0.0079,0
8020,16.1951,16.129305,1,288991.65,0.3142,0
8040,16.2355,16.142519,1,327172.82,0.3557,0
8060,16.2759,16.155700,1,326361.51,0.3548,0
8080,16.3163,16.204266,1,1202534.47,1.3073,0
8100,16.3567,16.242446,1,945357.39,1.0277,0
8120,16.3971,16.255639,1,326667.79,0.3551,0
8140,16.4375,16.279227,1,584043.61,0.6349,0
8160,16.4778,16.304214,1,618689.60,0.6726,0
8180,16.5182,16.367381,1,1564046.99,1.7002,0
8200,16.5586,16.392368,1,618689.60,0.6726,0
8220,16.5990,16.503405,1,2749342.55,2.9888,0
8240,16.6394,16.509412,1,148717.10,0.1617,0
8260,16.6798,16.509412,1,0.00,0.0000,0
8280,16.7202,16.518307,1,220253.34,0.2394,0
8300,16.7606,16.518307,1,0.00,0.0000,0
8320,16.8009,16.518307,1,0.00,0.0000,0
8340,16.8413,16.518307,1,0.00,0.0000,0
8360,16.8817,16.518307,1,0.00,0.0000,0
8380,16.9221,16.518307,1,0.00,0.0000,0
8400,16.9625,16.518307,1,0.00,0.0000,0
8420,17.0029,16.518307,1,0.00,0.0000,0
8440,17.0433,16.518307,1,0.00,0.0000,0
8460,17.0837,16.518307,1,0.00,0.0000,0
8480,17.1240,16.518307,1,0.00,0.0000,0
8500,17.1644,16.518307,1,0.00,0.0000,0
8520,17.2048,16.529957,1,288450.77,0.3136,0
8540,17.2452,16.529957,1,0.00,0.0000,0
8560,17.2856,16.944195,1,10256750.95,11.1499,0
8580,17.3260,16.965468,1,526747.87,0.5726,0
8600,17.3664,17.006647,1,1019601.58,1.1084,0
8620,17.4067,17.028835,1,549397.62,0.5972,0
8640,17.4471,17.067015,1,945357.39,1.0277,0
8660,17.4875,17.081608,1,361313.79,0.3928,0
8680,17.5279,17.105196,1,584043.61,0.6349,0
8700,17.5683,17.143376,1,945357.39,1.0277,0
8720,17.6087,17.193349,1,1237379.20,1.3451,0
8740,17.6491,17.218336,1,618689.60,0.6726,0
8760,17.6895,17.266911,1,1202733.21,1.3075,0
8780,17.7298,17.280104,1,326667.79,0.3551,0
8800,17.7702,17.403405,1,3053002.16,3.3189,0
8820,17.8106,17.409412,1,148717.10,0.1617,0
8840,17.8510,17.409412,1,0.00,0.0000,0
8860,17.8914,17.418307,1,220253.34,0.2394,0
8880,17.9318,17.418307,1,0.00,0.0000,0
8900,17.9722,17.418307,1,0.00,0.0000,0
8920,18.0125,17.418307,1,0.00,0.0000,0
8940,18.0529,17.418307,1,0.00,0.0000,0
8960,18.0933,17.418307,1,0.00,0.0000,0
8980,18.1337,17.418307,1,0.00,0.0000,0
9000,18.1741,17.418307,1,0.00,0.0000,0
9020,18.2145,17.418307,1,0.00,0.0000,0
9040,18.2549,17.418307,1,0.00,0.0000,0
9060,18.2953,17.418307,1,0.00,0.0000,0
9080,18.3356,17.418307,1,0.00,0.0000,0
9100,18.3760,17.842918,1,10513592.48,11.4291,0
9120,18.4164,17.844409,1,36919.89,0.0401,0
9140,18.4568,17.892984,1,1202733.21,1.3075,0
9160,18.4972,17.904778,1,292021.80,0.3175,0
9180,18.5376,17.917971,1,326667.79,0.3551,0
9200,18.5780,17.931164,1,326667.79,0.3551,0
9220,18.6184,17.967945,1,910711.40,0.9900,0
9240,18.6587,18.004726,1,910711.40,0.9900,0
9260,18.6991,18.029712,1,618689.60,0.6726,0
9280,18.7395,18.067893,1,945357.39,1.0277,0
9300,18.7799,18.106073,1,945357.39,1.0277,0
9320,18.8203,18.142853,1,910711.40,0.9900,0
9340,18.8607,18.179634,1,910711.40,0.9900,0
9360,18.9011,18.229474,1,1234072.21,1.3415,0
9380,18.9414,18.303405,1,1830567.75,1.9900,0
9400,18.9818,18.309412,1,148717.10,0.1617,0
9420,19.0222,18.309412,1,0.00,0.0000,0
9440,19.0626,18.318307,1,220253.34,0.2394,0
9460,19.1030,18.318307,1,0.00,0.0000,0
9480,19.1434,18.318307,1,0.00,0.0000,0
9500,19.1838,18.318307,1,0.00,0.0000,0
9520,19.2242,18.318307,1,0.00,0.0000,0
9540,19.2645,18.318307,1,0.00,0.0000,0
9560,19.3049,18.318307,1,0.00,0.0000,0
9580,19.3453,18.318307,1,0.00,0.0000,0
9600,19.3857,18.318307,1,0.00,0.0000,0
9620,19.4261,18.318307,1,0.00,0.0000,0
9640,19.4665,18.318307,1,0.00,0.0000,0
9660,19.5069,18.318307,1,0.00,0.0000,0
9680,19.5473,18.329957,1,288450.77,0.3136,0
9700,19.5876,18.757762,1,10592691.64,11.5151,0
9720,19.6280,18.768926,1,276421.75,0.3005,0
9740,19.6684,18.818900,1,1237379.20,1.3451,0
9760,19.7088,18.830694,1,292021.80,0.3175,0
9780,19.7492,18.855681,1,618689.60,0.6726,0
9800,19.7896,18.880668,1,618689.60,0.6726,0
9820,19.8300,18.905655,1,618689.60,0.6726,0
9840,19.8703,18.955629,1,1237379.20,1.3451,0
9860,19.9107,18.980616,1,618689.60,0.6726,0
9880,19.9511,19.017396,1,910711.40,0.9900,0
9900,19.9915,19.042383,1,618689.60,0.6726,0
9920,20.0319,19.152974,1,2738294.04,2.9768,0
9940,20.0723,19.200379,1,1173768.67,1.2760,0
9960,20.1127,19.209412,1,223643.55,0.2431,0
9980,20.1531,19.209412,1,0.00,0.0000,0
10000,20.1934,19.218307,1,220253.34,0.2394,0
10020,20.2338,19.218307,1,0.00,0.0000,0
10040,20.2742,19.218307,1,0.00,0.0000,0
10060,20.3146,19.218307,1,0.00,0.0000,0
10080,20.3550,19.218307,1,0.00,0.0000,0
10100,20.3954,19.218307,1,0.00,0.0000,0
10120,20.4358,19.218307,1,0.00,0.0000,0
10140,20.4761,19.218307,1,0.00,0.0000,0
10160,20.5165,19.218307,1,0.00,0.0000,0
10180,20.5569,19.218307,1,0.00,0.0000,0
10200,20.5973,19.218307,1,0.00,0.0000,0
10220,20.6377,19.218307,1,0.00,0.0000,0
10240,20.6781,19.218307,1,0.00,0.0000,0
10260,20.7185,19.670944,1,11207535.43,12.1835,0
10280,20.7589,19.683048,1,299704.71,0.3258,0
10300,20.7992,19.719829,1,910711.40,0.9900,0
10320,20.8396,19.731623,1,292021.80,0.3175,0
10340,20.8800,19.733022,1,34645.99,0.0377,0
10360,20.9204,19.781597,1,1202733.21,1.3075,0
10380,20.9608,19.806584,1,618689.60,0.6726,0
10400,21.0012,19.869751,1,1564046.99,1.7002,0
10420,21.0416,19.869751,1,0.00,0.0000,0
10440,21.0820,19.931519,1,1529401.00,1.6626,0
10460,21.1223,19.943313,1,292021.80,0.3175,0
10480,21.1627,20.018273,1,1856068.80,2.0177,0
10500,21.2031,20.100379,1,2032985.73,2.2100,0
10520,21.2435,20.109412,1,223643.55,0.2431,0
10540,21.2839,20.109412,1,0.00,0.0000,0
10560,21.3243,20.109412,1,0.00,0.0000,0
10580,21.3647,20.118307,1,220253.34,0.2394,0
10600,21.4050,20.118307,1,0.00,0.0000,0
10620,21.4454,20.118307,1,0.00,0.0000,0
10640,21.4858,20.118307,1,0.00,0.0000,0
10660,21.5262,20.118307,1,0.00,0.0000,0
10680,21.5666,20.118307,1,0.00,0.0000,0
10700,21.6070,20.118307,1,0.00,0.0000,0
10720,21.6474,20.118307,1,0.00,0.0000,0
10740,21.6878,20.118307,1,0.00,0.0000,0
10760,21.7281,20.118307,1,0.00,0.0000,0
10780,21.7685,20.118307,1,0.00,0.0000,0
10800,21.8089,20.536338,1,10350675.00,11.2520,0
10820,21.8493,20.558246,1,542432.86,0.5897,0
10840,21.8897,20.568030,1,242262.76,0.2634,0
10860,21.9301,20.631153,1,1562964.92,1.6991,0
10880,21.9705,20.642947,1,292021.80,0.3175,0
10900,22.0109,20.682526,1,980003.38,1.0653,0
10920,22.0512,20.694320,1,292021.80,0.3175,0
10940,22.0916,20.731101,1,910711.40,0.9900,0
10960,22.1320,20.744294,1,326667.79,0.3551,0
10980,22.1724,20.782474,1,945357.39,1.0277,0
11000,22.2128,20.831049,1,1202733.21,1.3075,0
11020,22.2532,20.844242,1,326667.79,0.3551,0
11040,22.2936,20.881023,1,910711.40,0.9900,0
11060,22.3339,20.931202,1,1242472.57,1.3507,0
11080,22.3743,21.009412,1,1936505.91,2.1051,0
11100,22.4147,21.009412,1,0.00,0.0000,0
11120,22.4551,21.009412,1,0.00,0.0000,0
