l0,step,driving_energy,fracture_surface_energy,fracture_gradient_energy
0.08,0,0.0,0.0,0.0
0.08,1,1.7208636836628515e-06,0.0,0.0
0.08,2,6.883454734651406e-06,0.0,0.0
0.08,3,1.5487773152965663e-05,0.0,0.0
0.08,4,2.7533818938605625e-05,0.0,0.0
0.08,5,4.3021592091571275e-05,0.0,0.0
0.08,6,6.195109261186265e-05,0.0,0.0
0.08,7,8.432232049947974e-05,0.0,0.0
0.08,8,0.0001101352757544225,0.0,0.0
0.08,9,0.00013938995837669096,0.0,0.0
0.08,10,0.0001720863683662851,0.0,0.0
0.08,11,0.00020822450572320506,0.0,0.0
0.08,12,0.0002478043704474506,0.0,0.0
0.08,13,0.0002908259625390219,0.0,0.0
0.08,14,0.00033728928199791894,0.0,0.0
0.08,15,0.0003810280835374959,6.06838321566565e-06,0.0
0.08,16,0.00040634517135180765,3.154974120718739e-05,0.0
0.08,17,0.00043164956351628804,5.7032948271151366e-05,0.0
0.08,18,0.0004569431004980457,8.251616394030763e-05,0.0
0.08,19,0.0004822257641272419,0.00010799940638440542,0.0
0.08,20,0.0005074951365795573,0.00013348509342792788,0.0
0.08,21,0.0005327586216873979,0.00015896582123871647,0.0
0.08,22,0.0005580060051439371,0.00018445180412298781,0.0
0.08,23,0.0005832480613577,0.0002099322676727718,0.0
0.08,24,0.0006084765055146956,0.00023541549670169344,0.0
0.08,25,0.0006336910269345214,0.00026090180189007,0.0
0.08,26,0.0006588976015173331,0.0002863852073385229,0.0
0.08,27,0.0006840967787489969,0.00031186516356031393,0.0
0.08,28,0.0007092783353813269,0.00033735189380398965,0.0
0.08,29,0.0007344560474708596,0.0003628316220128894,0.0
0.08,30,0.0007596194672342333,0.00038831479597077465,0.0
0.08,31,0.0007847718840043804,0.0004137981263436341,0.0
0.12,0,0.0,0.0,0.0
0.12,1,1.7208636836628515e-06,0.0,0.0
0.12,2,6.883454734651406e-06,0.0,0.0
0.12,3,1.5487773152965663e-05,0.0,0.0
0.12,4,2.7533818938605625e-05,0.0,0.0
0.12,5,4.3021592091571275e-05,0.0,0.0
0.12,6,6.195109261186265e-05,0.0,0.0
0.12,7,8.432232049947974e-05,0.0,0.0
0.12,8,0.0001101352757544225,0.0,0.0
0.12,9,0.00013938995837669096,0.0,0.0
0.12,10,0.0001720863683662851,0.0,0.0
0.12,11,0.00020822450572320506,0.0,0.0
0.12,12,0.0002478043704474506,0.0,0.0
0.12,13,0.0002908259625390219,0.0,0.0
0.12,14,0.00033728928199791894,0.0,0.0
0.12,15,0.00038101785882021496,6.07845348678689e-06,0.0
0.12,16,0.00040629159569859357,3.1599140556068134e-05,0.0
0.12,17,0.00043154630542924406,5.712255922836439e-05,0.0
0.12,18,0.00045678474887127446,8.264594864387306e-05,0.0
0.12,19,0.00048200358493390817,0.00010817264989262067,0.0
0.12,20,0.0005072126194016737,0.00013369285719084059,0.0
0.12,21,0.0005324023444004647,0.00015921607841392902,0.0
0.12,22,0.0005575714719864366,0.0001847436015029631,0.0
0.12,23,0.0005827284797383022,0.000210266948878731,0.0
0.12,24,0.0006078731081742474,0.00023578638002766714,0.0
0.12,25,0.0006329973412342965,0.00026130991100490757,0.0
0.12,26,0.0006581053406890223,0.00028683338004230097,0.0
0.12,27,0.0006831971101526497,0.00031235678352561577,0.0
0.12,28,0.0007082726589275976,0.00033788011215250455,0.0
0.12,29,0.0007333320037872568,0.0003634033491497523,0.0
0.12,30,0.0007583696043458282,0.00038893203489898673,0.0
0.12,31,0.0007833956798889345,0.0004144559501225452,0.0
0.18,0,0.0,0.0,0.0
0.18,1,1.7208636836628515e-06,0.0,0.0
0.18,2,6.883454734651406e-06,0.0,0.0
0.18,3,1.5487773152965663e-05,0.0,0.0
0.18,4,2.7533818938605625e-05,0.0,0.0
0.18,5,4.3021592091571275e-05,0.0,0.0
0.18,6,6.195109261186265e-05,0.0,0.0
0.18,7,8.432232049947974e-05,0.0,0.0
0.18,8,0.0001101352757544225,0.0,0.0
0.18,9,0.00013938995837669096,0.0,0.0
0.18,10,0.0001720863683662851,0.0,0.0
0.18,11,0.00020822450572320506,0.0,0.0
0.18,12,0.0002478043704474506,0.0,0.0
0.18,13,0.0002908259625390219,0.0,0.0
0.18,14,0.00033728928199791894,0.0,0.0
0.18,15,0.00038100258156813287,6.093498154469964e-06,0.0
0.18,16,0.0004062069549917926,3.167749203218765e-05,0.0
0.18,17,0.0004313904133937563,5.725789960661365e-05,0.0
0.18,18,0.0004565464002402916,8.284127742190428e-05,0.0
0.18,19,0.0004816725387051053,0.00010843000228827487,0.0
0.18,20,0.0005067834151493972,0.00013400948785298336,0.0
0.18,21,0.0005318604655328025,0.00015959829815630333,0.0
0.18,22,0.0005569229131530735,0.00018517720990071749,0.0
0.18,23,0.0005819498005736376,0.00021076718052355945,0.0
0.18,24,0.0006069591637446973,0.00023635017405837166,0.0
0.18,25,0.0006319477217383291,0.00026192947146115114,0.0
0.18,26,0.0006569008026451791,0.00028751974463131014,0.0
0.18,27,0.0006818366779525684,0.0003131027220595163,0.0
0.18,28,0.0007067529316232412,0.0003386808198199845,0.0
0.18,29,0.0007316376792655591,0.0003642659222677364,0.0
0.18,30,0.0007564926031705173,0.00038985634714977047,0.0
0.18,31,0.0007813304602451005,0.00041543933751780145,0.0
