l0,step,elapsed_s
0.08,0,0.004219499998725951
0.08,1,0.0002561250003054738
0.08,2,0.00022683298448100686
0.08,3,0.00021412500063888729
0.08,4,0.00021195801673457026
0.08,5,0.0002148329804185778
0.08,6,0.00020725000649690628
0.08,7,0.0002049999893642962
0.08,8,0.0002058749960269779
0.08,9,0.00020333300926722586
0.08,10,0.00020654199761338532
0.08,11,0.00020104198483750224
0.08,12,0.00020045798737555742
0.08,13,0.00020070798927918077
0.08,14,0.00019908399553969502
0.08,15,0.03404795899405144
0.08,16,0.07499125000322238
0.08,17,0.05885737499920651
0.08,18,0.05537604200071655
0.08,19,0.0544941250118427
0.08,20,0.04827608400955796
0.08,21,0.04479766602162272
0.08,22,0.041893209010595456
0.08,23,0.039142916997661814
0.08,24,0.035976083017885685
0.08,25,0.03404704201966524
0.08,26,0.031157499994151294
0.08,27,0.02921224999590777
0.08,28,0.0270507910172455
0.08,29,0.024961084011010826
0.08,30,0.022380000009434298
0.08,31,0.02015595801640302
0.12,0,0.00026070899912156165
0.12,1,0.00021974998526275158
0.12,2,0.000215375010157004
0.12,3,0.0002152920060325414
0.12,4,0.00020945799769833684
0.12,5,0.00021224998636171222
0.12,6,0.0002076250093523413
0.12,7,0.00020879099611192942
0.12,8,0.00021054100943729281
0.12,9,0.00020304200006648898
0.12,10,0.00020545799634419382
0.12,11,0.00020325000514276326
0.12,12,0.00020816700998693705
0.12,13,0.00020683399634435773
0.12,14,0.0002079170080833137
0.12,15,0.02444708300754428
0.12,16,0.009942875010892749
0.12,17,0.012034874991513789
0.12,18,0.013414040993666276
0.12,19,0.013400042022112757
0.12,20,0.020038916991325095
0.12,21,0.019596541998907924
0.12,22,0.021795624983496964
0.12,23,0.02011162502458319
0.12,24,0.018715084006544203
0.12,25,0.017286541988141835
0.12,26,0.016013707994716242
0.12,27,0.015614459000062197
0.12,28,0.014476333017228171
0.12,29,0.014012875006301329
0.12,30,0.013283207983477041
0.12,31,0.012787083978764713
0.18,0,0.0002455420035403222
0.18,1,0.00040454199188388884
0.18,2,0.00024016600218601525
0.18,3,0.00022033299319446087
0.18,4,0.0005341670184861869
0.18,5,0.00024916601250879467
0.18,6,0.00022666598670184612
0.18,7,0.00042012499761767685
0.18,8,0.0002156670088879764
0.18,9,0.0002190409868489951
0.18,10,0.0004950420116074383
0.18,11,0.00024383299751207232
0.18,12,0.0002202920150011778
0.18,13,0.0004451249842531979
0.18,14,0.00023712500114925206
0.18,15,0.007016584015218541
0.18,16,0.008112625015201047
0.18,17,0.007279999990714714
0.18,18,0.006676166987745091
0.18,19,0.006288874981692061
0.18,20,0.006735458999173716
0.18,21,0.006398291006917134
0.18,22,0.006001083005685359
0.18,23,0.00534008297836408
0.18,24,0.005309041007421911
0.18,25,0.005314334004651755
0.18,26,0.0042080839921254665
0.18,27,0.004840499983401969
0.18,28,0.004321625019656494
0.18,29,0.00412587498431094
0.18,30,0.003687458985950798
0.18,31,0.004021875007310882
