step,opening,bulk_elastic_energy,cohesive_dissipated_energy,external_work,energy_balance_gap
0,0.0,0.0,0.0,0.0,0.0
1,0.03,0.00897011733230418,0.0004303450176383454,0.011252463777302473,0.0018520014273599467
2,0.06,0.02988545409813596,0.004479593619474756,0.041487954786399744,0.007122907068789028
3,0.09,0.05566104137406694,0.01343320603817983,0.08457328006509798,0.015479032652851221
4,0.12,0.08349219942184263,0.0273004280739145,0.13630389041156638,0.02551126291580924
5,0.15,0.11206799395929833,0.04590478621583269,0.1938806299418192,0.035907849766688205
6,0.18,0.13783276961478216,0.0715728174601851,0.2547058966285258,0.045300309553558515
7,0.21,0.16005509792443331,0.10509415128392313,0.31607199137321695,0.05092274216486048
8,0.24,0.1751363516859768,0.14872900819243956,0.375187900476596,0.051322540598179645
9,0.27,0.18976907591626818,0.19057481928551812,0.43079130020571527,0.05044740500392897
10,0.3,0.20270963453921417,0.22991857208931327,0.48336514446493833,0.05073693783641092
