step,opening,opening_force,reaction_force,converged,newton_iterations,residual_norm,damage_max,damage_mean,active_segments,delamination_front_x,bulk_elastic_energy,cohesive_dissipated_energy,external_work,energy_balance_gap,elapsed_s
0,0.0,0.0,0.0,True,0,0.0,0.0,0.0,0,1.5,0.0,0.0,0.0,0.0,0.010286457982147112
1,0.03,0.7501642518201649,0.7501642518201649,True,4,2.928991175568387e-14,0.27086648631220167,0.011286103596341737,1,1.875,0.00897011733230418,0.0004303450176383454,0.011252463777302473,0.0018520014273599467,0.24269749998347834
2,0.06,1.2655351487863198,1.2655351487863198,True,4,1.243213093426542e-10,0.7479096830122461,0.05622815370250594,1,1.875,0.02988545409813596,0.004479593619474756,0.041487954786399744,0.007122907068789028,0.016218750010011718
3,0.09,1.6068198697935623,1.6068198697935623,True,4,2.433667068555434e-13,0.8812441516661659,0.10608416665457326,2,2.25,0.05566104137406694,0.01343320603817983,0.08457328006509798,0.015479032652851221,0.016826042003231123
4,0.12,1.8418874866376638,1.8418874866376638,True,4,2.8819983213047997e-13,0.9363435145288674,0.15455854366027502,3,2.625,0.08349219942184263,0.0273004280739145,0.13630389041156638,0.02551126291580924,0.016166582994628698
5,0.15,1.9965618153791909,1.9965618153791909,True,4,1.77967233612911e-13,0.9648000095453484,0.19383146143738914,3,2.625,0.11206799395929833,0.04590478621583269,0.1938806299418192,0.035907849766688205,0.017595833021914586
6,0.18,2.0584559637345805,2.0584559637345805,True,4,4.2014542468586884e-13,0.9822469675494807,0.23915151467931092,4,3.0,0.13783276961478216,0.0715728174601851,0.2547058966285258,0.045300309553558515,0.016898291010875255
7,0.21,2.032617019244834,2.032617019244834,True,4,3.4290769391168234e-13,0.9937289421633726,0.27968279351440833,4,3.0,0.16005509792443331,0.10509415128392313,0.31607199137321695,0.05092274216486048,0.0218580839864444
8,0.24,1.9084435876471046,1.9084435876471046,True,4,5.689901269447916e-13,1.0,0.3294583200632732,5,3.375,0.1751363516859768,0.14872900819243956,0.375187900476596,0.051322540598179645,0.023880416993051767
9,0.27,1.7984497276275095,1.7984497276275095,True,4,5.964016278723954e-13,1.0,0.3712288276351441,5,3.375,0.18976907591626818,0.19057481928551812,0.43079130020571527,0.05044740500392897,0.017161666008178145
10,0.3,1.706473222987365,1.706473222987365,True,4,5.910644895016096e-13,1.0,0.4163259175657937,6,3.75,0.20270963453921417,0.22991857208931327,0.48336514446493833,0.05073693783641092,0.017831125005614012
