l0,step,sigma_ts,sigma_trial,strain,applied_disp,H,H_over_Hcrit,damage_mean,damage_max,degradation_mean,degraded_stress,reaction_force,driving_energy,fracture_surface_energy,fracture_gradient_energy,solver_iters,residual_norm,solver_converged,Gc_l0_over_pi,elapsed_s
0.08,0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,True,0.0030557749073643905,0.0048411669849883765
0.08,1,3.0,0.20322580645161292,6.774193548387098e-05,6.774193548387098e-05,6.883454734651406e-06,0.004588969823100937,0.0,0.0,1.0,0.20322580645161292,0.20322580645161292,1.7208636836628515e-06,0.0,0.0,0,0.0,True,0.0030557749073643905,0.00024058300186879933
0.08,2,3.0,0.40645161290322585,0.00013548387096774196,0.00013548387096774196,2.7533818938605625e-05,0.01835587929240375,0.0,0.0,1.0,0.40645161290322585,0.40645161290322585,6.883454734651406e-06,0.0,0.0,0,0.0,True,0.0030557749073643905,0.00021979102166369557
0.08,3,3.0,0.6096774193548388,0.00020322580645161292,0.00020322580645161292,6.195109261186265e-05,0.04130072840790844,0.0,0.0,1.0,0.6096774193548388,0.6096774193548388,1.5487773152965663e-05,0.0,0.0,0,0.0,True,0.0030557749073643905,0.00019937497563660145
0.08,4,3.0,0.8129032258064517,0.0002709677419354839,0.0002709677419354839,0.0001101352757544225,0.073423517169615,0.0,0.0,1.0,0.8129032258064517,0.8129032258064517,2.7533818938605625e-05,0.0,0.0,0,0.0,True,0.0030557749073643905,0.00019912500283680856
0.08,5,3.0,1.0161290322580645,0.00033870967741935485,0.00033870967741935485,0.0001720863683662851,0.11472424557752339,0.0,0.0,1.0,1.0161290322580645,1.0161290322580645,4.3021592091571275e-05,0.0,0.0,0,0.0,True,0.0030557749073643905,0.0002003330155275762
0.08,6,3.0,1.2193548387096775,0.00040645161290322584,0.00040645161290322584,0.0002478043704474506,0.16520291363163375,0.0,0.0,1.0,1.2193548387096775,1.2193548387096775,6.195109261186265e-05,0.0,0.0,0,0.0,True,0.0030557749073643905,0.0002015409991145134
0.08,7,3.0,1.4225806451612906,0.00047419354838709683,0.00047419354838709683,0.00033728928199791894,0.22485952133194595,0.0,0.0,1.0,1.4225806451612906,1.4225806451612906,8.432232049947974e-05,0.0,0.0,0,0.0,True,0.0030557749073643905,0.00018541599274612963
0.08,8,3.0,1.6258064516129034,0.0005419354838709678,0.0005419354838709678,0.00044054110301769,0.29369406867846,0.0,0.0,1.0,1.6258064516129034,1.6258064516129034,0.0001101352757544225,0.0,0.0,0,0.0,True,0.0030557749073643905,0.00017262500477954745
0.08,9,3.0,1.8290322580645162,0.0006096774193548387,0.0006096774193548387,0.0005575598335067638,0.3717065556711759,0.0,0.0,1.0,1.8290322580645162,1.8290322580645162,0.00013938995837669096,0.0,0.0,0,0.0,True,0.0030557749073643905,0.00017262500477954745
0.08,10,3.0,2.032258064516129,0.0006774193548387097,0.0006774193548387097,0.0006883454734651404,0.45889698231009357,0.0,0.0,1.0,2.032258064516129,2.032258064516129,0.0001720863683662851,0.0,0.0,0,0.0,True,0.0030557749073643905,0.00017295798170380294
0.08,11,3.0,2.2354838709677423,0.0007451612903225808,0.0007451612903225808,0.0008328980228928202,0.5552653485952135,0.0,0.0,1.0,2.2354838709677423,2.2354838709677423,0.00020822450572320506,0.0,0.0,0,0.0,True,0.0030557749073643905,0.00019374999101273715
0.08,12,3.0,2.438709677419355,0.0008129032258064517,0.0008129032258064517,0.0009912174817898025,0.660811654526535,0.0,0.0,1.0,2.438709677419355,2.438709677419355,0.0002478043704474506,0.0,0.0,0,0.0,True,0.0030557749073643905,0.00019266697927378118
0.08,13,3.0,2.641935483870968,0.0008806451612903227,0.0008806451612903227,0.0011633038501560875,0.7755359001040584,0.0,0.0,1.0,2.641935483870968,2.641935483870968,0.0002908259625390219,0.0,0.0,0,0.0,True,0.0030557749073643905,0.00019391599926166236
0.08,14,3.0,2.845161290322581,0.0009483870967741937,0.0009483870967741937,0.0013491571279916758,0.8994380853277838,0.0,0.0,1.0,2.845161290322581,2.845161290322581,0.00033728928199791894,0.0,0.0,0,0.0,True,0.0030557749073643905,0.00019954200251959264
0.08,15,3.0,3.048387096774194,0.0010161290322580647,0.0010161290322580647,0.0015487773152965667,1.032518210197711,2.5419507248344787e-05,2.541955697964912e-05,0.9840745464806474,2.9998401497555225,2.9998401497555225,0.0003810280835374959,6.06838321566565e-06,0.0,105,1.0944098114723426e-07,True,0.0030557749073643905,0.03607020800700411
0.08,16,3.0,3.2516129032258068,0.0010838709677419356,0.0010838709677419356,0.00176216441207076,1.17477627471384,0.00013216398059109492,0.000132164102220978,0.9223774321359767,2.999214359977628,2.999214359977628,0.00040634517135180765,3.154974120718739e-05,0.0,202,1.0879888347909954e-07,True,0.0030557749073643905,0.07273512499523349
0.08,17,3.0,3.4548387096774196,0.0011516129032258064,0.0011516129032258064,0.0019893184183142564,1.326212278876171,0.00023892759826689463,0.00023892773733687068,0.8679345841116111,2.998573998656566,2.998573998656566,0.00043164956351628804,5.7032948271151366e-05,0.0,186,1.103264828723674e-07,True,0.0030557749073643905,0.060359374998370185
0.08,18,3.0,3.6580645161290324,0.0012193548387096774,0.0012193548387096774,0.0022302393340270553,1.4868262226847035,0.00034570265441234244,0.00034570281086571537,0.8195409228532645,2.9979335694051676,2.9979335694051676,0.0004569431004980457,8.251616394030763e-05,0.0,172,1.1084377794502947e-07,True,0.0030557749073643905,0.055671916983556
0.08,19,3.0,3.8612903225806456,0.0012870967741935486,0.0012870967741935486,0.0024849271592091576,1.6566181061394385,0.000452489228836849,0.0004524893997836445,0.7762412871381116,2.997292970013935,2.997292970013935,0.0004822257641272419,0.00010799940638440542,0.0,160,1.0883134529808924e-07,True,0.0030557749073643905,0.05015712499152869
0.08,20,3.0,4.064516129032258,0.0013548387096774194,0.0013548387096774194,0.0027533818938605616,1.8355879292403743,0.0005592974586595322,0.0005592975472915935,0.7372680668978906,2.99663794932691,2.99663794932691,0.0005074951365795573,0.00013348509342792788,0.0,149,1.0757956502850529e-07,True,0.0030557749073643905,0.04682087499531917
0.08,21,3.0,4.267741935483872,0.0014225806451612906,0.0014225806451612906,0.0030356035379812706,2.023735691987514,0.0006660963170523555,0.0006660965299676763,0.702013441507176,2.996012203593529,2.996012203593529,0.0005327586216873979,0.00015896582123871647,0.0,138,1.1123466571046473e-07,True,0.0030557749073643905,0.044194916990818456
0.08,22,3.0,4.4709677419354845,0.0014903225806451616,0.0014903225806451616,0.003331592091571281,2.221061394380854,0.0007729286196911182,0.0007729287289053462,0.6699571733954554,2.995356910729359,2.995356910729359,0.0005580060051439371,0.00018445180412298781,0.0,129,1.0919079183278473e-07,True,0.0030557749073643905,0.041528708999976516
0.08,23,3.0,4.674193548387097,0.0015580645161290324,0.0015580645161290324,0.003641347554630594,2.427565036420396,0.0008797492058288795,0.0008797494596474089,0.6406947456756779,2.9947312467227656,2.9947312467227656,0.0005832480613577,0.0002099322676727718,0.0,120,1.1080643784870773e-07,True,0.0030557749073643905,0.03810479101957753
0.08,24,3.0,4.87741935483871,0.0016258064516129034,0.0016258064516129034,0.00396486992715921,2.64324661810614,0.0009865928093246823,0.0009865930838695322,0.6138678107411841,2.9940907414215174,2.9940907414215174,0.0006084765055146956,0.00023541549670169344,0.0,112,1.101930751159288e-07,True,0.0030557749073643905,0.03665633301716298
