l0,step,solver_iters,residual_norm,solver_converged
0.08,0,0,0.0,True
0.08,1,0,0.0,True
0.08,2,0,0.0,True
0.08,3,0,0.0,True
0.08,4,0,0.0,True
0.08,5,0,0.0,True
0.08,6,0,0.0,True
0.08,7,0,0.0,True
0.08,8,0,0.0,True
0.08,9,0,0.0,True
0.08,10,0,0.0,True
0.08,11,0,0.0,True
0.08,12,0,0.0,True
0.08,13,0,0.0,True
0.08,14,0,0.0,True
0.08,15,105,1.0944098114723426e-07,True
0.08,16,202,1.0879888347909954e-07,True
0.08,17,186,1.103264828723674e-07,True
0.08,18,172,1.1084377794502947e-07,True
0.08,19,160,1.0883134529808924e-07,True
0.08,20,149,1.0757956502850529e-07,True
0.08,21,138,1.1123466571046473e-07,True
0.08,22,129,1.0919079183278473e-07,True
0.08,23,120,1.1080643784870773e-07,True
0.08,24,112,1.101930751159288e-07,True
0.08,25,105,1.0632570142116481e-07,True
0.08,26,97,1.1043450798022981e-07,True
0.08,27,90,1.0993752171115859e-07,True
0.08,28,83,1.0997124562075444e-07,True
0.08,29,76,1.08955504302549e-07,True
0.08,30,68,1.1174720630557248e-07,True
0.08,31,60,1.0551063674580367e-07,True
0.12,0,0,0.0,True
0.12,1,0,0.0,True
0.12,2,0,0.0,True
0.12,3,0,0.0,True
0.12,4,0,0.0,True
0.12,5,0,0.0,True
0.12,6,0,0.0,True
0.12,7,0,0.0,True
0.12,8,0,0.0,True
0.12,9,0,0.0,True
0.12,10,0,0.0,True
0.12,11,0,0.0,True
0.12,12,0,0.0,True
0.12,13,0,0.0,True
0.12,14,0,0.0,True
0.12,15,75,1.1150145572602611e-07,True
0.12,16,30,1.0161735164896512e-07,True
0.12,17,35,1.011150316157611e-07,True
0.12,18,39,1.0288117425138196e-07,True
0.12,19,40,9.947383720488083e-08,True
0.12,20,64,9.824578396814349e-08,True
0.12,21,60,1.0922741907765471e-07,True
0.12,22,57,1.095307223994002e-07,True
0.12,23,55,9.687424221195463e-08,True
0.12,24,52,1.0557912426442055e-07,True
0.12,25,50,1.0001372152913547e-07,True
0.12,26,48,9.766242699465025e-08,True
0.12,27,46,9.832399970514328e-08,True
0.12,28,44,1.0206339934789052e-07,True
0.12,29,42,1.0923766116588209e-07,True
0.12,30,41,9.639563572975824e-08,True
0.12,31,39,1.0884247068211946e-07,True
0.18,0,0,0.0,True
0.18,1,0,0.0,True
0.18,2,0,0.0,True
0.18,3,0,0.0,True
0.18,4,0,0.0,True
0.18,5,0,0.0,True
0.18,6,0,0.0,True
0.18,7,0,0.0,True
0.18,8,0,0.0,True
0.18,9,0,0.0,True
0.18,10,0,0.0,True
0.18,11,0,0.0,True
0.18,12,0,0.0,True
0.18,13,0,0.0,True
0.18,14,0,0.0,True
0.18,15,21,1.068204822178974e-07,True
0.18,16,23,9.649092652889616e-08,True
0.18,17,22,7.727257358269153e-08,True
0.18,18,20,1.0293682094676762e-07,True
0.18,19,19,9.371002778723252e-08,True
0.18,20,18,8.980037642198032e-08,True
0.18,21,17,9.064734081776832e-08,True
0.18,22,16,9.636950165686848e-08,True
0.18,23,15,1.0800443677980373e-07,True
0.18,24,15,6.854925733351198e-08,True
0.18,25,14,8.307615106957255e-08,True
0.18,26,13,1.0623894586537551e-07,True
0.18,27,13,7.077550323072884e-08,True
0.18,28,12,9.805827629330207e-08,True
0.18,29,12,6.688497871676082e-08,True
0.18,30,11,1.005349192838924e-07,True
0.18,31,11,7.0167131978151e-08,True
