l0,step,elapsed_s
0.08,0,0.0048411669849883765
0.08,1,0.00024058300186879933
0.08,2,0.00021979102166369557
0.08,3,0.00019937497563660145
0.08,4,0.00019912500283680856
0.08,5,0.0002003330155275762
0.08,6,0.0002015409991145134
0.08,7,0.00018541599274612963
0.08,8,0.00017262500477954745
0.08,9,0.00017262500477954745
0.08,10,0.00017295798170380294
0.08,11,0.00019374999101273715
0.08,12,0.00019266697927378118
0.08,13,0.00019391599926166236
0.08,14,0.00019954200251959264
0.08,15,0.03607020800700411
0.08,16,0.07273512499523349
0.08,17,0.060359374998370185
0.08,18,0.055671916983556
0.08,19,0.05015712499152869
0.08,20,0.04682087499531917
0.08,21,0.044194916990818456
0.08,22,0.041528708999976516
0.08,23,0.03810479101957753
0.08,24,0.03665633301716298
0.08,25,0.034015333018032834
0.08,26,0.03160524999839254
0.08,27,0.028781624976545572
0.08,28,0.02777404198423028
0.08,29,0.02431887498823926
0.08,30,0.02315295799053274
0.08,31,0.019229750003432855
0.12,0,0.0002554170205257833
0.12,1,0.00022870799875818193
0.12,2,0.00021845800802111626
0.12,3,0.00021537498105317354
0.12,4,0.0002103750011883676
0.12,5,0.00021487500634975731
0.12,6,0.0002094999945256859
0.12,7,0.00020504198619164526
0.12,8,0.00020045801647938788
0.12,9,0.0002014579949900508
0.12,10,0.00020024998229928315
0.12,11,0.00020029101870022714
0.12,12,0.00019916699966415763
0.12,13,0.00020395798492245376
0.12,14,0.00019925000378862023
0.12,15,0.02586520800832659
0.12,16,0.010092250013258308
0.12,17,0.011499084008391947
0.12,18,0.012662624998483807
0.12,19,0.01304254200658761
0.12,20,0.021095500007504597
0.12,21,0.02078541601076722
0.12,22,0.018538375006755814
0.12,23,0.018746167013887316
0.12,24,0.017860291001852602
0.12,25,0.01696679202723317
0.12,26,0.016442583000753075
0.12,27,0.01468254200881347
0.12,28,0.014734000025782734
0.12,29,0.013959417003206909
0.12,30,0.013809166994178668
0.12,31,0.012739416997646913
0.18,0,0.00025687500601634383
0.18,1,0.000375000003259629
0.18,2,0.0002094169904012233
0.18,3,0.00018479200662113726
0.18,4,0.0004414999857544899
0.18,5,0.00023379101185128093
0.18,6,0.0002187499776482582
0.18,7,0.0004229589831084013
0.18,8,0.0002328340196982026
0.18,9,0.00021483399905264378
0.18,10,0.00038949999725446105
0.18,11,0.0002234170096926391
0.18,12,0.00021966701024211943
0.18,13,0.00044958401122130454
0.18,14,0.0003910000086762011
0.18,15,0.006293624988757074
0.18,16,0.0080220410018228
0.18,17,0.006557083019288257
0.18,18,0.006364792003296316
0.18,19,0.006602042005397379
0.18,20,0.005888624989893287
0.18,21,0.00568050000583753
0.18,22,0.005356833018595353
0.18,23,0.005019667005399242
0.18,24,0.0053417920134961605
0.18,25,0.005152499972609803
0.18,26,0.0047398329770658165
0.18,27,0.004577457992127165
0.18,28,0.004483208991587162
0.18,29,0.003642833005869761
0.18,30,0.0038494170003104955
0.18,31,0.004093208000995219
