# Rudshaug, Borvik, Hopperstad (2024), Int J Fract 245:57-73
# DOI: 10.1007/s10704-023-00754-3
# Fig 12e (page 71): crack path Y[mm] vs X[mm], STRONG L-shaped
# soda-lime glass specimen, simulated with shell elements using three
# tension-compression splits (Amor, Miehe, Hybrid).
#
# All three splits give nearly horizontal paths starting from y~42-44
# at x=0 and remaining within y in [40, 47] mm out to x=50 mm. The
# strong specimen's crack stays straighter than the weak's because
# higher critical stress fractures with more available elastic energy.
#
# Hand-digitised from PDF figure by visual reading; uncertainty
# ~1-2 mm in y.
#
# Columns: x_mm, y_amor_s_mm, y_miehe_s_mm, y_hybrid_s_mm
#
x_mm, y_amor_s_mm, y_miehe_s_mm, y_hybrid_s_mm
0.0,   43.0,  42.0,  43.5
2.0,   43.0,  42.0,  43.5
5.0,   43.0,  42.0,  43.5
8.0,   43.0,  42.0,  43.5
12.0,  43.5,  42.0,  44.0
16.0,  44.0,  42.0,  44.0
20.0,  44.5,  42.5,  44.5
24.0,  44.5,  43.0,  44.5
28.0,  44.5,  43.0,  44.5
32.0,  44.5,  43.0,  44.5
36.0,  44.5,  43.0,  44.5
40.0,  44.5,  43.0,  44.5
44.0,  44.5,  43.0,  44.5
48.0,  44.5,  43.0,  44.5
50.0,  44.5,  43.0,  44.5
