# Rudshaug, Borvik, Hopperstad (2024), Int J Fract 245:57-73
# DOI: 10.1007/s10704-023-00754-3
# Fig 12b (page 71): crack propagation speed vs time, STRONG L-shaped
# soda-lime glass specimen (higher critical principal stress -> fracture
# initiates at higher load level).
#
# Same material parameters as the weak specimen (CSV alongside); only
# sigma_c is increased so fracture initiates at the upper end of the
# experimental load-at-fracture band (~115 N vs ~75 N for weak).
#
# Hand-digitised from PDF figure by visual reading; uncertainty
# ~80-120 m/s in speed and ~2-3 us in time. The simulated speeds spike
# sharply (the strong specimen rebounds to 1400-1500 m/s twice during
# the first ~50 us) and decay irregularly; only the salient
# peaks/troughs are sampled.
#
# Columns: time_us, speed_amor_s_mps, speed_miehe_s_mps, speed_hybrid_s_mps
# (NaN where a value is unreadable / off-curve at the sample time)
#
time_us, speed_amor_s_mps, speed_miehe_s_mps, speed_hybrid_s_mps
0.0,    1450.0, 1500.0, 1500.0
3.0,    1400.0, 1450.0, 1450.0
8.0,    1100.0, 1100.0, 1100.0
12.0,    900.0,  900.0,  900.0
17.0,    800.0,  800.0,  800.0
22.0,    900.0,  600.0,  900.0
27.0,   1100.0,  500.0, 1100.0
32.0,   1050.0,  450.0, 1050.0
37.0,    900.0,  400.0,  800.0
42.0,    700.0,  400.0,  600.0
47.0,    500.0,  400.0,  450.0
52.0,    300.0,  350.0,  350.0
60.0,    250.0,  300.0,  300.0
67.0,    400.0,  280.0,  400.0
72.0,    300.0,  260.0,  280.0
80.0,    200.0,  240.0,  220.0
87.0,    150.0,  220.0,  200.0
95.0,    150.0,  150.0,  180.0
102.0,    100.0,  100.0,  150.0
110.0,    100.0,    NaN,  120.0
120.0,    100.0,    NaN,  100.0
