step,time,elastic,fracture,kinetic,external,total
0,1.000000000e-04,6.940421843e-04,1.056608435e-08,0.000000000e+00,0.000000000e+00,6.940527503e-04
1,2.000000000e-04,2.775915152e-03,1.690582991e-07,0.000000000e+00,0.000000000e+00,2.776084211e-03
2,3.000000000e-04,6.244858164e-03,8.558540885e-07,0.000000000e+00,0.000000000e+00,6.245714018e-03
3,4.000000000e-04,1.109960338e-02,2.704884218e-06,0.000000000e+00,0.000000000e+00,1.110230826e-02
4,5.000000000e-04,1.733837597e-02,6.603570582e-06,0.000000000e+00,0.000000000e+00,1.734497954e-02
5,6.000000000e-04,2.495889427e-02,1.369272968e-05,0.000000000e+00,0.000000000e+00,2.497258700e-02
6,7.000000000e-04,3.395836997e-02,2.536646221e-05,0.000000000e+00,0.000000000e+00,3.398373643e-02
7,8.000000000e-04,4.433350833e-02,4.327200534e-05,0.000000000e+00,0.000000000e+00,4.437678033e-02
8,9.000000000e-04,5.608050844e-02,6.930958679e-05,0.000000000e+00,0.000000000e+00,5.614981803e-02
9,1.000000000e-03,6.919506343e-02,1.056323317e-04,0.000000000e+00,0.000000000e+00,6.930069576e-02
10,1.100000000e-03,8.367236070e-02,1.546460808e-04,0.000000000e+00,0.000000000e+00,8.382700678e-02
11,1.200000000e-03,9.950708216e-02,2.190093049e-04,0.000000000e+00,0.000000000e+00,9.972609146e-02
12,1.300000000e-03,1.166934043e-01,3.016330647e-04,0.000000000e+00,0.000000000e+00,1.169950374e-01
13,1.400000000e-03,1.352249981e-01,4.056812258e-04,0.000000000e+00,0.000000000e+00,1.356306793e-01
14,1.500000000e-03,1.550950293e-01,5.345702363e-04,0.000000000e+00,0.000000000e+00,1.556295995e-01
15,1.600000000e-03,1.762961576e-01,6.919697626e-04,0.000000000e+00,0.000000000e+00,1.769881274e-01
16,1.700000000e-03,1.988205367e-01,8.818029778e-04,0.000000000e+00,0.000000000e+00,1.997023397e-01
17,1.800000000e-03,2.226598134e-01,1.108246979e-03,0.000000000e+00,0.000000000e+00,2.237680604e-01
18,1.900000000e-03,2.478051260e-01,1.375734522e-03,0.000000000e+00,0.000000000e+00,2.491808605e-01
19,2.000000000e-03,2.742471044e-01,1.688953406e-03,0.000000000e+00,0.000000000e+00,2.759360578e-01
20,2.100000000e-03,3.019758659e-01,2.052850729e-03,0.000000000e+00,0.000000000e+00,3.040287167e-01
21,2.200000000e-03,3.309810145e-01,2.472632745e-03,0.000000000e+00,0.000000000e+00,3.334536472e-01
22,2.300000000e-03,3.612516370e-01,2.953768127e-03,0.000000000e+00,0.000000000e+00,3.642054051e-01
23,2.400000000e-03,3.927762994e-01,3.501991106e-03,0.000000000e+00,0.000000000e+00,3.962782905e-01
24,2.500000000e-03,4.255430404e-01,4.123306781e-03,0.000000000e+00,0.000000000e+00,4.296663472e-01
25,2.600000000e-03,4.595393673e-01,4.823993952e-03,0.000000000e+00,0.000000000e+00,4.643633612e-01
26,2.700000000e-03,4.947522455e-01,5.610614142e-03,0.000000000e+00,0.000000000e+00,5.003628597e-01
27,2.800000000e-03,5.311680943e-01,6.490014033e-03,0.000000000e+00,0.000000000e+00,5.376581083e-01
28,2.900000000e-03,5.687727685e-01,7.469341417e-03,0.000000000e+00,0.000000000e+00,5.762421099e-01
29,3.000000000e-03,6.075515497e-01,8.556051134e-03,0.000000000e+00,0.000000000e+00,6.161076008e-01
30,3.100000000e-03,6.474891259e-01,9.757922667e-03,0.000000000e+00,0.000000000e+00,6.572470485e-01
31,3.200000000e-03,6.885695752e-01,1.108307168e-02,0.000000000e+00,0.000000000e+00,6.996526469e-01
32,3.300000000e-03,7.307763332e-01,1.253997878e-02,0.000000000e+00,0.000000000e+00,7.433163120e-01
33,3.400000000e-03,7.740921717e-01,1.413750439e-02,0.000000000e+00,0.000000000e+00,7.882296761e-01
34,3.500000000e-03,8.184991543e-01,1.588492658e-02,0.000000000e+00,0.000000000e+00,8.343840809e-01
35,3.600000000e-03,8.639785877e-01,1.779198180e-02,0.000000000e+00,0.000000000e+00,8.817705695e-01
36,3.700000000e-03,9.105109694e-01,1.986890667e-02,0.000000000e+00,0.000000000e+00,9.303798761e-01
37,3.800000000e-03,9.580759165e-01,2.212649776e-02,0.000000000e+00,0.000000000e+00,9.802024143e-01
38,3.900000000e-03,1.006652066e+00,2.457619656e-02,0.000000000e+00,0.000000000e+00,1.031228262e+00
39,4.000000000e-03,1.056216963e+00,2.723018194e-02,0.000000000e+00,0.000000000e+00,1.083447145e+00
40,4.100000000e-03,1.106746933e+00,3.010147893e-02,0.000000000e+00,0.000000000e+00,1.136848412e+00
41,4.200000000e-03,1.158216854e+00,3.320415642e-02,0.000000000e+00,0.000000000e+00,1.191421010e+00
42,4.300000000e-03,1.210599923e+00,3.655352539e-02,0.000000000e+00,0.000000000e+00,1.247153448e+00
43,4.400000000e-03,1.263867317e+00,4.016643704e-02,0.000000000e+00,0.000000000e+00,1.304033754e+00
44,4.500000000e-03,1.317987678e+00,4.406173913e-02,0.000000000e+00,0.000000000e+00,1.362049417e+00
45,4.600000000e-03,1.372926511e+00,4.826080067e-02,0.000000000e+00,0.000000000e+00,1.421187312e+00
46,4.700000000e-03,1.428645247e+00,5.278835271e-02,0.000000000e+00,0.000000000e+00,1.481433599e+00
47,4.800000000e-03,1.485099638e+00,5.767394819e-02,0.000000000e+00,0.000000000e+00,1.542773586e+00
48,4.900000000e-03,1.542237536e+00,6.295398738e-02,0.000000000e+00,0.000000000e+00,1.605191523e+00
49,5.000000000e-03,1.599995058e+00,6.867525286e-02,0.000000000e+00,0.000000000e+00,1.668670311e+00
50,5.010000000e-03,1.605887171e+00,6.918837581e-02,0.000000000e+00,0.000000000e+00,1.675075547e+00
51,5.020000000e-03,1.611727392e+00,6.976395893e-02,0.000000000e+00,0.000000000e+00,1.681491351e+00
52,5.030000000e-03,1.617557447e+00,7.036013737e-02,0.000000000e+00,0.000000000e+00,1.687917584e+00
53,5.040000000e-03,1.623388335e+00,7.096586497e-02,0.000000000e+00,0.000000000e+00,1.694354200e+00
54,5.050000000e-03,1.629221610e+00,7.157955697e-02,0.000000000e+00,0.000000000e+00,1.700801167e+00
55,5.060000000e-03,1.635058371e+00,7.220008708e-02,0.000000000e+00,0.000000000e+00,1.707258458e+00
56,5.070000000e-03,1.640899797e+00,7.282624963e-02,0.000000000e+00,0.000000000e+00,1.713726047e+00
57,5.080000000e-03,1.646745763e+00,7.345814752e-02,0.000000000e+00,0.000000000e+00,1.720203911e+00
58,5.090000000e-03,1.652596092e+00,7.409593636e-02,0.000000000e+00,0.000000000e+00,1.726692029e+00
59,5.100000000e-03,1.658450441e+00,7.473993606e-02,0.000000000e+00,0.000000000e+00,1.733190377e+00
60,5.110000000e-03,1.664308903e+00,7.539002977e-02,0.000000000e+00,0.000000000e+00,1.739698932e+00
61,5.120000000e-03,1.670171562e+00,7.604610901e-02,0.000000000e+00,0.000000000e+00,1.746217671e+00
62,5.130000000e-03,1.676038305e+00,7.670826375e-02,0.000000000e+00,0.000000000e+00,1.752746568e+00
63,5.140000000e-03,1.681908994e+00,7.737660742e-02,0.000000000e+00,0.000000000e+00,1.759285601e+00
64,5.150000000e-03,1.687783473e+00,7.805127142e-02,0.000000000e+00,0.000000000e+00,1.765834744e+00
65,5.160000000e-03,1.693661573e+00,7.873239948e-02,0.000000000e+00,0.000000000e+00,1.772393972e+00
66,5.170000000e-03,1.699543121e+00,7.942013916e-02,0.000000000e+00,0.000000000e+00,1.778963260e+00
67,5.180000000e-03,1.705427957e+00,8.011462467e-02,0.000000000e+00,0.000000000e+00,1.785542582e+00
68,5.190000000e-03,1.711315901e+00,8.081600923e-02,0.000000000e+00,0.000000000e+00,1.792131910e+00
69,5.200000000e-03,1.717206759e+00,8.152445925e-02,0.000000000e+00,0.000000000e+00,1.798731218e+00
70,5.210000000e-03,1.723100324e+00,8.224015339e-02,0.000000000e+00,0.000000000e+00,1.805340478e+00
71,5.220000000e-03,1.728996384e+00,8.296327648e-02,0.000000000e+00,0.000000000e+00,1.811959660e+00
72,5.230000000e-03,1.734894709e+00,8.369402762e-02,0.000000000e+00,0.000000000e+00,1.818588736e+00
73,5.240000000e-03,1.740795051e+00,8.443262453e-02,0.000000000e+00,0.000000000e+00,1.825227676e+00
74,5.250000000e-03,1.746697151e+00,8.517929704e-02,0.000000000e+00,0.000000000e+00,1.831876448e+00
75,5.260000000e-03,1.752600733e+00,8.593428780e-02,0.000000000e+00,0.000000000e+00,1.838535021e+00
76,5.270000000e-03,1.758505510e+00,8.669785290e-02,0.000000000e+00,0.000000000e+00,1.845203363e+00
77,5.280000000e-03,1.764411162e+00,8.747027641e-02,0.000000000e+00,0.000000000e+00,1.851881438e+00
78,5.290000000e-03,1.770317338e+00,8.825187558e-02,0.000000000e+00,0.000000000e+00,1.858569213e+00
