step,max_H_nodal,max_psi_plus,max_damage,delta_H,delta_damage,reaction_force,applied_disp
0,0.1870,0.2490,0.000104,0.0000,0.000000,-13.880844,0.00010000
1,0.7485,0.9965,0.000416,0.0000,0.000000,-27.759152,0.00020000
2,1.6857,2.2444,0.000936,0.0000,0.000000,-41.632388,0.00030000
3,3.0009,3.9956,0.001665,0.0000,0.000000,-55.498017,0.00040000
4,4.6971,6.2543,0.002603,0.0000,0.000000,-69.353504,0.00050000
5,6.7785,9.0261,0.003752,0.0000,0.000000,-83.196314,0.00060000
6,9.2498,12.3177,0.005111,0.0000,0.000000,-97.023914,0.00070000
7,12.1172,16.1372,0.006683,0.0000,0.000000,-110.833771,0.00080000
8,15.3876,20.4941,0.008470,0.0000,0.000000,-124.623352,0.00090000
9,19.0690,25.3994,0.010471,0.0000,0.000000,-138.390127,0.00100000
10,23.1707,30.8657,0.012691,0.0000,0.000000,-152.131565,0.00110000
11,27.7031,36.9072,0.015130,0.0000,0.000000,-165.845137,0.00120000
12,32.6778,43.5399,0.017791,0.0000,0.000000,-179.528314,0.00130000
13,38.1081,50.7816,0.020676,0.0000,0.000000,-193.178569,0.00140000
14,44.0084,58.6522,0.023789,0.0000,0.000000,-206.793372,0.00150000
15,50.3951,67.1740,0.027134,0.0000,0.000000,-220.370197,0.00160000
16,57.2860,76.3714,0.030712,0.0000,0.000000,-233.906514,0.00170000
17,64.7012,86.2718,0.034529,0.0000,0.000000,-247.399793,0.00180000
18,72.6626,96.9052,0.038588,0.0000,0.000000,-260.847501,0.00190000
19,81.1946,108.3049,0.042895,0.0000,0.000000,-274.247104,0.00200000
20,90.3241,120.5078,0.047454,0.0000,0.000000,-287.596063,0.00210000
21,100.0810,133.5548,0.052270,0.0000,0.000000,-300.891831,0.00220000
22,110.4983,147.4910,0.057351,0.0000,0.000000,-314.131858,0.00230000
23,121.6126,162.3668,0.062702,0.0000,0.000000,-327.313583,0.00240000
24,133.4645,178.2377,0.068332,0.0000,0.000000,-340.434432,0.00250000
25,146.0993,195.1659,0.074247,0.0000,0.000000,-353.491821,0.00260000
26,159.5673,213.2206,0.080457,0.0000,0.000000,-366.483145,0.00270000
27,173.9249,232.4791,0.086972,0.0000,0.000000,-379.405782,0.00280000
28,189.2352,253.0284,0.093801,0.0000,0.000000,-392.257082,0.00290000
29,205.5690,274.9658,0.100958,0.0000,0.000000,-405.034366,0.00300000
30,223.0064,298.4017,0.108454,0.0000,0.000000,-417.734920,0.00310000
31,241.6379,323.4607,0.116304,0.0000,0.000000,-430.355985,0.00320000
32,261.5664,350.2847,0.124524,0.0000,0.000000,-442.894747,0.00330000
33,282.9092,379.0359,0.133133,0.0000,0.000000,-455.348336,0.00340000
34,305.8013,409.9005,0.142150,0.0000,0.000000,-467.713802,0.00350000
35,330.3982,443.0936,0.151597,0.0000,0.000000,-479.988104,0.00360000
36,356.8804,478.8652,0.161502,0.0000,0.000000,-492.168092,0.00370000
37,385.4590,517.5075,0.171891,0.0000,0.000000,-504.250482,0.00380000
38,416.3825,559.3652,0.182800,0.0000,0.000000,-516.231829,0.00390000
39,449.9462,604.8480,0.194267,0.0000,0.000000,-528.108482,0.00400000
40,486.5038,654.4474,0.206336,0.0000,0.000000,-539.876553,0.00410000
41,526.4839,708.7597,0.219060,0.0000,0.000000,-551.531835,0.00420000
42,570.4123,768.5168,0.232502,0.0000,0.000000,-563.069732,0.00430000
43,618.9421,834.6293,0.246736,0.0000,0.000000,-574.485144,0.00440000
44,672.8982,908.2479,0.261854,0.0000,0.000000,-585.772301,0.00450000
45,733.3415,990.8559,0.277968,0.0000,0.000000,-596.924570,0.00460000
46,801.6663,1084.4039,0.295221,0.0000,0.000000,-607.934148,0.00470000
