step,displacement,reaction_kN,max_d,max_H,stagger_iter,elapsed_ms
0,0.00010000,0.013881,0.00010394,0.1870,66,643.5
1,0.00020000,0.027759,0.00041585,0.7485,75,448.9
2,0.00030000,0.041632,0.00093601,1.6857,76,480.2
3,0.00040000,0.055498,0.00166488,3.0009,85,567.7
4,0.00050000,0.069354,0.00260311,4.6971,103,865.7
5,0.00060000,0.083196,0.00375156,6.7785,120,1295.5
6,0.00070000,0.097024,0.00511125,9.2498,79,852.8
7,0.00080000,0.110834,0.00668344,12.1172,85,1095.5
8,0.00090000,0.124623,0.00846959,15.3876,81,1217.7
9,0.00100000,0.138390,0.01047135,19.0690,86,1471.7
10,0.00110000,0.152132,0.01269062,23.1707,92,1706.3
11,0.00120000,0.165845,0.01512955,27.7031,93,1889.6
12,0.00130000,0.179528,0.01779051,32.6778,95,2137.1
13,0.00140000,0.193179,0.02067615,38.1081,101,2521.9
14,0.00150000,0.206793,0.02378941,44.0084,112,3097.0
15,0.00160000,0.220370,0.02713351,50.3951,124,3662.1
16,0.00170000,0.233907,0.03071201,57.2860,138,4230.1
17,0.00180000,0.247400,0.03452879,64.7012,149,4721.4
18,0.00190000,0.260848,0.03858811,72.6626,105,3385.1
19,0.00200000,0.274247,0.04289465,81.1946,101,3234.9
20,0.00210000,0.287596,0.04745350,90.3241,109,3471.1
21,0.00220000,0.300892,0.05227025,100.0810,113,3638.0
22,0.00230000,0.314132,0.05735098,110.4983,119,3812.3
23,0.00240000,0.327314,0.06270238,121.6126,122,3897.8
24,0.00250000,0.340434,0.06833175,133.4645,135,4307.4
25,0.00260000,0.353492,0.07424708,146.0993,149,4774.4
26,0.00270000,0.366483,0.08045717,159.5673,108,3488.5
27,0.00280000,0.379406,0.08697168,173.9249,118,3841.7
28,0.00290000,0.392257,0.09380122,189.2352,111,3633.8
29,0.00300000,0.405034,0.10095755,205.5690,129,4107.8
30,0.00310000,0.417735,0.10845363,223.0064,139,4392.0
31,0.00320000,0.430356,0.11630389,241.6379,151,4788.8
32,0.00330000,0.442895,0.12452435,261.5664,111,3541.5
33,0.00340000,0.455348,0.13313294,282.9092,130,4164.5
34,0.00350000,0.467714,0.14214974,305.8013,130,4194.7
35,0.00360000,0.479988,0.15159738,330.3982,151,4801.7
