step,time,newton_iters,pcg_iters_mech,pcg_iters_pf,residual,dt,line_search_alpha,line_search_reductions
0,1.000000000e-04,66,0,1,9.675400483e-09,1.000000000e-04,1.000000000e+00,0
1,2.000000000e-04,75,0,1,9.938846984e-09,1.000000000e-04,1.000000000e+00,0
2,3.000000000e-04,76,0,1,9.665861021e-09,1.000000000e-04,1.000000000e+00,0
3,4.000000000e-04,85,0,1,9.955993237e-09,1.000000000e-04,1.000000000e+00,0
4,5.000000000e-04,103,0,1,9.988314641e-09,1.000000000e-04,1.000000000e+00,0
5,6.000000000e-04,120,0,1,9.786205565e-09,1.000000000e-04,1.000000000e+00,0
6,7.000000000e-04,79,0,1,9.967966399e-09,1.000000000e-04,1.000000000e+00,0
7,8.000000000e-04,85,0,1,9.792451880e-09,1.000000000e-04,1.000000000e+00,0
8,9.000000000e-04,81,0,1,9.716953865e-09,1.000000000e-04,1.000000000e+00,0
9,1.000000000e-03,86,0,1,9.922893238e-09,1.000000000e-04,1.000000000e+00,0
10,1.100000000e-03,92,0,1,9.860747688e-09,1.000000000e-04,1.000000000e+00,0
11,1.200000000e-03,93,0,1,9.768262183e-09,1.000000000e-04,1.000000000e+00,0
12,1.300000000e-03,95,0,1,9.952462614e-09,1.000000000e-04,1.000000000e+00,0
13,1.400000000e-03,101,0,1,9.828061974e-09,1.000000000e-04,1.000000000e+00,0
14,1.500000000e-03,112,0,1,9.797006185e-09,1.000000000e-04,1.000000000e+00,0
15,1.600000000e-03,124,0,1,9.864571464e-09,1.000000000e-04,1.000000000e+00,0
16,1.700000000e-03,138,0,1,9.814907035e-09,1.000000000e-04,1.000000000e+00,0
17,1.800000000e-03,149,0,1,9.949312615e-09,1.000000000e-04,1.000000000e+00,0
18,1.900000000e-03,105,0,1,9.858277038e-09,1.000000000e-04,1.000000000e+00,0
19,2.000000000e-03,101,0,1,9.938167468e-09,1.000000000e-04,1.000000000e+00,0
20,2.100000000e-03,109,0,1,9.815769301e-09,1.000000000e-04,1.000000000e+00,0
21,2.200000000e-03,113,0,1,9.887023879e-09,1.000000000e-04,1.000000000e+00,0
22,2.300000000e-03,119,0,1,9.935309329e-09,1.000000000e-04,1.000000000e+00,0
23,2.400000000e-03,122,0,1,9.787828530e-09,1.000000000e-04,1.000000000e+00,0
24,2.500000000e-03,135,0,1,9.971113298e-09,1.000000000e-04,1.000000000e+00,0
25,2.600000000e-03,149,0,1,9.995354322e-09,1.000000000e-04,1.000000000e+00,0
26,2.700000000e-03,108,0,1,9.920247798e-09,1.000000000e-04,1.000000000e+00,0
27,2.800000000e-03,118,0,1,9.830355341e-09,1.000000000e-04,1.000000000e+00,0
28,2.900000000e-03,111,0,1,9.992259546e-09,1.000000000e-04,1.000000000e+00,0
29,3.000000000e-03,129,0,1,9.859342693e-09,1.000000000e-04,1.000000000e+00,0
30,3.100000000e-03,139,0,1,9.893359843e-09,1.000000000e-04,1.000000000e+00,0
31,3.200000000e-03,151,0,1,9.876171377e-09,1.000000000e-04,1.000000000e+00,0
32,3.300000000e-03,111,0,1,9.958226688e-09,1.000000000e-04,1.000000000e+00,0
33,3.400000000e-03,130,0,1,9.988497189e-09,1.000000000e-04,1.000000000e+00,0
34,3.500000000e-03,130,0,1,9.987070030e-09,1.000000000e-04,1.000000000e+00,0
35,3.600000000e-03,151,0,1,9.818305027e-09,1.000000000e-04,1.000000000e+00,0
36,3.700000000e-03,148,0,1,9.843865306e-09,1.000000000e-04,1.000000000e+00,0
37,3.800000000e-03,127,0,1,9.941473154e-09,1.000000000e-04,1.000000000e+00,0
38,3.900000000e-03,148,0,1,9.859489866e-09,1.000000000e-04,1.000000000e+00,0
39,4.000000000e-03,165,0,1,9.809570897e-09,1.000000000e-04,1.000000000e+00,0
40,4.100000000e-03,136,0,1,9.823992305e-09,1.000000000e-04,1.000000000e+00,0
41,4.200000000e-03,159,0,1,9.909723158e-09,1.000000000e-04,1.000000000e+00,0
42,4.300000000e-03,176,0,1,9.908874963e-09,1.000000000e-04,1.000000000e+00,0
43,4.400000000e-03,157,0,1,9.836322388e-09,1.000000000e-04,1.000000000e+00,0
44,4.500000000e-03,128,0,1,9.905952295e-09,1.000000000e-04,1.000000000e+00,0
45,4.600000000e-03,113,0,2,9.811744306e-09,1.000000000e-04,1.000000000e+00,0
46,4.700000000e-03,112,0,2,9.839653162e-09,1.000000000e-04,1.000000000e+00,0
47,4.800000000e-03,132,0,2,9.897093391e-09,1.000000000e-04,1.000000000e+00,0
48,4.900000000e-03,139,0,2,9.959440784e-09,1.000000000e-04,1.000000000e+00,0
