step,max_d,max_H,Solid solve Time,Compute Strain Time,Driving Force Time,Phase Solve Time,Total Step Time
0,0.00010394,1.870083611e-01,0.000000000,0.000000000,0.000000000,0.000000000,0.643523216
1,0.00041585,7.484698446e-01,0.000000000,0.000000000,0.000000000,0.000000000,0.448864698
2,0.00093601,1.685696661e+00,0.000000000,0.000000000,0.000000000,0.000000000,0.480219364
3,0.00166488,3.000885900e+00,0.000000000,0.000000000,0.000000000,0.000000000,0.567740679
4,0.00260311,4.697134856e+00,0.000000000,0.000000000,0.000000000,0.000000000,0.865659237
5,0.00375156,6.778462669e+00,0.000000000,0.000000000,0.000000000,0.000000000,1.295460224
6,0.00511125,9.249838889e+00,0.000000000,0.000000000,0.000000000,0.000000000,0.852791786
7,0.00668344,1.211721894e+01,0.000000000,0.000000000,0.000000000,0.000000000,1.095519304
8,0.00846959,1.538758764e+01,0.000000000,0.000000000,0.000000000,0.000000000,1.217708111
9,0.01047135,1.906901018e+01,0.000000000,0.000000000,0.000000000,0.000000000,1.471662760
10,0.01269062,2.317069353e+01,0.000000000,0.000000000,0.000000000,0.000000000,1.706319571
11,0.01512955,2.770305661e+01,0.000000000,0.000000000,0.000000000,0.000000000,1.889617682
12,0.01779051,3.267781238e+01,0.000000000,0.000000000,0.000000000,0.000000000,2.137050867
13,0.02067615,3.810806200e+01,0.000000000,0.000000000,0.000000000,0.000000000,2.521857738
14,0.02378941,4.400840441e+01,0.000000000,0.000000000,0.000000000,0.000000000,3.097009659
15,0.02713351,5.039505955e+01,0.000000000,0.000000000,0.000000000,0.000000000,3.662074327
16,0.03071201,5.728601172e+01,0.000000000,0.000000000,0.000000000,0.000000000,4.230065346
17,0.03452879,6.470117385e+01,0.000000000,0.000000000,0.000000000,0.000000000,4.721369505
18,0.03858811,7.266257510e+01,0.000000000,0.000000000,0.000000000,0.000000000,3.385132551
19,0.04289465,8.119457897e+01,0.000000000,0.000000000,0.000000000,0.000000000,3.234907389
20,0.04745350,9.032412952e+01,0.000000000,0.000000000,0.000000000,0.000000000,3.471079111
21,0.05227025,1.000810419e+02,0.000000000,0.000000000,0.000000000,0.000000000,3.637969017
22,0.05735098,1.104983339e+02,0.000000000,0.000000000,0.000000000,0.000000000,3.812331676
23,0.06270238,1.216126141e+02,0.000000000,0.000000000,0.000000000,0.000000000,3.897828102
24,0.06833175,1.334645295e+02,0.000000000,0.000000000,0.000000000,0.000000000,4.307406425
25,0.07424708,1.460992963e+02,0.000000000,0.000000000,0.000000000,0.000000000,4.774448633
26,0.08045717,1.595673147e+02,0.000000000,0.000000000,0.000000000,0.000000000,3.488450766
27,0.08697168,1.739249059e+02,0.000000000,0.000000000,0.000000000,0.000000000,3.841675758
28,0.09380122,1.892351687e+02,0.000000000,0.000000000,0.000000000,0.000000000,3.633839130
29,0.10095755,2.055690221e+02,0.000000000,0.000000000,0.000000000,0.000000000,4.107791901
30,0.10845363,2.230064312e+02,0.000000000,0.000000000,0.000000000,0.000000000,4.391985178
31,0.11630389,2.416379175e+02,0.000000000,0.000000000,0.000000000,0.000000000,4.788777590
32,0.12452435,2.615663596e+02,0.000000000,0.000000000,0.000000000,0.000000000,3.541494846
33,0.13313294,2.829092284e+02,0.000000000,0.000000000,0.000000000,0.000000000,4.164500952
34,0.14214974,3.058013187e+02,0.000000000,0.000000000,0.000000000,0.000000000,4.194710970
35,0.15159738,3.303981660e+02,0.000000000,0.000000000,0.000000000,0.000000000,4.801666260
36,0.16150153,3.568803606e+02,0.000000000,0.000000000,0.000000000,0.000000000,4.737838507
37,0.17189135,3.854589632e+02,0.000000000,0.000000000,0.000000000,0.000000000,4.109489679
38,0.18280026,4.163825144e+02,0.000000000,0.000000000,0.000000000,0.000000000,4.784746885
39,0.19426681,4.499461692e+02,0.000000000,0.000000000,0.000000000,0.000000000,5.269023895
40,0.20633585,4.865037599e+02,0.000000000,0.000000000,0.000000000,0.000000000,4.442101717
41,0.21906001,5.264839301e+02,0.000000000,0.000000000,0.000000000,0.000000000,5.113113880
42,0.23250176,5.704123022e+02,0.000000000,0.000000000,0.000000000,0.000000000,5.666401625
43,0.24673600,6.189421206e+02,0.000000000,0.000000000,0.000000000,0.000000000,5.018504858
44,0.26185389,6.728981694e+02,0.000000000,0.000000000,0.000000000,0.000000000,4.169902086
45,0.27796816,7.333415000e+02,0.000000000,0.000000000,0.000000000,0.000000000,3.796892881
46,0.29522052,8.016662724e+02,0.000000000,0.000000000,0.000000000,0.000000000,3.773549080
47,0.31379487,8.797550761e+02,0.000000000,0.000000000,0.000000000,0.000000000,4.477329493
48,0.33393500,9.702308181e+02,0.000000000,0.000000000,0.000000000,0.000000000,4.703576088
49,0.35597810,1.076900637e+03,0.000000000,0.000000000,0.000000000,0.000000000,4.543913603
50,0.35831634,1.088925569e+03,0.000000000,0.000000000,0.000000000,0.000000000,4.537274599
51,0.36067663,1.101101145e+03,0.000000000,0.000000000,0.000000000,0.000000000,7.313490391
52,0.36306390,1.113465949e+03,0.000000000,0.000000000,0.000000000,0.000000000,6.419329405
53,0.36547490,1.126033827e+03,0.000000000,0.000000000,0.000000000,0.000000000,6.534308910
54,0.36790814,1.138815484e+03,0.000000000,0.000000000,0.000000000,0.000000000,6.708084583
55,0.37036368,1.151830616e+03,0.000000000,0.000000000,0.000000000,0.000000000,6.917220116
56,0.37284651,1.165110923e+03,0.000000000,0.000000000,0.000000000,0.000000000,7.076302767
57,0.37535747,1.178665082e+03,0.000000000,0.000000000,0.000000000,0.000000000,7.231899738
58,0.37789691,1.192500319e+03,0.000000000,0.000000000,0.000000000,0.000000000,7.433737040
59,0.38046705,1.206629212e+03,0.000000000,0.000000000,0.000000000,0.000000000,7.575808048
60,0.38306782,1.221063852e+03,0.000000000,0.000000000,0.000000000,0.000000000,7.736030340
61,0.38570068,1.235822080e+03,0.000000000,0.000000000,0.000000000,0.000000000,7.958784342
62,0.38836658,1.250917067e+03,0.000000000,0.000000000,0.000000000,0.000000000,7.158626080
63,0.39106659,1.266362950e+03,0.000000000,0.000000000,0.000000000,0.000000000,7.393063307
64,0.39380181,1.282174461e+03,0.000000000,0.000000000,0.000000000,0.000000000,7.646211147
65,0.39657348,1.298367512e+03,0.000000000,0.000000000,0.000000000,0.000000000,7.825892448
66,0.39938293,1.314959144e+03,0.000000000,0.000000000,0.000000000,0.000000000,8.030295849
67,0.40223135,1.331967188e+03,0.000000000,0.000000000,0.000000000,0.000000000,8.226636171
68,0.40512015,1.349410852e+03,0.000000000,0.000000000,0.000000000,0.000000000,7.541636229
69,0.40805081,1.367310693e+03,0.000000000,0.000000000,0.000000000,0.000000000,7.997193813
70,0.41102491,1.385688775e+03,0.000000000,0.000000000,0.000000000,0.000000000,8.249725819
71,0.41404415,1.404568608e+03,0.000000000,0.000000000,0.000000000,0.000000000,8.452065468
72,0.41711034,1.423975850e+03,0.000000000,0.000000000,0.000000000,0.000000000,8.701200008
73,0.42022545,1.443938015e+03,0.000000000,0.000000000,0.000000000,0.000000000,8.016490459
74,0.42339156,1.464484724e+03,0.000000000,0.000000000,0.000000000,0.000000000,8.424108028
75,0.42661089,1.485648060e+03,0.000000000,0.000000000,0.000000000,0.000000000,8.612883091
76,0.42988587,1.507462851e+03,0.000000000,0.000000000,0.000000000,0.000000000,8.938909054
77,0.43321908,1.529966956e+03,0.000000000,0.000000000,0.000000000,0.000000000,8.532783031
78,0.43661339,1.553201741e+03,0.000000000,0.000000000,0.000000000,0.000000000,8.870544434
79,0.44007209,1.577212916e+03,0.000000000,0.000000000,0.000000000,0.000000000,9.324730873
80,0.44359846,1.602049734e+03,0.000000000,0.000000000,0.000000000,0.000000000,9.776320457
81,0.44719610,1.627766406e+03,0.000000000,0.000000000,0.000000000,0.000000000,9.108828306
82,0.45086896,1.654422792e+03,0.000000000,0.000000000,0.000000000,0.000000000,9.547151089
83,0.45462138,1.682084820e+03,0.000000000,0.000000000,0.000000000,0.000000000,9.339343309
84,0.45845798,1.710824881e+03,0.000000000,0.000000000,0.000000000,0.000000000,9.732850552
85,0.46238407,1.740724626e+03,0.000000000,0.000000000,0.000000000,0.000000000,10.398020983
86,0.46640546,1.771875086e+03,0.000000000,0.000000000,0.000000000,0.000000000,10.164906263
87,0.47052867,1.804379084e+03,0.000000000,0.000000000,0.000000000,0.000000000,10.748077393
88,0.47476169,1.838355415e+03,0.000000000,0.000000000,0.000000000,0.000000000,10.655034304
89,0.47911308,1.873937930e+03,0.000000000,0.000000000,0.000000000,0.000000000,11.519223213
90,0.48359242,1.911278828e+03,0.000000000,0.000000000,0.000000000,0.000000000,11.075783730
91,0.48821152,1.950558356e+03,0.000000000,0.000000000,0.000000000,0.000000000,11.076163530
92,0.49298353,1.991984613e+03,0.000000000,0.000000000,0.000000000,0.000000000,12.000952721
93,0.49792310,2.035797656e+03,0.000000000,0.000000000,0.000000000,0.000000000,12.065306425
94,0.50304761,2.082282796e+03,0.000000000,0.000000000,0.000000000,0.000000000,12.299149036
95,0.50837742,2.131779194e+03,0.000000000,0.000000000,0.000000000,0.000000000,12.913647890
