step,t_us,crack_tip_x_mm,n_crack_tips,crack_vel_mms,crack_vel_frac_cR,branched
60,0.0000,33.316385,1,816385130337.42,884224.8344,0
65,0.0000,33.316385,1,-0.01,-0.0000,0
70,0.0000,33.316385,1,0.01,0.0000,0
75,0.0000,33.316385,1,0.00,0.0000,0
80,0.0000,33.316385,1,0.00,0.0000,0
85,0.0000,33.316385,1,0.00,0.0000,0
90,0.0000,33.316385,1,0.00,0.0000,0
95,0.0000,33.316385,1,0.00,0.0000,0
100,0.0000,33.316385,1,0.00,0.0000,0
105,0.0000,33.316385,1,0.00,0.0000,0
110,0.0000,33.316385,1,0.00,0.0000,0
115,0.0000,33.316385,1,0.00,0.0000,0
120,0.0000,33.316385,1,0.00,0.0000,0
125,0.0000,33.316385,1,0.00,0.0000,0
130,0.0000,33.316385,1,0.00,0.0000,0
135,0.0000,33.316385,1,0.00,0.0000,0
140,0.0000,33.316385,1,0.00,0.0000,0
145,0.0000,31.083493,1,-2232891661611.22,-2418439.7614,0
150,0.0000,39.925984,1,8842490147141.54,9577280.4965,0
155,0.0000,52.868573,1,12942589872254.91,14018088.9654,0
160,0.0000,62.527367,1,9658793721755.44,10461416.9982,0
165,0.0000,61.163138,1,-1364228958386.36,-1477593.2094,0
170,0.0000,61.749494,1,586356119764.33,635080.9485,0
175,0.0000,62.180056,1,430562080224.39,466340.7869,0
180,0.0000,62.506696,1,326639497704.21,353782.4797,0
185,0.0000,62.744567,1,237871001511.74,257637.5281,0
190,0.0000,63.004181,1,259613954357.01,281187.2697,0
195,0.0000,63.263410,1,259228950468.92,280770.2729,0
