step,time,elastic,fracture,kinetic,external,total
0,1.785714286e-03,5.415874346e-02,4.535853579e-07,0.000000000e+00,0.000000000e+00,5.415919705e-02
1,3.571428571e-03,2.166240861e-01,7.258779881e-06,0.000000000e+00,0.000000000e+00,2.166313449e-01
2,5.357142857e-03,4.873633496e-01,3.675902084e-05,0.000000000e+00,0.000000000e+00,4.874001086e-01
3,7.142857143e-03,8.663220210e-01,1.162265736e-04,0.000000000e+00,0.000000000e+00,8.664382476e-01
4,8.928571429e-03,1.353423678e+00,2.839126389e-04,0.000000000e+00,0.000000000e+00,1.353707591e+00
5,1.071428571e-02,1.948569885e+00,5.891178901e-04,0.000000000e+00,0.000000000e+00,1.949159003e+00
6,1.250000000e-02,2.651640051e+00,1.092285514e-03,0.000000000e+00,0.000000000e+00,2.652732337e+00
7,1.428571429e-02,3.462491260e+00,1.865120604e-03,0.000000000e+00,0.000000000e+00,3.464356381e+00
8,1.607142857e-02,4.380958050e+00,2.990735098e-03,0.000000000e+00,0.000000000e+00,4.383948785e+00
9,1.785714286e-02,5.406852148e+00,4.563834864e-03,0.000000000e+00,0.000000000e+00,5.411415983e+00
10,1.964285714e-02,6.539962182e+00,6.690905844e-03,0.000000000e+00,0.000000000e+00,6.546653088e+00
11,2.142857143e-02,7.780053275e+00,9.490510878e-03,0.000000000e+00,0.000000000e+00,7.789543786e+00
12,2.321428571e-02,9.126866645e+00,1.309355031e-02,0.000000000e+00,0.000000000e+00,9.139960196e+00
13,2.500000000e-02,1.058011905e+01,1.764366589e-02,0.000000000e+00,0.000000000e+00,1.059776272e+01
14,2.678571429e-02,1.213950224e+01,2.329762265e-02,0.000000000e+00,0.000000000e+00,1.216279986e+01
15,2.857142857e-02,1.380468214e+01,3.022587199e-02,0.000000000e+00,0.000000000e+00,1.383490801e+01
16,3.035714286e-02,1.557529809e+01,3.861313763e-02,0.000000000e+00,0.000000000e+00,1.561391123e+01
17,3.214285714e-02,1.745096177e+01,4.865916942e-02,0.000000000e+00,0.000000000e+00,1.749962094e+01
18,3.392857143e-02,1.943125600e+01,6.057962195e-02,0.000000000e+00,0.000000000e+00,1.949183562e+01
19,3.571428571e-02,2.151573221e+01,7.460818352e-02,0.000000000e+00,0.000000000e+00,2.159034039e+01
20,3.750000000e-02,2.370391209e+01,9.099454130e-02,0.000000000e+00,0.000000000e+00,2.379490663e+01
21,3.928571429e-02,2.599528093e+01,1.100104250e-01,0.000000000e+00,0.000000000e+00,2.610529136e+01
22,4.107142857e-02,2.838928754e+01,1.319491315e-01,0.000000000e+00,0.000000000e+00,2.852123667e+01
23,4.285714286e-02,3.088534034e+01,1.571286085e-01,0.000000000e+00,0.000000000e+00,3.104246895e+01
24,4.464285714e-02,3.348279947e+01,1.858984419e-01,0.000000000e+00,0.000000000e+00,3.366869791e+01
25,4.642857143e-02,3.618098272e+01,2.186328176e-01,0.000000000e+00,0.000000000e+00,3.639961553e+01
26,4.821428571e-02,3.897914351e+01,2.557510789e-01,0.000000000e+00,0.000000000e+00,3.923489459e+01
27,5.000000000e-02,4.187647058e+01,2.977163307e-01,0.000000000e+00,0.000000000e+00,4.217418691e+01
28,5.178571429e-02,4.487206211e+01,3.450589482e-01,0.000000000e+00,0.000000000e+00,4.521712106e+01
29,5.357142857e-02,4.796494268e+01,3.983568083e-01,0.000000000e+00,0.000000000e+00,4.836329949e+01
30,5.535714286e-02,5.115399320e+01,4.583012949e-01,0.000000000e+00,0.000000000e+00,5.161229449e+01
31,5.714285714e-02,5.443791321e+01,5.257295911e-01,0.000000000e+00,0.000000000e+00,5.496364281e+01
32,5.892857143e-02,5.781524772e+01,6.015905734e-01,0.000000000e+00,0.000000000e+00,5.841683829e+01
33,6.071428571e-02,6.128413284e+01,6.871876560e-01,0.000000000e+00,0.000000000e+00,6.197132050e+01
34,6.250000000e-02,6.484231175e+01,7.841467120e-01,0.000000000e+00,0.000000000e+00,6.562645846e+01
35,6.428571429e-02,6.848676674e+01,8.947567602e-01,0.000000000e+00,0.000000000e+00,6.938152350e+01
36,6.607142857e-02,7.221315242e+01,1.022490581e+00,0.000000000e+00,0.000000000e+00,7.323564300e+01
37,6.785714286e-02,7.601480496e+01,1.172909488e+00,0.000000000e+00,0.000000000e+00,7.718771445e+01
38,6.964285714e-02,7.987947346e+01,1.356747922e+00,0.000000000e+00,0.000000000e+00,8.123622138e+01
39,7.142857143e-02,8.377858992e+01,1.600193933e+00,0.000000000e+00,0.000000000e+00,8.537878386e+01
40,7.321428571e-02,8.760067879e+01,2.009577051e+00,0.000000000e+00,0.000000000e+00,8.961025584e+01
41,7.500000000e-02,9.006141017e+01,3.848179067e+00,0.000000000e+00,0.000000000e+00,9.390958923e+01
42,7.678571429e-02,9.157777071e+01,6.715742303e+00,0.000000000e+00,0.000000000e+00,9.829351301e+01
43,7.857142857e-02,8.552289102e+01,1.626720283e+01,0.000000000e+00,0.000000000e+00,1.017900939e+02
44,8.035714286e-02,6.942311479e+01,3.371835661e+01,0.000000000e+00,0.000000000e+00,1.031414714e+02
45,8.214285714e-02,5.201243275e+01,5.144454618e+01,0.000000000e+00,0.000000000e+00,1.034569789e+02
46,8.392857143e-02,4.166640651e+01,6.306217259e+01,0.000000000e+00,0.000000000e+00,1.047285791e+02
47,8.571428571e-02,3.664292354e+01,6.971431988e+01,0.000000000e+00,0.000000000e+00,1.063572434e+02
48,8.750000000e-02,3.367763429e+01,7.424719389e+01,0.000000000e+00,0.000000000e+00,1.079248282e+02
49,8.928571429e-02,3.284149661e+01,7.652971696e+01,0.000000000e+00,0.000000000e+00,1.093712136e+02
50,9.107142857e-02,3.060852754e+01,8.012464658e+01,0.000000000e+00,0.000000000e+00,1.107331741e+02
51,9.285714286e-02,2.972481362e+01,8.226983493e+01,0.000000000e+00,0.000000000e+00,1.119946485e+02
52,9.464285714e-02,2.915271317e+01,8.404094868e+01,0.000000000e+00,0.000000000e+00,1.131936618e+02
53,9.642857143e-02,2.744655236e+01,8.690100760e+01,0.000000000e+00,0.000000000e+00,1.143475600e+02
