step,max_H_nodal,max_psi_plus,max_damage,delta_H,delta_damage
0,0.002089,2.7014e-03,0.00022548,0.0,0.0
5,0.076212,9.8573e-02,0.00816726,0.0,0.0
10,0.264936,3.4272e-01,0.02787672,0.0,0.0
15,0.593314,7.6772e-01,0.06052424,0.0,0.0
20,1.113589,1.4416e+00,0.10838578,0.0,0.0
25,1.935737,2.5078e+00,0.17577054,0.0,0.0
30,3.326174,4.3150e+00,0.27164340,0.0,0.0
35,6.178668,8.0404e+00,0.41991386,0.0,0.0
40,20.730921,2.7928e+01,0.76798093,0.0,0.0
45,5322.105957,1.0463e+04,1.00000000,0.0,0.0
50,9112.137695,1.7899e+04,1.00000000,0.0,0.0
55,12822.847656,2.5006e+04,1.00000000,0.0,0.0
60,19535.035156,3.7307e+04,1.00000000,0.0,0.0
65,22887.177734,4.3709e+04,1.00000000,0.0,0.0
70,26500.443359,5.0609e+04,1.00000000,0.0,0.0
75,30375.087891,5.8009e+04,1.00000000,0.0,0.0
80,34511.292969,6.5909e+04,1.00000000,0.0,0.0
85,38909.160156,7.4309e+04,1.00000000,0.0,0.0
90,43568.730469,8.3209e+04,1.00000000,0.0,0.0
95,48490.011719,9.2609e+04,1.00000000,0.0,0.0
100,53672.968750,1.0251e+05,1.00000000,0.0,0.0
105,59117.699219,1.1291e+05,1.00000000,0.0,0.0
110,64824.074219,1.2381e+05,1.00000000,0.0,0.0
115,70791.882812,1.3521e+05,1.00000000,0.0,0.0
120,77021.007812,1.4711e+05,1.00000000,0.0,0.0
125,83511.296875,1.5951e+05,1.00000000,0.0,0.0
130,90262.609375,1.7240e+05,1.00000000,0.0,0.0
135,97274.820312,1.8580e+05,1.00000000,0.0,0.0
140,113633.828125,2.1702e+05,1.00000000,0.0,0.0
145,174019.359375,3.3235e+05,1.00000000,0.0,0.0
150,247051.906250,4.7184e+05,1.00000000,0.0,0.0
155,306304.812500,5.8307e+05,1.00000000,0.0,0.0
160,390803.156250,7.4965e+05,1.00000000,0.0,0.0
165,488810.250000,9.3765e+05,1.00000000,0.0,0.0
170,597587.875000,1.1466e+06,1.00000000,0.0,0.0
175,717610.625000,1.3776e+06,1.00000000,0.0,0.0
180,848465.937500,1.6303e+06,1.00000000,0.0,0.0
185,989918.687500,1.9023e+06,1.00000000,0.0,0.0
190,1143618.500000,2.1980e+06,1.00000000,0.0,0.0
195,1306340.250000,2.5112e+06,1.00000000,0.0,0.0
