step,time,displacement,reaction_kN,max_d,max_H,stagger_iter,elapsed_ms
0,1.785714286e-03,0.00357143,0.01516445,0.00022548,2.088727105e-03,3,20814.394
1,3.571428571e-03,0.00714286,0.03032737,0.00090238,8.364465543e-03,3,20854.853
2,5.357142857e-03,0.01071429,0.04548725,0.00203213,1.885601402e-02,3,21376.752
3,7.142857143e-03,0.01428571,0.06064254,0.00361710,3.361179797e-02,3,21969.004
4,8.928571429e-03,0.01785714,0.07579173,0.00566068,5.270052203e-02,3,22899.780
5,1.071428571e-02,0.02142857,0.09093326,0.00816726,7.621210664e-02,3,24098.060
6,1.250000000e-02,0.02500000,0.10606561,0.01114227,1.042589328e-01,3,24092.776
7,1.428571429e-02,0.02857143,0.12118720,0.01459229,1.369774304e-01,3,24583.761
8,1.607142857e-02,0.03214286,0.13629649,0.01852509,1.745300517e-01,3,24483.963
9,1.785714286e-02,0.03571429,0.15139187,0.02294980,2.171095741e-01,4,31605.078
10,1.964285714e-02,0.03928571,0.16647178,0.02787672,2.649363659e-01,4,32048.210
11,2.142857143e-02,0.04285714,0.18153460,0.03331786,3.182690701e-01,4,32109.901
12,2.321428571e-02,0.04642857,0.19657870,0.03928675,3.774049235e-01,4,31849.974
13,2.500000000e-02,0.05000000,0.21160242,0.04579881,4.426858929e-01,4,31431.332
14,2.678571429e-02,0.05357143,0.22660410,0.05287141,5.145050264e-01,4,31438.591
15,2.857142857e-02,0.05714286,0.24158201,0.06052424,5.933141487e-01,4,31514.099
16,3.035714286e-02,0.06071429,0.25653441,0.06877951,6.796332265e-01,4,32039.297
17,3.214285714e-02,0.06428571,0.27145952,0.07766233,7.740618120e-01,4,32096.099
18,3.392857143e-02,0.06785714,0.28635551,0.08720112,8.772931419e-01,4,32102.068
19,3.571428571e-02,0.07142857,0.30122037,0.09743176,9.901775561e-01,5,39781.036
20,3.750000000e-02,0.07500000,0.31605231,0.10838578,1.113589349e+00,5,40072.648
21,3.928571429e-02,0.07857143,0.33084921,0.12010752,1.248659175e+00,5,40800.706
22,4.107142857e-02,0.08214286,0.34560894,0.13264535,1.396687803e+00,5,41232.542
23,4.285714286e-02,0.08571429,0.36032926,0.14605491,1.559219251e+00,5,41532.517
24,4.464285714e-02,0.08928571,0.37500760,0.16040834,1.738206488e+00,6,48524.219
25,4.642857143e-02,0.09285714,0.38964165,0.17577053,1.935736625e+00,6,48796.350
26,4.821428571e-02,0.09642857,0.40422853,0.19223551,2.154605354e+00,6,48806.988
27,5.000000000e-02,0.10000000,0.41876518,0.20990931,2.398183854e+00,6,48840.929
28,5.178571429e-02,0.10357143,0.43324792,0.22893527,2.670941400e+00,7,61878.990
29,5.357142857e-02,0.10714286,0.44767333,0.24944623,2.977905908e+00,7,63415.501
30,5.535714286e-02,0.11071429,0.46203678,0.27164340,3.326174529e+00,7,60908.502
31,5.714285714e-02,0.11428571,0.47633241,0.29579947,3.725501383e+00,8,68022.656
32,5.892857143e-02,0.11785714,0.49055454,0.32217960,4.187628928e+00,8,67784.080
33,6.071428571e-02,0.12142857,0.50469380,0.35125651,4.731295764e+00,9,74866.505
34,6.250000000e-02,0.12500000,0.51873952,0.38356865,5.381804914e+00,10,82779.395
35,6.428571429e-02,0.12857143,0.53267607,0.41991386,6.178667882e+00,11,91233.568
36,6.607142857e-02,0.13214286,0.54647916,0.46152309,7.187612561e+00,13,108402.218
37,6.785714286e-02,0.13571429,0.56011062,0.51025146,8.523316146e+00,15,125462.085
38,6.964285714e-02,0.13928571,0.57349534,0.56952984,1.042439297e+01,19,161386.496
39,7.142857143e-02,0.14285714,0.58645222,0.64681194,1.351189964e+01,26,222771.533
40,7.321428571e-02,0.14642857,0.59825157,0.76798096,2.073092173e+01,50,430298.033
41,7.500000000e-02,0.15000000,0.60051130,1.00000000,1.312889323e+02,50,417909.738
42,7.678571429e-02,0.15357143,0.59661871,1.00000000,4.092766207e+02,50,438631.467
43,7.857142857e-02,0.15714286,0.54572928,1.00000000,1.422807425e+03,50,596812.348
44,8.035714286e-02,0.16071429,0.43429663,1.00000000,3.364612954e+03,50,863479.108
45,8.214285714e-02,0.16428571,0.31812461,1.00000000,5.322105907e+03,50,846674.672
46,8.392857143e-02,0.16785714,0.24914066,1.00000000,6.562669558e+03,50,832788.155
47,8.571428571e-02,0.17142857,0.21434844,1.00000000,7.357218418e+03,50,810283.378
48,8.750000000e-02,0.17500000,0.19277490,1.00000000,8.000504834e+03,50,811622.813
49,8.928571429e-02,0.17857143,0.18407342,1.00000000,8.502393244e+03,50,809544.383
50,9.107142857e-02,0.18214286,0.16825882,1.00000000,9.112137529e+03,50,814298.565
51,9.285714286e-02,0.18571429,0.16017460,1.00000000,9.649103711e+03,50,818237.300
52,9.464285714e-02,0.18928571,0.15412722,1.00000000,1.017070689e+04,50,815091.106
53,9.642857143e-02,0.19285714,0.14285311,1.00000000,1.076342410e+04,50,813036.726
54,9.821428571e-02,0.19642857,0.11742269,1.00000000,1.167071346e+04,50,817029.840
