step,time,newton_iters,pcg_iters_mech,pcg_iters_pf,residual,dt
0,1.785714286e-03,3,1350,4,4.175682169e-07,1.000000000e-02
1,3.571428571e-03,3,1400,4,1.021517183e-06,1.000000000e-02
2,5.357142857e-03,3,1450,4,1.955456533e-06,1.000000000e-02
3,7.142857143e-03,3,1500,4,4.800646112e-06,1.000000000e-02
4,8.928571429e-03,3,1700,5,1.136445068e-05,1.000000000e-02
5,1.071428571e-02,3,1850,6,2.117690238e-05,1.000000000e-02
6,1.250000000e-02,3,1850,6,3.418810404e-05,1.000000000e-02
7,1.428571429e-02,3,1850,6,5.172585711e-05,1.000000000e-02
8,1.607142857e-02,3,1900,6,7.448262498e-05,1.000000000e-02
9,1.785714286e-02,4,1900,4,2.701428945e-06,1.000000000e-02
10,1.964285714e-02,4,2000,4,4.473237934e-06,1.000000000e-02
11,2.142857143e-02,4,2000,5,8.078058637e-06,1.000000000e-02
12,2.321428571e-02,4,2050,5,1.260611989e-05,1.000000000e-02
13,2.500000000e-02,4,2050,6,1.939404051e-05,1.000000000e-02
14,2.678571429e-02,4,1900,6,2.785777958e-05,1.000000000e-02
15,2.857142857e-02,4,1900,6,3.911694097e-05,1.000000000e-02
16,3.035714286e-02,4,2050,6,5.384922365e-05,1.000000000e-02
17,3.214285714e-02,4,2100,6,7.298273381e-05,1.000000000e-02
18,3.392857143e-02,4,2100,6,9.748976051e-05,1.000000000e-02
19,3.571428571e-02,5,2150,6,1.803531823e-05,1.000000000e-02
20,3.750000000e-02,5,2250,6,2.622066800e-05,1.000000000e-02
21,3.928571429e-02,5,2250,6,3.752798052e-05,1.000000000e-02
22,4.107142857e-02,5,2250,6,5.300399687e-05,1.000000000e-02
23,4.285714286e-02,5,2300,6,7.400387644e-05,1.000000000e-02
24,4.464285714e-02,6,2300,6,2.358549057e-05,1.000000000e-02
25,4.642857143e-02,6,2300,6,3.539973049e-05,1.000000000e-02
26,4.821428571e-02,6,2300,6,5.258352433e-05,1.000000000e-02
27,5.000000000e-02,6,2300,6,7.738707142e-05,1.000000000e-02
28,5.178571429e-02,7,2350,6,3.696912053e-05,1.000000000e-02
29,5.357142857e-02,7,2400,6,5.827396594e-05,1.000000000e-02
30,5.535714286e-02,7,2400,6,9.124472217e-05,1.000000000e-02
31,5.714285714e-02,8,2400,6,5.949538139e-05,1.000000000e-02
32,5.892857143e-02,8,2400,6,9.991048911e-05,1.000000000e-02
33,6.071428571e-02,9,2400,6,8.233089588e-05,1.000000000e-02
34,6.250000000e-02,10,2400,6,7.952893312e-05,1.000000000e-02
35,6.428571429e-02,11,2450,6,9.038013778e-05,1.000000000e-02
36,6.607142857e-02,13,2450,6,7.631598853e-05,1.000000000e-02
37,6.785714286e-02,15,2550,6,9.056483531e-05,1.000000000e-02
38,6.964285714e-02,19,2550,6,8.590240604e-05,1.000000000e-02
39,7.142857143e-02,26,2550,6,9.636264576e-05,1.000000000e-02
40,7.321428571e-02,50,2550,7,1.207522019e-04,1.000000000e-02
41,7.500000000e-02,50,2400,9,3.049353685e-03,1.000000000e-02
42,7.678571429e-02,50,2700,9,6.062456294e-03,1.000000000e-02
43,7.857142857e-02,50,4900,9,1.793666408e-02,1.000000000e-02
44,8.035714286e-02,50,5000,9,1.879653438e-02,1.000000000e-02
45,8.214285714e-02,50,5000,8,1.043835841e-02,1.000000000e-02
46,8.392857143e-02,50,5000,7,5.980066737e-03,1.000000000e-02
47,8.571428571e-02,50,5000,7,3.885178302e-03,1.000000000e-02
48,8.750000000e-02,50,5000,6,2.225519969e-03,1.000000000e-02
49,8.928571429e-02,50,5000,6,9.353255765e-04,1.000000000e-02
50,9.107142857e-02,50,5000,6,1.334607277e-03,1.000000000e-02
51,9.285714286e-02,50,5000,5,6.340984559e-04,1.000000000e-02
52,9.464285714e-02,50,5000,5,5.639451779e-04,1.000000000e-02
53,9.642857143e-02,50,5000,7,3.589908185e-03,1.000000000e-02
54,9.821428571e-02,50,5000,6,3.307556112e-03,1.000000000e-02
55,1.000000000e-01,50,5000,7,5.148447293e-03,1.000000000e-02
56,1.017857143e-01,27,5000,5,5.665544068e-05,1.000000000e-02
57,1.035714286e-01,3,4900,5,8.738796275e-06,1.000000000e-02
58,1.053571429e-01,3,4900,5,8.963066195e-06,1.000000000e-02
59,1.071428571e-01,3,4950,5,9.094332591e-06,1.000000000e-02
60,1.089285714e-01,3,5000,5,9.196801871e-06,1.000000000e-02
