step,max_d,max_H,Solid solve Time,Compute Strain Time,Driving Force Time,Phase Solve Time,Total Step Time
0,0.00022548,2.0887e-03,0.000000000,0.000000000,0.000000000,0.000000000,20.814394236
1,0.00090238,8.3645e-03,0.000000000,0.000000000,0.000000000,0.000000000,20.854853392
2,0.00203213,1.8856e-02,0.000000000,0.000000000,0.000000000,0.000000000,21.376751900
3,0.00361710,3.3612e-02,0.000000000,0.000000000,0.000000000,0.000000000,21.969003916
4,0.00566068,5.2701e-02,0.000000000,0.000000000,0.000000000,0.000000000,22.899779558
5,0.00816726,7.6212e-02,0.000000000,0.000000000,0.000000000,0.000000000,24.098060131
6,0.01114227,1.0426e-01,0.000000000,0.000000000,0.000000000,0.000000000,24.092775583
7,0.01459229,1.3698e-01,0.000000000,0.000000000,0.000000000,0.000000000,24.583761454
8,0.01852509,1.7453e-01,0.000000000,0.000000000,0.000000000,0.000000000,24.483963251
9,0.02294980,2.1711e-01,0.000000000,0.000000000,0.000000000,0.000000000,31.605077982
10,0.02787672,2.6494e-01,0.000000000,0.000000000,0.000000000,0.000000000,32.048210144
11,0.03331786,3.1827e-01,0.000000000,0.000000000,0.000000000,0.000000000,32.109901190
12,0.03928675,3.7740e-01,0.000000000,0.000000000,0.000000000,0.000000000,31.849973917
13,0.04579881,4.4269e-01,0.000000000,0.000000000,0.000000000,0.000000000,31.431332350
14,0.05287141,5.1451e-01,0.000000000,0.000000000,0.000000000,0.000000000,31.438591480
15,0.06052424,5.9331e-01,0.000000000,0.000000000,0.000000000,0.000000000,31.514098883
16,0.06877951,6.7963e-01,0.000000000,0.000000000,0.000000000,0.000000000,32.039296627
17,0.07766233,7.7406e-01,0.000000000,0.000000000,0.000000000,0.000000000,32.096099138
18,0.08720112,8.7729e-01,0.000000000,0.000000000,0.000000000,0.000000000,32.102067947
19,0.09743176,9.9018e-01,0.000000000,0.000000000,0.000000000,0.000000000,39.781035900
20,0.10838578,1.1136e+00,0.000000000,0.000000000,0.000000000,0.000000000,40.072647810
21,0.12010752,1.2487e+00,0.000000000,0.000000000,0.000000000,0.000000000,40.800705671
22,0.13264535,1.3967e+00,0.000000000,0.000000000,0.000000000,0.000000000,41.232542038
23,0.14605491,1.5592e+00,0.000000000,0.000000000,0.000000000,0.000000000,41.532516718
24,0.16040834,1.7382e+00,0.000000000,0.000000000,0.000000000,0.000000000,48.524218559
25,0.17577053,1.9357e+00,0.000000000,0.000000000,0.000000000,0.000000000,48.796350479
26,0.19223551,2.1546e+00,0.000000000,0.000000000,0.000000000,0.000000000,48.806988478
27,0.20990931,2.3982e+00,0.000000000,0.000000000,0.000000000,0.000000000,48.840928555
28,0.22893527,2.6709e+00,0.000000000,0.000000000,0.000000000,0.000000000,61.878990412
29,0.24944623,2.9779e+00,0.000000000,0.000000000,0.000000000,0.000000000,63.415501118
30,0.27164340,3.3262e+00,0.000000000,0.000000000,0.000000000,0.000000000,60.908502102
31,0.29579947,3.7255e+00,0.000000000,0.000000000,0.000000000,0.000000000,68.022656441
32,0.32217960,4.1876e+00,0.000000000,0.000000000,0.000000000,0.000000000,67.784079552
33,0.35125651,4.7313e+00,0.000000000,0.000000000,0.000000000,0.000000000,74.866505384
34,0.38356865,5.3818e+00,0.000000000,0.000000000,0.000000000,0.000000000,82.779394627
35,0.41991386,6.1787e+00,0.000000000,0.000000000,0.000000000,0.000000000,91.233567715
36,0.46152309,7.1876e+00,0.000000000,0.000000000,0.000000000,0.000000000,108.402217627
37,0.51025146,8.5233e+00,0.000000000,0.000000000,0.000000000,0.000000000,125.462085009
38,0.56952984,1.0424e+01,0.000000000,0.000000000,0.000000000,0.000000000,161.386495590
39,0.64681194,1.3512e+01,0.000000000,0.000000000,0.000000000,0.000000000,222.771532774
40,0.76798096,2.0731e+01,0.000000000,0.000000000,0.000000000,0.000000000,430.298032522
41,1.00000000,1.3129e+02,0.000000000,0.000000000,0.000000000,0.000000000,417.909737825
42,1.00000000,4.0928e+02,0.000000000,0.000000000,0.000000000,0.000000000,438.631467104
43,1.00000000,1.4228e+03,0.000000000,0.000000000,0.000000000,0.000000000,596.812348127
44,1.00000000,3.3646e+03,0.000000000,0.000000000,0.000000000,0.000000000,863.479108334
45,1.00000000,5.3221e+03,0.000000000,0.000000000,0.000000000,0.000000000,846.674672127
46,1.00000000,6.5627e+03,0.000000000,0.000000000,0.000000000,0.000000000,832.788155317
47,1.00000000,7.3572e+03,0.000000000,0.000000000,0.000000000,0.000000000,810.283377647
48,1.00000000,8.0005e+03,0.000000000,0.000000000,0.000000000,0.000000000,811.622812510
49,1.00000000,8.5024e+03,0.000000000,0.000000000,0.000000000,0.000000000,809.544382572
50,1.00000000,9.1121e+03,0.000000000,0.000000000,0.000000000,0.000000000,814.298564911
51,1.00000000,9.6491e+03,0.000000000,0.000000000,0.000000000,0.000000000,818.237300396
52,1.00000000,1.0171e+04,0.000000000,0.000000000,0.000000000,0.000000000,815.091106176
53,1.00000000,1.0763e+04,0.000000000,0.000000000,0.000000000,0.000000000,813.036726475
54,1.00000000,1.1671e+04,0.000000000,0.000000000,0.000000000,0.000000000,817.029839993
55,1.00000000,1.2823e+04,0.000000000,0.000000000,0.000000000,0.000000000,813.447864771
56,1.00000000,1.7041e+04,0.000000000,0.000000000,0.000000000,0.000000000,438.947043657
57,1.00000000,1.7649e+04,0.000000000,0.000000000,0.000000000,0.000000000,48.444998741
58,1.00000000,1.8267e+04,0.000000000,0.000000000,0.000000000,0.000000000,48.492242336
59,1.00000000,1.8896e+04,0.000000000,0.000000000,0.000000000,0.000000000,48.392996073
60,1.00000000,1.9535e+04,0.000000000,0.000000000,0.000000000,0.000000000,48.700299978
61,1.00000000,2.0185e+04,0.000000000,0.000000000,0.000000000,0.000000000,48.949242830
62,1.00000000,2.0845e+04,0.000000000,0.000000000,0.000000000,0.000000000,48.719839573
63,1.00000000,2.1515e+04,0.000000000,0.000000000,0.000000000,0.000000000,32.368539810
64,1.00000000,2.2196e+04,0.000000000,0.000000000,0.000000000,0.000000000,32.543746948
65,1.00000000,2.2887e+04,0.000000000,0.000000000,0.000000000,0.000000000,32.651381016
66,1.00000000,2.3589e+04,0.000000000,0.000000000,0.000000000,0.000000000,32.920359373
67,1.00000000,2.4301e+04,0.000000000,0.000000000,0.000000000,0.000000000,32.618255138
68,1.00000000,2.5024e+04,0.000000000,0.000000000,0.000000000,0.000000000,32.505854130
69,1.00000000,2.5757e+04,0.000000000,0.000000000,0.000000000,0.000000000,32.569574118
70,1.00000000,2.6500e+04,0.000000000,0.000000000,0.000000000,0.000000000,32.540606499
71,1.00000000,2.7254e+04,0.000000000,0.000000000,0.000000000,0.000000000,32.677921772
72,1.00000000,2.8019e+04,0.000000000,0.000000000,0.000000000,0.000000000,32.691463947
73,1.00000000,2.8794e+04,0.000000000,0.000000000,0.000000000,0.000000000,32.624524593
74,1.00000000,2.9579e+04,0.000000000,0.000000000,0.000000000,0.000000000,32.505538702
75,1.00000000,3.0375e+04,0.000000000,0.000000000,0.000000000,0.000000000,32.633997440
76,1.00000000,3.1181e+04,0.000000000,0.000000000,0.000000000,0.000000000,32.134650946
77,1.00000000,3.1998e+04,0.000000000,0.000000000,0.000000000,0.000000000,31.562795162
78,1.00000000,3.2825e+04,0.000000000,0.000000000,0.000000000,0.000000000,30.484901428
79,1.00000000,3.3663e+04,0.000000000,0.000000000,0.000000000,0.000000000,30.125389576
80,1.00000000,3.4511e+04,0.000000000,0.000000000,0.000000000,0.000000000,30.250089169
81,1.00000000,3.5370e+04,0.000000000,0.000000000,0.000000000,0.000000000,30.148785353
82,1.00000000,3.6239e+04,0.000000000,0.000000000,0.000000000,0.000000000,29.649305344
83,1.00000000,3.7119e+04,0.000000000,0.000000000,0.000000000,0.000000000,30.041026592
84,1.00000000,3.8009e+04,0.000000000,0.000000000,0.000000000,0.000000000,29.314270735
85,1.00000000,3.8909e+04,0.000000000,0.000000000,0.000000000,0.000000000,28.758752346
86,1.00000000,3.9820e+04,0.000000000,0.000000000,0.000000000,0.000000000,27.671174526
87,1.00000000,4.0742e+04,0.000000000,0.000000000,0.000000000,0.000000000,28.713994503
88,1.00000000,4.1673e+04,0.000000000,0.000000000,0.000000000,0.000000000,29.115780354
89,1.00000000,4.2616e+04,0.000000000,0.000000000,0.000000000,0.000000000,28.933578253
90,1.00000000,4.3569e+04,0.000000000,0.000000000,0.000000000,0.000000000,28.146319628
91,1.00000000,4.4532e+04,0.000000000,0.000000000,0.000000000,0.000000000,28.158282280
92,1.00000000,4.5506e+04,0.000000000,0.000000000,0.000000000,0.000000000,29.844913006
93,1.00000000,4.6490e+04,0.000000000,0.000000000,0.000000000,0.000000000,30.457805157
94,1.00000000,4.7485e+04,0.000000000,0.000000000,0.000000000,0.000000000,31.264978647
95,1.00000000,4.8490e+04,0.000000000,0.000000000,0.000000000,0.000000000,31.520963907
96,1.00000000,4.9506e+04,0.000000000,0.000000000,0.000000000,0.000000000,32.004052401
97,1.00000000,5.0532e+04,0.000000000,0.000000000,0.000000000,0.000000000,32.028076410
98,1.00000000,5.1568e+04,0.000000000,0.000000000,0.000000000,0.000000000,30.431152582
99,1.00000000,5.2615e+04,0.000000000,0.000000000,0.000000000,0.000000000,26.875165701
100,1.00000000,5.3673e+04,0.000000000,0.000000000,0.000000000,0.000000000,28.667793989
101,1.00000000,5.4741e+04,0.000000000,0.000000000,0.000000000,0.000000000,31.255098104
102,1.00000000,5.5819e+04,0.000000000,0.000000000,0.000000000,0.000000000,32.304861784
103,1.00000000,5.6908e+04,0.000000000,0.000000000,0.000000000,0.000000000,32.451258421
104,1.00000000,5.8008e+04,0.000000000,0.000000000,0.000000000,0.000000000,32.357336283
105,1.00000000,5.9118e+04,0.000000000,0.000000000,0.000000000,0.000000000,32.564772129
106,1.00000000,6.0238e+04,0.000000000,0.000000000,0.000000000,0.000000000,31.642526865
107,1.00000000,6.1369e+04,0.000000000,0.000000000,0.000000000,0.000000000,31.352325439
108,1.00000000,6.2510e+04,0.000000000,0.000000000,0.000000000,0.000000000,31.357838392
109,1.00000000,6.3662e+04,0.000000000,0.000000000,0.000000000,0.000000000,31.065445662
110,1.00000000,6.4824e+04,0.000000000,0.000000000,0.000000000,0.000000000,30.832859516
111,1.00000000,6.5997e+04,0.000000000,0.000000000,0.000000000,0.000000000,30.657017708
112,1.00000000,6.7180e+04,0.000000000,0.000000000,0.000000000,0.000000000,30.438230515
113,1.00000000,6.8373e+04,0.000000000,0.000000000,0.000000000,0.000000000,30.642012596
114,1.00000000,6.9577e+04,0.000000000,0.000000000,0.000000000,0.000000000,29.945818424
115,1.00000000,7.0792e+04,0.000000000,0.000000000,0.000000000,0.000000000,29.059280396
116,1.00000000,7.2017e+04,0.000000000,0.000000000,0.000000000,0.000000000,28.833820820
117,1.00000000,7.3252e+04,0.000000000,0.000000000,0.000000000,0.000000000,28.520168543
118,1.00000000,7.4498e+04,0.000000000,0.000000000,0.000000000,0.000000000,27.819580317
119,1.00000000,7.5754e+04,0.000000000,0.000000000,0.000000000,0.000000000,25.546358824
120,1.00000000,7.7021e+04,0.000000000,0.000000000,0.000000000,0.000000000,28.085341692
121,1.00000000,7.8298e+04,0.000000000,0.000000000,0.000000000,0.000000000,28.685085297
122,1.00000000,7.9586e+04,0.000000000,0.000000000,0.000000000,0.000000000,28.922652483
123,1.00000000,8.0884e+04,0.000000000,0.000000000,0.000000000,0.000000000,28.945725441
124,1.00000000,8.2192e+04,0.000000000,0.000000000,0.000000000,0.000000000,28.844421625
125,1.00000000,8.3511e+04,0.000000000,0.000000000,0.000000000,0.000000000,28.927463293
126,1.00000000,8.4841e+04,0.000000000,0.000000000,0.000000000,0.000000000,28.947875738
127,1.00000000,8.6181e+04,0.000000000,0.000000000,0.000000000,0.000000000,28.641490698
128,1.00000000,8.7531e+04,0.000000000,0.000000000,0.000000000,0.000000000,28.394483805
129,1.00000000,8.8891e+04,0.000000000,0.000000000,0.000000000,0.000000000,28.867794514
130,1.00000000,9.0263e+04,0.000000000,0.000000000,0.000000000,0.000000000,29.074471474
131,1.00000000,9.1644e+04,0.000000000,0.000000000,0.000000000,0.000000000,29.200736761
132,1.00000000,9.3036e+04,0.000000000,0.000000000,0.000000000,0.000000000,29.378754854
133,1.00000000,9.4439e+04,0.000000000,0.000000000,0.000000000,0.000000000,29.259661436
134,1.00000000,9.5852e+04,0.000000000,0.000000000,0.000000000,0.000000000,28.598247290
135,1.00000000,9.7275e+04,0.000000000,0.000000000,0.000000000,0.000000000,28.228014231
136,1.00000000,9.8709e+04,0.000000000,0.000000000,0.000000000,0.000000000,27.799514532
137,1.00000000,1.0015e+05,0.000000000,0.000000000,0.000000000,0.000000000,28.475898981
138,1.00000000,1.0161e+05,0.000000000,0.000000000,0.000000000,0.000000000,28.202762842
139,1.00000000,1.0307e+05,0.000000000,0.000000000,0.000000000,0.000000000,28.067069292
140,1.00000000,1.1363e+05,0.000000000,0.000000000,0.000000000,0.000000000,60.872769833
141,1.00000000,1.2469e+05,0.000000000,0.000000000,0.000000000,0.000000000,62.206629753
142,1.00000000,1.3626e+05,0.000000000,0.000000000,0.000000000,0.000000000,60.886815310
143,1.00000000,1.4834e+05,0.000000000,0.000000000,0.000000000,0.000000000,60.844307899
144,1.00000000,1.6093e+05,0.000000000,0.000000000,0.000000000,0.000000000,75.279857874
145,1.00000000,1.7402e+05,0.000000000,0.000000000,0.000000000,0.000000000,75.361009598
146,1.00000000,1.8762e+05,0.000000000,0.000000000,0.000000000,0.000000000,81.194123507
147,1.00000000,2.0172e+05,0.000000000,0.000000000,0.000000000,0.000000000,97.106994629
148,1.00000000,2.1633e+05,0.000000000,0.000000000,0.000000000,0.000000000,92.963297367
149,1.00000000,2.3144e+05,0.000000000,0.000000000,0.000000000,0.000000000,109.057128429
150,1.00000000,2.4705e+05,0.000000000,0.000000000,0.000000000,0.000000000,125.255100965
