rho_inf,time,E_lo_over_initial,E_hi_over_initial
1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
1.000000000000000000e+00,1.000000000000000021e-03,1.000000000000000222e+00,9.999999999999996669e-01
1.000000000000000000e+00,2.000000000000000042e-03,1.000000000000000000e+00,9.999999999999994449e-01
1.000000000000000000e+00,3.000000000000000062e-03,1.000000000000000000e+00,9.999999999999994449e-01
1.000000000000000000e+00,4.000000000000000083e-03,1.000000000000000000e+00,9.999999999999997780e-01
1.000000000000000000e+00,5.000000000000000104e-03,9.999999999999996669e-01,9.999999999999962252e-01
1.000000000000000000e+00,6.000000000000000125e-03,1.000000000000000000e+00,9.999999999999965583e-01
1.000000000000000000e+00,7.000000000000000146e-03,1.000000000000000000e+00,9.999999999999967804e-01
1.000000000000000000e+00,8.000000000000000167e-03,9.999999999999997780e-01,9.999999999999967804e-01
1.000000000000000000e+00,9.000000000000001055e-03,9.999999999999997780e-01,9.999999999999967804e-01
1.000000000000000000e+00,1.000000000000000021e-02,9.999999999999997780e-01,9.999999999999932276e-01
1.000000000000000000e+00,1.099999999999999936e-02,1.000000000000000000e+00,9.999999999999913403e-01
1.000000000000000000e+00,1.200000000000000025e-02,9.999999999999997780e-01,9.999999999999911182e-01
1.000000000000000000e+00,1.300000000000000114e-02,9.999999999999996669e-01,9.999999999999916733e-01
1.000000000000000000e+00,1.400000000000000029e-02,9.999999999999996669e-01,9.999999999999913403e-01
1.000000000000000000e+00,1.499999999999999944e-02,9.999999999999997780e-01,9.999999999999878986e-01
1.000000000000000000e+00,1.600000000000000033e-02,9.999999999999997780e-01,9.999999999999862332e-01
1.000000000000000000e+00,1.700000000000000122e-02,9.999999999999996669e-01,9.999999999999859002e-01
1.000000000000000000e+00,1.800000000000000211e-02,9.999999999999996669e-01,9.999999999999862332e-01
1.000000000000000000e+00,1.899999999999999953e-02,9.999999999999996669e-01,9.999999999999865663e-01
1.000000000000000000e+00,2.000000000000000042e-02,9.999999999999997780e-01,9.999999999999846789e-01
1.000000000000000000e+00,2.100000000000000130e-02,1.000000000000000000e+00,9.999999999999837907e-01
1.000000000000000000e+00,2.199999999999999872e-02,1.000000000000000222e+00,9.999999999999830136e-01
1.000000000000000000e+00,2.299999999999999961e-02,1.000000000000000000e+00,9.999999999999833467e-01
1.000000000000000000e+00,2.400000000000000050e-02,1.000000000000000000e+00,9.999999999999841238e-01
1.000000000000000000e+00,2.500000000000000139e-02,9.999999999999997780e-01,9.999999999999816813e-01
1.000000000000000000e+00,2.600000000000000228e-02,1.000000000000000000e+00,9.999999999999802380e-01
1.000000000000000000e+00,2.699999999999999969e-02,9.999999999999997780e-01,9.999999999999813483e-01
1.000000000000000000e+00,2.800000000000000058e-02,9.999999999999997780e-01,9.999999999999814593e-01
1.000000000000000000e+00,2.900000000000000147e-02,9.999999999999996669e-01,9.999999999999809042e-01
1.000000000000000000e+00,2.999999999999999889e-02,9.999999999999996669e-01,9.999999999999794609e-01
1.000000000000000000e+00,3.099999999999999978e-02,1.000000000000000000e+00,9.999999999999822364e-01
1.000000000000000000e+00,3.200000000000000067e-02,9.999999999999996669e-01,9.999999999999840128e-01
1.000000000000000000e+00,3.300000000000000155e-02,9.999999999999996669e-01,9.999999999999846789e-01
1.000000000000000000e+00,3.400000000000000244e-02,9.999999999999994449e-01,9.999999999999845679e-01
1.000000000000000000e+00,3.500000000000000333e-02,9.999999999999994449e-01,9.999999999999813483e-01
1.000000000000000000e+00,3.600000000000000422e-02,9.999999999999996669e-01,9.999999999999765743e-01
1.000000000000000000e+00,3.699999999999999817e-02,9.999999999999994449e-01,9.999999999999754641e-01
1.000000000000000000e+00,3.799999999999999906e-02,9.999999999999996669e-01,9.999999999999757971e-01
1.000000000000000000e+00,3.899999999999999994e-02,9.999999999999994449e-01,9.999999999999764633e-01
1.000000000000000000e+00,4.000000000000000083e-02,9.999999999999994449e-01,9.999999999999764633e-01
1.000000000000000000e+00,4.100000000000000172e-02,9.999999999999993339e-01,9.999999999999771294e-01
1.000000000000000000e+00,4.200000000000000261e-02,9.999999999999988898e-01,9.999999999999770184e-01
1.000000000000000000e+00,4.300000000000000350e-02,9.999999999999991118e-01,9.999999999999771294e-01
1.000000000000000000e+00,4.399999999999999745e-02,9.999999999999991118e-01,9.999999999999775735e-01
1.000000000000000000e+00,4.499999999999999833e-02,9.999999999999991118e-01,9.999999999999783507e-01
1.000000000000000000e+00,4.599999999999999922e-02,9.999999999999991118e-01,9.999999999999770184e-01
1.000000000000000000e+00,4.700000000000000011e-02,9.999999999999988898e-01,9.999999999999752420e-01
1.000000000000000000e+00,4.800000000000000100e-02,9.999999999999988898e-01,9.999999999999752420e-01
1.000000000000000000e+00,4.900000000000000189e-02,9.999999999999988898e-01,9.999999999999756861e-01
1.000000000000000000e+00,5.000000000000000278e-02,9.999999999999991118e-01,9.999999999999730216e-01
1.000000000000000000e+00,5.100000000000000366e-02,9.999999999999993339e-01,9.999999999999709122e-01
1.000000000000000000e+00,5.200000000000000455e-02,9.999999999999994449e-01,9.999999999999681366e-01
1.000000000000000000e+00,5.299999999999999850e-02,9.999999999999993339e-01,9.999999999999684697e-01
1.000000000000000000e+00,5.399999999999999939e-02,9.999999999999993339e-01,9.999999999999686917e-01
1.000000000000000000e+00,5.500000000000000028e-02,9.999999999999991118e-01,9.999999999999698019e-01
1.000000000000000000e+00,5.600000000000000117e-02,9.999999999999991118e-01,9.999999999999671374e-01
1.000000000000000000e+00,5.700000000000000205e-02,9.999999999999991118e-01,9.999999999999670264e-01
1.000000000000000000e+00,5.800000000000000294e-02,9.999999999999993339e-01,9.999999999999671374e-01
1.000000000000000000e+00,5.900000000000000383e-02,9.999999999999996669e-01,9.999999999999673594e-01
1.000000000000000000e+00,5.999999999999999778e-02,9.999999999999996669e-01,9.999999999999658051e-01
1.000000000000000000e+00,6.099999999999999867e-02,9.999999999999996669e-01,9.999999999999682476e-01
1.000000000000000000e+00,6.199999999999999956e-02,9.999999999999994449e-01,9.999999999999673594e-01
1.000000000000000000e+00,6.300000000000000044e-02,9.999999999999993339e-01,9.999999999999654721e-01
1.000000000000000000e+00,6.400000000000000133e-02,9.999999999999993339e-01,9.999999999999662492e-01
1.000000000000000000e+00,6.500000000000000222e-02,9.999999999999991118e-01,9.999999999999668043e-01
1.000000000000000000e+00,6.600000000000000311e-02,9.999999999999993339e-01,9.999999999999689138e-01
1.000000000000000000e+00,6.700000000000000400e-02,9.999999999999994449e-01,9.999999999999694689e-01
1.000000000000000000e+00,6.800000000000000488e-02,9.999999999999993339e-01,9.999999999999701350e-01
1.000000000000000000e+00,6.900000000000000577e-02,9.999999999999991118e-01,9.999999999999701350e-01
1.000000000000000000e+00,7.000000000000000666e-02,9.999999999999991118e-01,9.999999999999708011e-01
1.000000000000000000e+00,7.100000000000000755e-02,9.999999999999993339e-01,9.999999999999730216e-01
1.000000000000000000e+00,7.200000000000000844e-02,9.999999999999994449e-01,9.999999999999670264e-01
1.000000000000000000e+00,7.299999999999999545e-02,9.999999999999994449e-01,9.999999999999668043e-01
1.000000000000000000e+00,7.399999999999999634e-02,9.999999999999996669e-01,9.999999999999663602e-01
1.000000000000000000e+00,7.499999999999999722e-02,9.999999999999994449e-01,9.999999999999662492e-01
1.000000000000000000e+00,7.599999999999999811e-02,9.999999999999994449e-01,9.999999999999673594e-01
1.000000000000000000e+00,7.699999999999999900e-02,9.999999999999994449e-01,9.999999999999682476e-01
1.000000000000000000e+00,7.799999999999999989e-02,9.999999999999993339e-01,9.999999999999692468e-01
1.000000000000000000e+00,7.900000000000000078e-02,9.999999999999991118e-01,9.999999999999698019e-01
1.000000000000000000e+00,8.000000000000000167e-02,9.999999999999991118e-01,9.999999999999703570e-01
1.000000000000000000e+00,8.100000000000000255e-02,9.999999999999991118e-01,9.999999999999711342e-01
1.000000000000000000e+00,8.200000000000000344e-02,9.999999999999993339e-01,9.999999999999708011e-01
1.000000000000000000e+00,8.300000000000000433e-02,9.999999999999993339e-01,9.999999999999705791e-01
1.000000000000000000e+00,8.400000000000000522e-02,9.999999999999993339e-01,9.999999999999709122e-01
1.000000000000000000e+00,8.500000000000000611e-02,9.999999999999993339e-01,9.999999999999705791e-01
1.000000000000000000e+00,8.600000000000000699e-02,9.999999999999993339e-01,9.999999999999700240e-01
1.000000000000000000e+00,8.700000000000000788e-02,9.999999999999993339e-01,9.999999999999714673e-01
1.000000000000000000e+00,8.799999999999999489e-02,9.999999999999993339e-01,9.999999999999700240e-01
1.000000000000000000e+00,8.899999999999999578e-02,9.999999999999993339e-01,9.999999999999698019e-01
1.000000000000000000e+00,8.999999999999999667e-02,9.999999999999993339e-01,9.999999999999701350e-01
1.000000000000000000e+00,9.099999999999999756e-02,9.999999999999988898e-01,9.999999999999694689e-01
1.000000000000000000e+00,9.199999999999999845e-02,9.999999999999987788e-01,9.999999999999709122e-01
1.000000000000000000e+00,9.299999999999999933e-02,9.999999999999987788e-01,9.999999999999698019e-01
1.000000000000000000e+00,9.400000000000000022e-02,9.999999999999988898e-01,9.999999999999703570e-01
1.000000000000000000e+00,9.500000000000000111e-02,9.999999999999993339e-01,9.999999999999703570e-01
1.000000000000000000e+00,9.600000000000000200e-02,9.999999999999993339e-01,9.999999999999703570e-01
1.000000000000000000e+00,9.700000000000000289e-02,9.999999999999991118e-01,9.999999999999682476e-01
1.000000000000000000e+00,9.800000000000000377e-02,9.999999999999991118e-01,9.999999999999643618e-01
1.000000000000000000e+00,9.900000000000000466e-02,9.999999999999993339e-01,9.999999999999644729e-01
1.000000000000000000e+00,1.000000000000000056e-01,9.999999999999991118e-01,9.999999999999652500e-01
5.000000000000000000e-01,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
5.000000000000000000e-01,1.000000000000000021e-03,9.999999999855693211e-01,1.041368340332202935e+00
5.000000000000000000e-01,2.000000000000000042e-03,9.999999998268358503e-01,7.956340748917347661e-01
5.000000000000000000e-01,3.000000000000000062e-03,9.999999995815385123e-01,4.804224093780599669e-01
5.000000000000000000e-01,4.000000000000000083e-03,9.999999992497066170e-01,2.246417196293292728e-01
5.000000000000000000e-01,5.000000000000000104e-03,9.999999988313839072e-01,1.182935986500141257e-01
5.000000000000000000e-01,6.000000000000000125e-03,9.999999983266265602e-01,8.018324637167953406e-02
5.000000000000000000e-01,7.000000000000000146e-03,9.999999977355055192e-01,4.601531973159039834e-02
5.000000000000000000e-01,8.000000000000000167e-03,9.999999970581052722e-01,2.131457220782006709e-02
5.000000000000000000e-01,9.000000000000001055e-03,9.999999962945231857e-01,1.197008635104420890e-02
5.000000000000000000e-01,1.000000000000000021e-02,9.999999954448708372e-01,8.107389558772699553e-03
5.000000000000000000e-01,1.099999999999999936e-02,9.999999945092736819e-01,4.418235668228920505e-03
5.000000000000000000e-01,1.200000000000000025e-02,9.999999934878701646e-01,2.046079862655357864e-03
5.000000000000000000e-01,1.300000000000000114e-02,9.999999923808121638e-01,1.220883903878819095e-03
5.000000000000000000e-01,1.400000000000000029e-02,9.999999911882657688e-01,8.127120630832312866e-04
5.000000000000000000e-01,1.499999999999999944e-02,9.999999899104099477e-01,4.213509185847115197e-04
5.000000000000000000e-01,1.600000000000000033e-02,9.999999885474375461e-01,1.984988131562492538e-04
5.000000000000000000e-01,1.700000000000000122e-02,9.999999870995543994e-01,1.249967532784913079e-04
5.000000000000000000e-01,1.800000000000000211e-02,9.999999855669799986e-01,8.069477017526832500e-05
5.000000000000000000e-01,1.899999999999999953e-02,9.999999839499476018e-01,4.000672686440247131e-05
5.000000000000000000e-01,2.000000000000000042e-02,9.999999822487032342e-01,1.949898777008153740e-05
5.000000000000000000e-01,2.100000000000000130e-02,9.999999804635063549e-01,1.280033198768927662e-05
5.000000000000000000e-01,2.199999999999999872e-02,9.999999785946300790e-01,7.932659883303200249e-06
5.000000000000000000e-01,2.299999999999999961e-02,9.999999766423598446e-01,3.793121519975327494e-06
5.000000000000000000e-01,2.400000000000000050e-02,9.999999746069953011e-01,1.940252946996639367e-06
5.000000000000000000e-01,2.500000000000000139e-02,9.999999724888486430e-01,1.306912812638040515e-06
5.000000000000000000e-01,2.600000000000000228e-02,9.999999702882451658e-01,7.721817747162755708e-07
5.000000000000000000e-01,2.699999999999999969e-02,9.999999680055232654e-01,3.603488806737167526e-07
5.000000000000000000e-01,2.800000000000000058e-02,9.999999656410342164e-01,1.953376239092367515e-07
5.000000000000000000e-01,2.900000000000000147e-02,9.999999631951422829e-01,1.326853020653620487e-07
5.000000000000000000e-01,2.999999999999999889e-02,9.999999606682248299e-01,7.448399383197665360e-08
5.000000000000000000e-01,3.099999999999999978e-02,9.999999580606711014e-01,3.442585787885290866e-08
5.000000000000000000e-01,3.200000000000000067e-02,9.999999553728846635e-01,1.984767078457991514e-08
5.000000000000000000e-01,3.300000000000000155e-02,9.999999526052804066e-01,1.336823422007942179e-08
5.000000000000000000e-01,3.400000000000000244e-02,9.999999497582860997e-01,7.128993210368004215e-09
5.000000000000000000e-01,3.500000000000000333e-02,9.999999468323420571e-01,3.318530072514165239e-09
5.000000000000000000e-01,3.600000000000000422e-02,9.999999438279016939e-01,2.028533072061642677e-09
5.000000000000000000e-01,3.699999999999999817e-02,9.999999407454300826e-01,1.334754202858808226e-09
5.000000000000000000e-01,3.799999999999999906e-02,9.999999375854050632e-01,6.783761196991863323e-10
