step,eps_xx,sigma_xx_mean_MPa,von_mises_mean_MPa,von_mises_max_MPa,eps_p_eq_mean,eps_p_eq_max,yield_mean_MPa,reaction_x_MPa_mm,newton_iterations,residual
1,0.00015,29.578749608480848,29.677264976863242,42.50567169298217,0.0,0.0,250.0,6.4335338089590035,2,1.2123530450119242e-13
2,0.0003,59.15749921696171,59.35452995372649,85.01134338596442,0.0,0.0,250.0,12.86706761791796,2,2.3469404743955384e-13
3,0.00044999999999999993,88.73624882544256,89.03179493058973,127.51701507894666,0.0,0.0,250.0,19.300601426876995,2,1.548896068157139e-13
4,0.0006,118.3149984339234,118.70905990745295,170.02268677192907,0.0,0.0,250.0,25.73413523583596,2,1.5432844698656876e-13
5,0.00075,147.8937480424043,148.38632488431622,212.52835846491135,0.0,0.0,250.0,32.167669044794934,2,1.5292704477748486e-13
6,0.0008999999999999999,177.34551257114418,177.94811175663327,250.17729922329545,5.834108716737195e-07,3.545984465909681e-05,250.00291705435836,38.57362957412835,4,9.099240059296877e-09
7,0.00105,199.93751765788215,200.7832921261817,252.72369288405076,3.6122587819098136e-05,0.0005447385768101577,250.18061293909548,43.490978808059154,5,2.436845222278554e-07
8,0.0012,205.83365412867195,206.8842791061346,257.28797259470565,0.00015907316015500615,0.0014575945189411418,250.79536580077504,44.78471194270948,5,8.784683850183925e-09
9,0.0013499999999999999,209.6292505600084,210.884997155458,261.5922391307187,0.00029299595468448874,0.0023184478261437515,251.46497977342244,45.61799007491929,5,4.395308792958619e-06
10,0.0015,213.0478070826233,214.51168855677886,265.8322177367708,0.0004291498316150154,0.0031664435473541504,252.1457491580751,46.36927648351137,6,8.695424605488199e-09
11,0.0016499999999999998,215.92766771857407,217.52063525404813,269.85761128229706,0.0005680863652425568,0.003971522256459422,252.84043182621278,47.003319553025285,5,3.0524703185774457e-07
12,0.0017999999999999997,218.48627759063345,220.1656673925124,273.6357779235769,0.0007084353667533685,0.00472715558471537,253.54217683376683,47.565063589097754,5,4.4180707378727945e-08
13,0.00195,220.91692175915668,222.67620620553666,277.26376875098447,0.0008492802013438182,0.0054527537501969075,254.24640100671908,48.09771894330323,5,8.93844686170372e-08
14,0.0021,223.2682400156434,225.10839230761684,280.7926105854713,0.0009904517115383751,0.0061585221170942644,254.95225855769186,48.612225494658134,5,1.7441937209474105e-08
15,0.00225,225.5845095021478,227.51804731177438,284.26605955752774,0.00113178647762705,0.006853211911505545,255.65893238813524,49.11869119661478,5,1.9998594610108285e-08
16,0.0024,227.7912253366809,229.78901917860236,287.6392790004987,0.001273665888758944,0.00752785580009974,256.3683294437947,49.602059701064235,6,4.053553621798873e-09
17,0.0025499999999999997,229.9240844437256,231.9756420645753,290.92026293313626,0.001415842328721154,0.008184052586627256,257.0792116436058,50.06948897061824,6,3.8408742228812405e-08
18,0.0026999999999999997,231.92888708576552,233.99857131833804,294.0367548129836,0.0015584675058940547,0.008807350962596714,257.7923375294703,50.506857594881424,6,4.96027901246104e-07
19,0.0028499999999999997,233.86551619790043,235.9529622862819,297.04645196995614,0.0017012439238610715,0.009409290393991222,258.50621961930534,50.92917779724863,6,3.8553255522813914e-09
20,0.003,235.76532542558567,237.87862790771672,299.9886759827718,0.001844079762856209,0.009997735196554346,259.22039881428105,51.343070524851484,5,8.210213676453087e-07
21,0.0031499999999999996,237.63244325956293,239.77963669355697,302.871603061992,0.001986975001330791,0.010574320612398406,259.93487500665395,51.74968656045721,6,3.4011369907215154e-11
22,0.0032999999999999995,239.47021533024625,241.65800247777986,305.7045940627944,0.0021299407059648706,0.011140918812558883,260.64970352982436,52.150323028560614,5,2.1135455366778544e-06
23,0.00345,241.241578569705,243.45128048042574,308.44330331105886,0.002273125474011749,0.011688660662211778,261.36562737005875,52.53623885967436,5,5.6956198195719095e-09
24,0.0035999999999999995,242.9522364009987,245.16796716941138,311.0951496851761,0.002416512412228,0.012219029937035226,262.08256206114,52.90897641429153,5,1.8785087478255197e-08
25,0.0037499999999999994,244.63140370928085,246.85413777984334,313.6901651258557,0.0025599660041986353,0.012738033025171144,262.79983002099317,53.274737229743366,5,2.0563323913692202e-07
26,0.0039,246.26043056320856,248.47926412335363,316.2029815389149,0.0027035477859824147,0.013240596307782983,263.51773892991207,53.62906027008652,5,3.456849070781211e-06
27,0.00405,247.84400840146023,250.05470911525777,318.6367328041437,0.0028472024743799976,0.01372734656082875,264.23601237189996,53.97310582953763,5,6.140226546810672e-10
28,0.0042,249.40633297751998,251.61557241489993,321.0268850861237,0.002990865760768665,0.014205377017224744,264.95432880384334,54.31240449810899,6,3.5526330850255404e-09
29,0.004349999999999999,250.94360817394906,253.1560015569449,323.3680391270123,0.003134543776548967,0.014673607825402472,265.67271888274485,54.646007439487136,5,6.34689293862472e-07
30,0.0045,252.44721308689418,254.658790126989,325.6539053785602,0.0032782924544673352,0.015130781075712049,266.3914622723367,54.972465348428265,5,3.306495787803073e-08
